,drop_wi_hybrid
393,-1.4991322588873997e-05
394,0.0013998778019400932
395,0.005940214458870757
396,0.001005318372135586
397,-0.00021308914017797504
398,0.0033574394051143794
399,0.010992995095429382
400,0.0003797028362842744
401,-6.39090212643316e-05
402,-1.2435005380845499e-06
403,-0.00094155282601823
404,-0.00030741847864821764
405,-1.4483420031835427e-06
406,6.285903983312004e-06
407,-0.00037510701681166416
408,0.0007311337983258417
409,-0.0009216589964039087
410,-0.0027450834773054505
411,-0.009426936477818063
412,0.0007693581868753967
413,-0.00016186829813535531
414,-0.0020630201204540925
415,-0.004081326769654559
416,-0.0045699605003643095
417,-0.0017027217082602687
418,-8.483124590543714e-05
419,-0.019353476593511096
420,0.0019996783444081417
421,-0.00240542955195758
422,0.0017361782798688112
423,0.00564297491339793
424,0.0035661390736508904
425,0.004289854436453686
426,0.0028400718647466237
427,0.03382393418578672
428,0.0003674671798563848
429,-0.00036870582407521577
430,-0.00020760705127207557
431,-0.0008628783377796115
432,-0.0015202507953058283
433,0.001293805762662998
434,0.004571284298182658
435,0.015466429070388654
436,0.0006025258352647943
437,0.000956530126071766
438,0.0020856120127687085
439,0.012306378649258883
440,-0.0004878187716760278
441,0.0028514909709318045
442,-0.0008805955549768997
443,0.005065069080219631
444,-0.0007642658070871214
445,0.003633214539525403
446,0.00021148633620693603
447,0.011724202688477977
448,-0.0007312361697795473
449,0.0007431771566462161
450,0.000285210583133029
451,0.0013077953453683182
452,-0.0006315845359786585
453,0.00010152503779049288
454,-0.0007806972809696388
455,-0.0005019911615753825
456,8.022907196902241e-05
457,-4.585572204198705e-05
458,2.3868522948968625e-06
459,-0.00034756747165500305
460,0.00036768911974160203
461,6.24173952331931e-05
462,0.001060739830886198
463,0.00031512051686471244
464,-1.6882295339710453e-05
465,8.79477753475166e-05
466,0.00012594368265898256
467,0.0003964042546925211
468,0.00045333572454752904
469,-3.896777900564186e-05
470,2.880383905511427e-05
471,0.0014402468286176169
472,9.226458712310055e-05
473,1.1733702939799335e-05
474,-0.0001915678513262884
475,-0.0006919567601093876
476,0.00013593839038162484
477,-0.0006703913581471514
478,-0.001195206394808602
479,-0.003872926379827053
480,-0.0003974758375279798
481,5.339589877112877e-05
482,-0.0004949330988461229
483,-0.0020878196698339243
484,-9.146997604613342e-05
485,9.88069494469559e-05
486,-0.00015256491783386593
487,-0.0008839567322863133
488,-0.00019015889409383765
489,0.0031600099658820723
490,-0.0012095629659009855
491,0.005152003487335112
492,0.0025818676306984933
493,-0.0018514893448956444
494,-0.002987719621856266
495,-0.004588208735158922
496,0.0005262863409633018
497,-0.0009658964097417353
498,-0.0006266724379059161
499,-0.0028204448924254695
500,0.0001760199057419031
501,-0.0007352737079436293
502,-0.0016150189175563974
503,-0.005964210030929398
504,0.0014655029220463486
505,-0.0006105766202071584
506,-0.00041212862473462975
507,0.0008926860920223286
508,-0.012387061401283227
509,-0.010820041437802045
510,-0.0011314029675129472
511,-0.07753098082632724
512,-0.0020408030915464318
513,-0.0074299719091770276
514,0.007084218213208651
515,-0.006666960799257261
516,-0.0024340885770359434
517,-0.0007907873067270485
518,0.0013199971783545402
519,-0.004733649455442394
520,-3.589175087239813e-05
521,0.0002480469980228337
522,2.1712206339122992e-06
523,-0.0007259163293830064
524,-2.492572522157999e-06
525,-7.223068806539815e-06
526,5.9011912026281965e-06
527,-0.00023161197866841687
528,-0.0002363685877574604
529,5.160888952743293e-05
530,-0.0011674792229847603
531,-0.005694088782347369
532,-0.0003021166576631379
533,-0.0014206686329177771
534,-0.00066318654135153
