,elapass_black_virtualper_inf
119,0.0035076542270658785
120,0.0004040147367869055
121,0.0004909903838580002
122,0.0008986216491925234
123,0.005434668193333761
124,0.0012251424640056458
125,-0.0007405451287408982
126,0.0032764366818358857
127,0.014093387634804711
128,-0.00038780274683468066
129,0.0004310595459853517
130,-0.00031324414305603497
131,-0.0014550093071238697
132,0.00027041309184022764
133,-0.0025259316288231332
134,-0.0010455393249765657
135,-0.009314968830559094
136,-0.00015726705563248503
137,-0.00013953875092878235
138,-0.0001349980020413152
139,1.6882782200614835e-05
140,0.00020926478233517965
141,-0.00013778394433429587
142,-0.00013906327519011078
143,-0.0003957440323363679
144,1.728910790692583e-05
145,7.466684633180686e-05
146,-0.00020171839751551381
147,-7.608066198534803e-06
148,-3.993809458583816e-05
149,-0.0005923330890272562
150,8.868944610584958e-06
151,-0.0014937727331146363
152,0.0007807606314541728
153,-0.004074641253189342
154,0.001966268886105921
155,-0.0036414134472328606
156,1.4818079169543133e-05
157,-0.00019547690749772924
158,5.364311775778829e-05
159,0.00012635892601551982
160,-0.00019467895459832904
161,0.0001939904256574691
162,-0.00010222003453640102
163,0.00011663305213465187
164,0.0018591813931775835
165,-4.274185942624376e-05
166,-4.730743000619906e-05
167,0.00134292853876154
168,0.0005811685080047822
169,-1.1224584208439954e-05
170,-2.501136368333065e-05
171,0.000268556000634038
172,0.00014931414829501857
173,-3.780125609919269e-05
174,1.2698583824424197e-05
175,-0.0002746717442780701
176,0.00022315552263661186
177,3.696618496027045e-05
178,8.913042099120164e-05
179,4.324649076078033e-05
180,-0.0006379724379904099
181,-0.001645008829970107
182,0.001602314533734113
183,-0.0030441911405046543
184,-0.0007882744310268717
185,0.0003256009291616286
186,0.0006953603773078519
187,-0.0001388091374085038
188,-0.0014237635234970148
189,0.0006619431025026133
190,-0.0005073110761365763
191,-0.004284745758982419
192,8.392108325831933e-05
193,1.1583327734648174e-05
194,4.901438482712596e-05
195,0.00010365046557619394
196,-0.0001531710305216651
197,3.668070863862727e-05
198,-0.00039957517458899755
199,-0.00017879092062977002
200,0.0009736694717500343
201,0.00014361624407042135
202,-8.74574281636593e-05
203,0.001752286448039555
204,-2.3515792739909684e-05
205,-0.002305418597940187
206,-0.00023025003906537202
207,-0.007598554833436175
208,-6.473682828372501e-05
209,-0.00018327607261491523
210,0.00010128451239886601
211,-0.00040530140895531417
212,9.456824668229684e-05
213,5.00653950718289e-05
214,-0.00017735200032150417
215,-0.0004723901902426076
216,9.215381703062326e-05
217,-3.24913464225695e-05
218,1.1937017934708637e-06
219,2.416448623794821e-05
220,0.00038266599453995264
221,-0.0011580000117256538
222,0.00017868428712344885
223,-0.0014357803343677884
224,4.095646078338685e-05
225,9.805046219221205e-05
226,-0.0005433963910746557
227,0.00015159928955456745
228,0.0006567604574868669
229,-0.0002873058287552505
230,-9.038085377793643e-06
231,-0.000158025216713298
232,-9.794768342211704e-06
233,-2.9234115351008135e-05
234,-1.816173063909448e-06
235,-0.00010500776989496368
236,0.00020906836537141086
237,1.275351049575213e-05
238,0.00047981119780582426
239,0.0010106890394991983
240,7.244296747533294e-05
241,-4.353216352520864e-06
242,1.8648602037596189e-07
243,0.00011027630073292024
244,6.291680638346427e-05
245,0.0003747472505316697
246,-0.00019272467303378698
247,0.0003705539377196625
248,0.0003712466487326885
249,6.040123688272518e-05
250,1.6991820113674586e-05
251,0.001126501904703239
252,-0.0002033806225566215
253,0.0012977832052415996
254,-0.001368146213472398
255,-0.0019272222710442714
256,0.0002193599604336709
257,-0.0001283609844928852
258,0.0001772637118786152
259,0.0014740833822297313
260,-0.0022440390019448832
261,-0.001142001606050969
262,0.0008516124395602053
263,-0.007293753654512046
264,0.0005614486291397953
265,-8.204871868980008e-05
266,8.677507998938681e-05
267,0.0012099090685664105
268,0.0006291126191934097
269,0.0001661810539690779
270,-0.0004364252644791475
271,0.004285109480463425
272,-2.5878412130808137e-05
273,0.00011191113186100059
274,0.00034486319658438825
275,0.0014420389528314293
276,0.006367354328075128
277,0.0022979212651112785
278,-0.005712044149249578
279,0.013250289466612735
280,-0.0010678985891663334
281,0.0005778850493291472
282,0.0011809392451185513
283,0.0006457039177204797
284,-0.00020288517728950676
285,-4.172361500711567e-05
286,-1.2679197529567329e-05
287,-0.0007844214129523619
288,4.8766196869556824e-05
289,8.900957962019293e-06
290,-3.7206345446294944e-05
291,0.00018583603857507408
292,0.00030701639975371566
293,-0.0010431351971906977
294,-6.995866347283423e-05
295,-0.002271492225055131
296,9.954335587364829e-05
297,-3.512996917479898e-05
298,0.00012934055819032177
299,0.00010940241075721022
300,0.00128896857452618
301,-0.0008975067527814525
302,-0.0006744051283483133
303,-0.001808782083872725
304,6.851944675930392e-05
305,-0.00021696973468128357
306,-2.2741960689032386e-05
307,0.0002816307812009265
308,0.00020748060724938133
309,0.0002819499222797599
310,-0.0006583542919432656
311,0.0006741010580366921
312,-0.0011907405699456068
313,-0.00041458537264881326
314,0.0012533116286104345
315,-0.001218058144502414
316,-0.0001940485803044218
317,-7.635553799233332e-05
318,0.00027586077616412343
319,0.00016000164677076675
320,-0.00017705577094317257
321,7.228600358017775e-05
322,-0.0001235578324204322
323,0.0010216345358942999
324,-6.583363973839658e-05
325,0.00010387896133660518
326,-3.948829068968703e-05
327,0.0003615709526705128
328,0.00015493012323975129
329,-4.5664322281450986e-05
330,0.00010191717056250307
331,0.0009566401683723202
332,-0.0006577724428750615
333,0.00022259811193347257
334,-0.0006888636839299466
335,-3.621969712228007e-05
336,0.000132839168880329
337,8.162077132402613e-05
338,0.0002244513063401225
339,0.0013080945737608087
340,4.153186581077961e-05
341,2.5849859339241584e-05
342,0.00016588174685599628
343,0.0012162286896432713
344,-1.4723462951918205e-05
345,-5.095002777919814e-05
346,-9.875673745279443e-05
347,-0.0006894169610389074
348,-0.0007062460171432902
349,0.0006483469802346491
350,7.944289004843051e-05
351,0.0009159759988497737
352,-0.00011900754403881634
353,-8.64999366774513e-05
354,-3.008744065827918e-07
355,0.00010042103947052961
356,-3.242405005023139e-08
357,3.189813191769397e-06
358,-0.0004171458036387703
359,0.0003781854020144738
360,0.0003359326014735947
361,0.0008819520905683955
362,0.00034900526114864844
363,0.0005724545717193586
364,-0.0006601891895413051
365,0.0012531323756957851
366,0.0006472704794340388
367,0.0026542596704565006
368,0.0009099979043865642
369,0.00036171836885267526
370,-0.0008855958084838408
371,0.0005129811848656659
372,0.00038152978556881304
373,-0.00042117277004754834
374,0.00011418949973681103
375,0.0008192696926937851
376,0.0030278431160433395
377,0.00041518129862783506
378,-0.003048299190480488
379,0.0005613004072969489
380,0.0029373198748389915
381,-0.0012572893050822188
382,-0.003854412423298733
383,-0.0023989080198494324
384,0.0008410194067908784
385,6.876018802276122e-05
386,-0.0005686232821045531
387,0.0012914598044295083
388,7.752063038359136e-05
389,0.0005799560904654963
390,-0.000287001401186021
391,0.0004913167752891066
392,-1.586918660010444e-05
393,0.00031691636747476355
394,-9.256965518449017e-05
395,1.1358641103616265e-05
396,2.3234005755794426e-05
397,-0.00021773678641142521
398,1.1397073168222211e-05
399,2.5689478364116565e-05
400,-5.726214812111428e-05
401,9.276741821453672e-05
402,1.520039133104515e-05
403,0.00043031498714924787
404,0.0021668488817413135
405,0.0007413890401693775
406,-0.0006402057487560057
407,0.006147931668223124
408,-5.248523686715753e-06
409,1.9907824513052533e-05
410,-0.00010959606998220699
411,-4.815648808653785e-05
412,-3.845631703193716e-05
413,-9.970726101266708e-06
414,7.062659760240549e-05
415,8.181848532735657e-05
416,-3.4720592710906654e-05
417,2.731435268368616e-05
418,3.8319387527072515e-05
419,-5.07534112177981e-05
420,7.30289512307479e-05
421,0.0004324577290773524
422,0.0004391388715879319
423,0.004396296038486858
424,0.0001716830989579027
425,-0.00044803714747277464
426,-2.3845071154263792e-05
427,-0.0010226284568088059
428,-0.0005084004417373716
429,0.0002620187626639378
430,1.6040352038604707e-05
431,-1.162901987817584e-05
432,0.0015667318671754667
433,0.000542290353840441
434,-0.00028946658317281066
435,0.0030488731351032265
436,0.00011989192745446767
437,0.00043031603705364935
438,-0.00020571681243360362
439,0.001217448981641052
440,0.0007923743933540335
441,-2.3627707483456692e-05
442,7.206276727173272e-05
443,0.002444697288052215
444,4.4676199544991754e-05
445,3.606698391301013e-06
446,1.5759946461409947e-05
447,-0.00025809474586210645
448,0.00021965112178314112
449,5.77474797954338e-06
450,-5.95328114409534e-05
451,3.25514960789219e-05
452,0.0023040957361605036
453,-0.006695042151929153
454,0.00418225594080743
455,0.002064284762060788
456,-0.0003362237967984591
457,0.00016981256592131259
458,-0.000120551838890385
459,-0.0014861741787044543
460,0.00048555618596791175
461,4.9128967722327305e-06
462,0.00021285656758595248
463,0.00043293021144803973
464,0.0007307713114040874
465,-0.00024956488800896207
466,0.00012463954488720197
467,0.0008648313153726185
468,-6.741127275487383e-05
469,-0.0005812660609399335
470,7.852199533421186e-05
471,-0.000617644622935875
472,-6.897811140058133e-05
473,-0.0004401715564455329
474,-0.0010531247183374621
475,0.001225597987248218
476,0.0007369809158746577
477,-0.0001594558035552312
478,-0.0008526247295739203
479,-0.001268538991520085
480,-0.0013653598073354574
481,0.0005537589139354914
482,0.000228150796639405
483,-0.001475003632700457
484,0.0002608634696053403
485,-4.193323849005652e-05
486,-5.037285372238872e-05
