,elapass_wi_virtualper_inf
433,0.00026896719786136765
434,0.00017543117169374
435,0.000532584365977608
436,7.565575566341404e-05
437,-5.566309140365148e-06
438,6.252068652948983e-06
439,0.000215115203417837
440,0.00022570527916397883
441,-2.2610936597407e-05
442,2.2790004124001654e-05
443,0.0010520342113822915
444,5.3494182534619345e-06
445,8.850356673712063e-07
446,-0.00011785976423607924
447,-0.00012952712448785998
448,8.236034894446241e-05
449,-4.5099466366327964e-05
450,3.371765550061499e-05
451,1.512004880110763e-05
452,0.001303321168320475
453,-0.002582260156990805
454,0.0019495251950961054
455,0.0009582139713948403
456,-4.297384785729347e-06
457,9.022922354052701e-05
458,7.173600358072589e-05
459,-0.0002456303439627994
460,-0.0001912075354165948
461,0.00020984384327101845
462,1.4791999846260911e-05
463,-0.00019066749272551918
464,-0.00011518715761645849
465,8.480666350109546e-07
466,4.6311986875894695e-05
467,1.1642836327725262e-05
468,6.68730907497715e-06
469,-0.0002182219097002586
470,-1.119362889834427e-05
471,-8.700619123082898e-05
472,0.00015729760661368646
473,0.00029798448007823915
474,0.00012714706267091995
475,0.0007745166934586134
476,-0.00025914804947958526
477,-6.0120244152830386e-05
478,-0.00025418004255930635
479,-5.7469290437429974e-05
480,-0.003952702539232085
481,0.0005607444625529537
482,0.00019723475353410988
483,-0.0024144914199785467
484,8.349841474814566e-05
485,-1.991545941731641e-05
486,-4.447019635623459e-06
487,0.0001511218394873086
488,6.948488214724048e-05
489,-7.379130361422442e-07
490,-0.00016175612428630056
491,0.0004123668063208085
492,-0.00035774438869825296
493,6.330144048748271e-05
494,4.288558470446592e-06
495,-0.0006282236891358802
496,0.0002940909924200365
497,-6.379189599367548e-05
498,-1.4482562986804116e-05
499,-0.0006894661176094493
500,0.00029768930606108567
501,3.1477934929659164e-06
502,-0.001243847691272571
503,0.00021276928007830454
504,0.00029296354145653676
505,-3.387870089603609e-05
506,-1.9824531376481372e-05
507,0.0005018668966551702
508,-0.0003229885804609875
509,-7.298019935166131e-05
510,0.0009634161063386366
511,0.0004730472129900236
512,0.0003532276978487776
513,0.0008157690027672348
514,-0.0007360792797365915
515,0.0008765186007368282
516,0.00026388907902229414
517,0.0002603314079327877
518,-3.3133750266309825e-06
519,0.0008251570614101641
520,0.0004529600191896951
521,0.0001211965955203911
522,-0.00039638726063929666
523,0.001143025779893119
524,-6.845563408007598e-05
525,-2.0592874626198156e-05
526,-7.386847099698782e-05
527,4.576756600714661e-05
528,0.0009207694300272812
529,0.00013139799955986026
530,0.00021235283652171509
531,0.0036501034237207265
532,-5.1404329024598316e-05
533,-0.0007063169002988988
534,-8.181763737999086e-05
535,-0.0027994656165600375
536,-0.000328626234217661
537,0.00011187160646439312
