,drop_wi_virtual
216,0.0005884087124834161
217,0.0009729177514497355
218,0.0009899614316069426
219,0.0079941991943631
220,-0.0021272583463179924
221,-0.0007465245395589166
222,0.001455074554335052
223,-0.0019647139115824123
224,-0.00021078877253989504
225,-0.0003462813473369695
226,-6.794930466675093e-05
227,-0.0018661344590818671
228,-0.0004046764134547091
229,0.00043471664091833287
230,9.508999509916221e-05
231,-0.000902011172383885
232,-7.864439864438923e-06
233,-0.0003815941875758801
234,-0.0012935835537096403
235,-0.00464657829280193
236,-0.0004974034264334117
237,0.0004312869687537408
238,-0.0032263346878256874
239,-0.009538891074049769
240,9.135765741474192e-05
241,9.468490294091002e-05
242,-0.00021664184505325594
243,-0.0007787834860306292
244,-0.00042239843540095703
245,0.00042700917793464505
246,-2.2133052964702766e-05
247,-8.090922053307941e-05
248,0.00022984027742200077
249,-0.00046508597380647975
250,-5.7201307097586927e-05
251,-0.0005079464962781703
252,-0.00019568377793722765
253,-0.0003142960255708777
254,5.478153581573241e-05
255,-0.0016309615219677576
256,0.029316520571514026
257,0.012149888629909778
258,-0.011347880542545648
259,0.10944778498153214
260,-0.001580955774414629
261,0.0008780375446200763
262,0.0033344343285811174
263,0.009496557782304954
264,-0.00922554458633652
265,-0.014428342292914668
266,0.010607591735494828
267,-0.04028957592437054
268,-0.00013751091331659662
269,-5.929531585986106e-05
270,0.00028734386985812354
271,0.00029425118477536665
272,-3.49056678818258e-05
273,7.3887418866005715e-06
274,-1.412680481180895e-05
275,-0.00017187227327626072
276,0.00021859916495906983
277,4.207231953530778e-05
278,-0.0003698559949126842
279,-0.0014324713455700388
280,3.286347946777609e-06
281,-0.00030695187818031197
282,7.232466006889721e-05
283,-0.0006948697758042692
284,0.00021729881618389802
285,-0.0012446556972798798
286,0.00018963820977778548
287,0.0002883589077201894
288,-2.2788761717445513e-05
289,-0.00034745736907286316
290,-0.0009948108971554743
291,-0.00350335336154093
292,0.0008045999116498829
293,-5.525427779319241e-05
294,0.00010056043122977553
295,0.002034700594690284
296,0.0006391510816870055
297,0.0007364679611380996
298,0.0016131532129562921
299,0.008996537868456137
300,6.476037004303271e-05
301,-4.888908938597652e-05
302,0.00019956315725405379
303,0.00045133173098812606
304,-4.1508405076869965e-05
305,8.996493853654478e-06
306,0.00039178907553679543
307,0.0003115964663399328
308,-1.3843433106700456e-05
309,-0.000243738480463033
310,-0.00036061012299216737
311,-0.0009135084593948901
312,0.00030584727272365284
313,0.00029917531934372545
314,-3.940217633288021e-05
315,0.0017327233421872944
316,-8.477341875214816e-06
317,0.0001717172834549851
318,0.0002772916931818269
319,0.001361257236690796
320,0.00017398131151688298
321,-6.974396475385745e-05
322,-0.00014855011654023865
323,0.00013339427493502993
324,-1.4961480021704177e-05
325,-0.0002657892172428362
326,0.00027976254809833047
327,-4.673933037958869e-05
328,-2.0763751709163812e-05
329,-6.870473970641589e-06
330,1.791842284726205e-05
331,-3.138029730462551e-05
332,1.3064677091625779e-05
333,1.917088640532275e-07
334,6.61238779374575e-05
335,1.121441353546265e-05
336,-0.00017194491978733358
337,-2.8938489627896414e-05
338,-0.00010256593614892524
339,-0.0012161369365088354
340,-5.263951832403727e-06
341,0.0003747862992375268
342,-9.060110286113744e-05
343,0.0009336428003654662
344,-3.0751970573684096e-05
345,-0.0004951231670385235
346,5.528108790993562e-05
347,-0.0008166497235973004
348,4.811294491377417e-05
349,0.0001515489337723542
350,-0.0006293750674324352
