,mathpass_in_virtualper_inf
169,1.360332365465557e-05
170,1.0070788943116816e-06
171,0.00027018510883268303
172,-0.00013759614431153505
173,8.106493200857587e-05
174,0.00024120048471900556
175,0.0001281725353708289
176,0.00019447241556195383
177,4.690840926395062e-05
178,0.00026206137311570176
179,7.382762130319141e-05
180,0.00047154434875141995
181,0.0004003363569349984
182,-0.000491591264896594
183,0.00027150738054602166
184,0.00035314980209857335
185,-0.0005718845601990093
186,3.3709573789201744e-06
187,-0.00029398774374068205
188,0.00016460641866341657
189,-0.0007012993146650625
190,8.862922493338645e-05
191,-0.0012609781928976235
192,-4.315284081656641e-06
193,-0.00030034678373888553
194,0.00021528877398818732
195,-0.00024643420498130127
196,-0.0005939592639294999
197,-6.924765364062505e-05
198,0.0003758482022244929
199,-0.00124867726555423
200,-0.0005435227640674992
201,-0.000717650636682386
202,-0.0002045624136271521
203,-0.005345967603183525
204,-8.545856023200317e-05
205,0.0037509452969756414
206,0.0003821873353771018
207,0.014334986608185822
208,3.6984541853240916e-05
209,-0.00017553542806802928
210,-0.0002543854463577991
211,-0.0008300898107452706
212,-0.00024947445983639836
213,4.5178425369396546e-05
214,9.744086249982991e-05
215,-0.000373630902909879
216,5.796740516879303e-05
217,-6.301168095396866e-06
218,3.3683086092688604e-05
219,0.0002546828139959295
220,0.0007368301776955607
221,0.00121068310272982
222,-0.0003258989119878433
223,0.003954758128680568
224,0.00015408890413014776
225,-0.00014580707635437147
226,-4.537093990601861e-05
227,5.772777736182015e-05
228,0.0005571968701399085
229,-0.0009938831722127138
230,0.00013698624786909
231,0.00042220630744146427
232,-9.172891919417745e-05
233,0.00020766490041853664
234,7.949962517495707e-06
235,0.0006254205782945155
236,-0.00018953074501201428
237,8.34914265261831e-06
238,-0.00013137057844703323
239,-0.001076702253515044
240,-4.05556444337867e-05
241,0.00037828321746915676
242,0.00023094504954767071
243,0.0008571609264232358
244,-0.00019873644570040053
245,7.223675152060729e-06
246,-0.0005551232349971315
247,2.255577845485337e-05
248,1.7422022088215044e-07
249,0.0004488753857199978
250,-0.0006427507083099158
251,-0.00044752292174282985
252,0.00047807958325137375
253,-0.0029641789370342974
254,0.0014130154824192422
255,-0.003359729724699868
256,0.002746252934728551
257,0.002424452297430672
258,-0.00672210692667299
259,0.008710381502299858
260,-0.0007079172119595499
261,0.000992849108963831
262,-0.002776905816079798
263,-0.006340212044270693
264,-0.0003389352041320229
265,-0.0010442456141950525
266,0.0009022648405528817
267,-0.002299456074808396
268,-0.0007370848703138966
269,-0.0001668667479028763
270,-0.00041376985991377856
271,-0.004922391741591433
272,8.564412605650976e-05
273,-0.0001302643988671001
274,7.948110325122122e-05
275,0.0006411950101200378
276,-0.0026615181387204465
277,-0.0008265213914802063
278,0.006580979725051015
279,0.008595049231344161
280,0.005486362402628518
