,drop_ed_virtual
135,-0.0008797918183074208
136,0.0013085510042016148
137,1.7492668876874828e-05
138,6.345650018099326e-05
139,0.0007915460234459994
140,-0.00015703163446160337
141,-0.00024923182819137403
142,0.0004030769922657113
143,-0.00013691222613398127
144,0.0002907645875742287
145,0.00025300429655054224
146,7.79278534224171e-05
147,0.001782997947561771
148,-0.000292709883943164
149,0.0003910290682231067
150,0.0023769077288523814
151,0.0059663596373638675
152,0.00015975850977127
153,1.7387457224530248e-06
154,-0.0002695816830455094
155,-0.00016287979556608008
156,0.0030192306871387286
157,0.001099547167953923
158,-0.0002840072625562225
159,0.007929472025544582
160,0.00023740178307822023
161,0.0009763216788161975
162,-0.0005009603749721234
163,0.00012014868137934557
164,-0.0005703191711080516
165,-9.859622604669933e-05
166,1.9910136109076894e-05
167,-0.002040767710515693
168,-0.0003234865227914573
169,0.0026963435554616423
170,-0.00048348033090266074
171,0.004448918885173174
172,0.00042509742332729145
173,-0.00011274015019442464
174,-0.0009022711969696941
175,-0.0030836847442174842
176,0.0001662208902712668
177,-0.0002619653740108065
178,-0.000997504744876888
179,-0.002081926326449646
180,0.00018702927631303976
181,0.00010433432230564309
182,-0.001674681586488025
183,-0.005213005554869037
184,0.00046091243789937654
185,0.00048159085688717976
186,-0.001940403491543616
187,-0.004559791271764824
188,0.00011488075732852202
189,-7.193230835203193e-05
190,0.0002452937276228284
191,0.002656469204610931
192,-0.0015093610333852627
193,-0.00043542925407508544
194,-0.00037042414013298145
195,-0.007296201817688325
196,1.9488806487101508e-05
197,0.0001078129777559788
198,0.0009925541704793315
199,0.001433400885286402
200,-6.7231150796781e-05
201,0.001532178089709284
202,-0.004078711908098841
203,-0.002089615048201715
204,8.13506686595703e-05
205,0.0003127188739570845
206,-0.003732617024380481
207,-0.002929556861264681
208,1.133589818150039e-05
209,-0.00015248764237923577
210,0.00011322321138599441
211,-0.00020118691217360388
212,4.0895910505336465e-05
213,-7.296230264487395e-05
214,-8.2802852452706e-06
215,-0.00026964714208109594
216,0.0005857479887353435
217,0.0010093031380338342
218,0.0010025667769960529
219,0.008117593817788822
220,0.000185075562540914
221,-9.553866268560576e-05
222,0.0005044957202540611
223,-0.00023883063732116314
224,-0.0003456779811657042
225,-0.0005370833812509464
226,-7.117556659882435e-05
227,-0.002683141902613792
228,-0.0006273984883996772
229,0.0005484038706485495
230,0.00011155914549997237
231,-0.0011611981253954382
232,-8.552925075380094e-06
233,-0.0004900775130416567
234,-0.0018099502741567416
235,-0.00583547146929537
236,-0.000818697598499773
237,0.0007448095018184858
238,-0.0011164724402560175
239,-0.011726739337749465
240,6.633214603293134e-05
241,-1.5527714520795682e-05
242,-7.10489189014091e-05
243,6.155707911385381e-05
244,-0.000549351463441041
245,0.0005786129247443434
246,-2.824391695966819e-05
247,-0.00010617121224249783
248,0.0003231968468063842
249,-0.0005266817248063977
250,-8.302291977217317e-05
251,-0.0006609939047990487
252,9.417949250400516e-05
253,-0.0003188999894668336
254,0.0003353298619188506
255,0.00014947924305050133
256,-0.04392315377068634
257,-0.018378876637688894
258,0.017200953630079216
259,-0.16514696657261052
260,0.0024734402541054866
261,-0.0013863338199671933
262,-0.005273552989867705
263,-0.014954737922986223
264,0.015826398553426952
265,0.02490288832964677
266,-0.018046568544731058
267,0.0690399542628427
268,1.8989056191487512e-05
269,-7.352235450291755e-06
270,-3.912032932976559e-05
271,-1.6650827201197102e-05
272,-4.660102759227913e-05
273,3.512177341733059e-05
274,2.2207899015966776e-06
275,0.00025341584518137085
276,-8.595867603938789e-05
277,-4.505694295601938e-05
278,0.0008746135695968006
279,0.0013761465551400695
280,-5.593308379691804e-07
281,0.00041115798935649413
282,-7.518171452305778e-05
283,0.0005442383922271136
284,-0.00028857883266142646
285,-0.0008040927787488269
286,2.730609741857935e-05
287,5.9059962998060355e-05
288,-9.471748739039781e-06
289,2.43963188611357e-05
290,0.00010388832621228297
291,-0.0003042625904764683
292,0.0002574451213188263
293,3.1703254005875955e-05
294,-3.246276961270614e-05
295,-0.0002348660802698401
296,-0.0018704747606630883
297,-0.0021471009299316485
298,-0.0017808095203388629
299,-0.017269473800582778
300,3.8602639265103086e-05
301,-0.00027936573552743297
302,-6.157687937435021e-05
303,0.00041333486303830863
304,-4.105813737789676e-05
305,-5.118729604446591e-05
306,0.00034764287501773156
307,0.0003769931222777466
308,-8.70369427718438e-05
309,1.839239692550464e-05
310,-0.0004399532999937162
311,-0.00034140305422681797
312,0.0002789045984071125
313,0.00034207859754268173
314,-3.2707869847669334e-05
315,0.0016901420673650028
316,7.1931008141121594e-06
317,0.0001492343423939307
318,0.0007103942903177288
319,0.0013265260670197723
320,4.3530934736446216e-05
321,-1.9287739284002363e-05
322,-0.0001733701164398488
323,9.822056489204826e-05
324,7.122003070612771e-06
325,0.00034097213726731913
326,-0.0007548022811378565
327,7.5345342634562e-05
328,9.282820383594854e-06
329,2.4528469226636073e-06
330,2.2098424379831526e-05
331,-8.428953679724987e-07
332,0.00018555429683576803
333,-2.6586315108121412e-05
334,-0.0009175041841283924
335,-0.0021896710586901073
336,-8.384690951239804e-05
337,3.5830256779064266e-06
338,4.241574923057434e-05
339,-0.00019577547702210858
340,-2.6174763937768916e-06
341,0.0002725933220315886
342,-7.534825566089816e-05
343,0.0006572594811704438
344,-6.955243212428017e-05
345,-0.0003006142516580924
346,0.00010139681510511939
347,-0.0008913817164739433
348,2.810288338558192e-05
349,0.00023272591646193396
350,-0.0005893010481140274
351,-0.0003433193982665988
352,-0.00020025914615422994
353,-0.0007688708830466255
354,0.00043709692230790154
355,-0.000817109891139743
356,-7.524572258425314e-05
357,0.00032597984460014325
358,-0.0006505192587048464
359,0.0008036173840759187
360,-0.00033981805171580403
361,-0.00022071179522276533
362,-0.00012079529472760903
363,-0.000503414352910189
364,0.009179299323699432
365,-0.0009342515955362069
366,-0.006522066550448686
367,0.01362188477652773
368,0.0028083891517248992
369,0.003449302964062285
370,0.0007838551363403192
371,0.02221376055572077
372,-0.002262626813381514
373,0.0006678113498819404
374,-8.3948297387302e-05
375,-0.0018972332441350604
376,0.0021411263301634536
377,0.0005394307223965529
378,0.002223510735008743
379,0.014439518596409025
380,-0.0001459739764290418
381,0.0004649548720850102
382,-0.0007700698533330385
383,-0.001812756285003305
384,-9.759971469555983e-06
385,-0.000166669671958007
386,0.0004203419674879498
387,0.00040359263726765003
388,0.002605813012804989
389,0.0012649485286110756
390,0.0002234173822530127
391,0.004685253284067345
392,3.552596322361634e-05
393,-1.5660719966282591e-06
394,0.00010504057770351566
395,0.0006530042812903233
396,6.479086112241351e-05
397,-5.352177055953056e-05
398,0.0008583374650303708
399,0.002287019650802452
400,0.000808726723501481
401,0.00024907729951575204
402,0.0008062351370731824
403,-0.00021662748914746938
404,4.225525791673513e-05
405,-2.3234846187897257e-05
406,5.8345212199662035e-06
407,-7.488658160184659e-06
408,-9.02892823084444e-05
409,-4.186634841946397e-05
410,-1.8051607121730917e-05
