,drop_his_hybrid
560,-0.0011595786437610194
561,0.0003560904164229438
562,-0.0015399892949051219
563,-0.00744446722869125
564,0.0064728043030093324
565,-0.0009682898314022326
566,-0.0022451279937352442
567,0.007833379823876096
568,0.00026798234427780017
569,0.00030152634549158265
570,-0.0013415644807355709
571,-6.409803517339962e-05
572,0.00016421997720886201
573,-0.0007341030528703001
574,0.00036372387389285737
575,-0.00019537068271667434
576,-3.746958756587927e-05
577,0.0004893257341827135
578,-0.0007189460783046183
579,-0.0017794304611862312
580,-0.00030109103771696466
581,0.0003904783562362396
582,-0.0004912551376563421
583,-9.17556777051461e-05
584,0.002331302004804167
585,-0.0002847277661017709
586,-0.0014681744002482354
587,0.0017094772427695085
588,0.0016725200602241792
589,0.0011109051241631
590,-2.5461933408895612e-05
591,0.008738167539618308
592,0.0017630110550713755
593,-0.002142867752182469
594,-0.008715618476557573
595,-0.02523743566055393
596,-0.008029560534344858
597,0.011248375245475678
598,-0.002242899789976153
599,0.0031963797433830635
600,0.0011768482292686074
601,-0.008894250949693212
602,-0.001420536375152268
603,-0.02617737822291208
604,-0.001954810384058724
605,0.006918956796522899
606,-0.0038843435502505914
607,0.004059460771599091
608,-0.0026168981717253474
609,-0.007347945108931802
610,-0.0020572707394560636
611,-0.03706010575168144
612,-0.002885277653120618
613,-0.0006076986685008125
614,0.006934837866852359
615,0.00745036814474144
616,-0.0003969530535872719
617,0.00014507341818022172
618,0.0001326241106992256
619,-0.0012032875406281836
620,-0.0005955129965533879
621,-0.0006193620758323435
622,0.0005120123438701843
623,-0.002150696340194658
624,-0.0007932822057488989
625,0.00012957410783323613
626,0.001219412070195217
627,0.0007130061044168987
628,-0.00042580113115270015
629,0.002640139266292913
630,-0.002036846652744263
631,0.001617054139226035
632,8.258332914130757e-05
633,1.5555159358732454e-05
634,0.0013302457880565064
635,0.004664292334472893
636,-0.0018665110219105992
637,-0.0007713742187030336
638,-0.0012794719577155843
639,-0.011372054393719131
640,-0.000384646969548715
641,-9.149759160938072e-05
642,-7.333225066631942e-05
643,-0.0018811055976266677
644,0.00496110089769645
645,0.00372687664484874
646,-0.0002594525177489137
647,-0.0009549875457959629
648,-0.00014158561946904906
649,0.0010920421193766868
650,-2.3558591816123072e-05
651,0.0017024228304117226
652,-0.0021536593257782087
653,0.0007082237160350554
654,0.0018808445715903246
655,0.0023999296945207372
656,-0.00026424420894119503
657,-2.890788020954747e-05
658,-0.0003265871152818701
659,-7.130254043877105e-05
660,0.0031105011886049154
661,0.0008517923833347937
662,0.0011774688289450694
663,0.01588061467759902
664,0.007070771408250749
665,0.00048206461482480585
666,-0.009322912300358501
667,-0.010284494526136608
668,0.0004603025051046857
669,-0.0005430307955737117
670,-3.93728259116862e-05
671,-0.0005929255395897014
672,-0.0003342887968377215
673,-0.0010212693312813422
674,0.0004458462386518841
675,-0.0025448374179413
676,-0.003444745690745786
677,0.00822996451588175
678,0.017617336009995755
679,0.06848011357941418
680,-0.000344480423551787
681,-0.0013003961685799014
682,0.0012626652554075086
683,-0.0017612438609986441
684,0.0009325686008452372
685,-0.0003446342311483178
686,-0.0007180423576567329
687,0.0006775357066472265
688,0.0011310332640770214
689,0.0019226166406732291
690,2.0256278176750773e-05
691,0.009560345570396185
692,0.0005704717610164719
693,0.00022817062864260773
694,-0.0010593512259024604
695,-0.0009682573009803624
696,-0.0008993238862253393
697,-7.346872731868066e-05
698,-0.00013615961128777396
699,-0.0029842691168425473
700,0.0003824608827410247
701,-0.0003014767546230851
702,3.2799218983059295e-05
703,-0.0003488324887524407
704,-0.00047935703291229065
705,0.0012037201477197656
706,0.000747124351694838
707,0.004377732221729393
708,0.0023224496710497486
709,3.1806734098200956e-05
710,-0.0012825449935480603
711,0.0029167830960006884
712,0.0004641217482129069
713,-0.001563343637160347
714,-0.00017957832962774945
715,-0.00297462211159998
716,0.0042086928566822555
717,0.004571445329256022
718,0.003433760727387391
719,0.037756087192781194
720,-0.0003063584257408417
721,-0.0001441375420431961
722,0.0003790482466599329
723,-0.000983696761031509
724,0.006617418375656685
725,-0.0020254993912984048
726,0.0057844212138862166
727,0.03060987977110605
728,-0.00019521568111174867
