,drop_co_virtual
246,-2.7863255792459605e-05
247,-9.39561468890883e-05
248,0.00027081321068130797
249,-0.0004952356834333355
250,-7.201616005200062e-05
251,-0.0005850140186978551
252,-0.00023156928682010927
253,-0.0004739560134028847
254,-0.00033134262741515665
255,-0.002972844438868706
256,0.015432598323717578
257,0.006360175450301814
258,-0.005888407225652841
259,0.057236585704735624
260,-0.0008206029683026075
261,0.00045314016122858413
262,0.0017053172196036168
263,0.004896803826400098
264,-0.004656873492333546
265,-0.007250404640714677
266,0.005268535178882192
267,-0.020185192336921853
268,-0.00011737561363454965
269,-5.2099420987669e-05
270,0.00024499520915162594
271,0.00025334469760846683
272,-5.742783041457782e-05
273,-1.4542238202647762e-05
274,-1.2645721492721394e-05
275,-0.00035101062816911776
276,0.00016077658462937186
277,4.236181389409826e-05
278,-0.0010155204190244271
279,-0.0017087128411403326
280,2.2373938385597264e-06
281,-0.00014778072509835535
282,5.720834640104034e-05
283,-0.0004479601718140997
284,0.00023559706892626375
285,-0.0012591532633024142
286,0.00019304865639439476
287,0.00029544811324271736
288,-2.199191101498114e-05
289,-0.00036221275020309777
290,-0.0007770626023919117
291,-0.0032136708052891514
292,0.0008529578345759972
293,-6.447668277334227e-05
294,9.166677796985985e-05
295,0.0020913259171538414
296,0.0015105170684777275
297,0.0012457667159122552
298,0.0020171449580799
299,0.014310418016373422
300,5.918116089688964e-05
301,-0.00013394729204538019
302,0.0001251373851863355
303,0.00046812420753726634
304,-4.253996803740875e-05
305,-8.516388398349416e-06
306,0.0002574921190385247
307,0.00027022550040912415
308,-8.997816707314212e-05
309,-5.643242588883173e-05
310,-0.00023218097524992722
311,-0.00014132867163559954
312,0.0001816589096036122
313,0.00024025500881903644
314,-3.214572053366033e-05
315,0.0012807256568423435
316,-3.7478342131536513e-07
317,8.749628488389426e-05
318,0.0001802956845921221
319,0.0005918237341214988
320,3.76975428312551e-05
321,-2.2600142785208404e-05
322,-0.00011221119819120107
323,6.984248007095541e-05
324,-0.00019339410724369813
325,-0.0029093085845647913
326,0.002974461973898627
327,-0.0005304404158074263
328,-0.00022339966225920957
329,-4.05558921083e-05
