,mathpass_hispanic_hybridper_inf
262,-0.0006232406391154492
263,-0.00044412645625887566
264,0.000991836256225332
265,0.0004102514737008565
266,0.00037404941204386615
267,0.0011852503914399634
268,0.0005752733060827271
269,9.636128788089048e-06
270,-0.00011807638291570618
271,0.00040396188304594484
272,-0.0002959381270532811
273,4.7933560725375294e-05
274,-5.905068364152378e-05
275,-0.0006152525718456506
276,-0.00023399980788099047
277,-8.811120120129461e-05
278,0.0007517075622471804
279,0.0008861892218030595
280,0.0011171617814302863
281,-0.0012225624154018312
282,-2.5506105387543235e-05
283,0.0015083206687440806
284,3.015103769200823e-05
285,-4.049788117565104e-05
286,8.763068690846284e-06
287,-1.2267855553007387e-06
288,-0.00011773257766851479
289,-2.3444705297786237e-05
290,3.845914703136031e-05
291,-0.00021656269435284609
292,0.00041513489876854944
293,4.577799899364602e-05
294,0.00029079926497151755
295,1.929010634680623e-05
296,0.0018800580016078538
297,-0.0016123788995166684
298,-0.0005947380594978783
299,-0.0007511211026088136
300,0.00013891205358836052
301,-0.0005822190898768135
302,0.00017674707730094225
303,0.0005183277364406258
304,3.205243743658936e-05
305,-6.534123337875837e-05
306,-0.00013937842900003673
307,9.656862162838535e-05
308,-2.592880904141037e-05
309,-9.396188076450509e-05
310,-0.00021500381738023415
311,-0.0001787073923766215
312,0.00033175542444860824
313,0.00026300393910551735
314,-0.00018494233960011285
315,-0.00046408043394492173
316,-0.0004223082241039984
317,-2.7257000076796435e-05
318,-0.0003005794322150528
319,-6.790392598911738e-05
320,-9.565233927600178e-05
321,1.759819632601373e-05
322,-0.00023636624996170507
323,0.00012770820802601816
324,0.00028910907940870337
325,-4.375067095310845e-06
326,0.00015036136079320925
327,0.00026654346554364774
328,0.0012117421071851304
329,-0.00019385901788552775
330,-2.1709903739341238e-06
331,0.00010448452761194713
332,-9.904687215926514e-05
333,-0.00014263397052549707
334,-0.00024539142881953833
335,0.0002346352009870872
336,2.724777935320618e-05
337,-5.404556761273883e-05
338,-0.0012477459500250692
339,-0.003397140006748076
340,-0.0007830947600226742
341,-0.00010342436580467696
342,-2.7797012230821833e-05
343,0.000761146629147716
344,-0.00034890527409500976
345,0.0018127115487109444
346,-0.00012901803670978235
347,0.0034013279898393567
348,5.4057106860236345e-06
349,0.0003977623988982132
350,-0.0003875949238988795
351,0.0003320977339196603
352,0.000251085796598721
353,0.00023093312281347665
354,-2.5274147239545963e-05
355,0.0013538496693557113
356,0.0009364663151282917
357,0.0010189484027772668
358,-0.002236754315116138
359,0.0033754337721101308
360,0.00048817568230739264
361,-9.349941580473665e-05
362,1.4067932177155947e-05
363,0.0012978562754251642
364,-2.6687968523158768e-05
365,-0.0001523864073774863
366,0.0003888129304750532
367,0.0003118613351651017
368,0.009893796132493846
369,0.0032354005002970788
370,-0.005847033626097641
371,0.018659062742232627
372,-0.00029674767780408053
373,7.791031478989756e-05
374,0.000200106376754953
375,4.250571733181344e-05
376,0.012214433107192915
377,-0.0012407633270409611
378,0.0012157008893551762
379,0.04389312348956527
380,0.004167597797070199
381,0.0006019178170761021
382,-0.0016426174782488807
383,0.0024111426556986354
384,-7.758985464979576e-05
385,4.5532856304635134e-05
386,-0.00034638514672376725
387,4.721064164189126e-05
388,9.116942407013428e-05
389,0.0002398108398252951
390,-3.906198856340837e-06
391,0.0012109330794781643
392,-0.00019318838758639696
393,-0.0006024067386877986
394,-0.000361989290833334
395,-0.0005436505397356945
396,-0.0004329488531842033
397,0.0002141703708050919
398,5.281614020370681e-05
399,-0.0006531553303469684
400,0.0004151516720441743
401,0.0002463526209737038
402,7.647744259228455e-05
403,0.0007353749514673321
