,elapass_virtualper_inf
89,-0.00044540023358966447
90,-2.682368975944944e-05
91,-0.003853291726607665
92,6.130282307714677e-05
93,-1.585394253636818e-05
94,-0.0008885614014296938
95,-0.003547567690926424
96,-0.0006333139561009358
97,-0.0008619459564462054
98,0.0012177670490250223
99,-0.00044682753138989553
100,0.0003262798215813443
101,-0.00023182295377422544
102,-0.00018220965748370937
103,0.0001496486023546396
104,-0.000119420047184065
105,-0.0005918925760235989
106,0.0017759596125198
107,0.0035521257372387533
108,-0.0005249621081632623
109,-0.0004649163189554349
110,-0.0002770370027443245
111,0.003333423125609936
112,-0.00024665013417308877
113,-0.0003515097504974846
114,0.0002170881649623806
115,-0.0019001175297082467
116,-3.707964810256711e-05
117,2.2901037965999376e-05
118,3.9752740115396014e-05
119,-1.5203831232791545e-05
120,-4.0556852779770386e-05
121,0.00015027470927977927
122,0.00026706446777443384
123,0.0010439577106257612
124,0.0005024222070245003
125,-0.00023523024423007788
126,0.00034634605856424
127,0.003666641034543884
128,-9.129254535462293e-05
129,0.00012511743206971435
130,-0.00012945346140348258
131,-0.0004563341587665223
132,4.382942376513337e-05
133,-0.0019602897624631287
134,-0.0012098444219660637
135,-0.006610344070941948
136,0.0006246914259584146
137,-0.0013265898497851125
138,0.0004060572347717244
139,-0.0001282732347915908
140,-0.00027728013455682296
141,0.0004363058282735451
142,0.0003082348725104117
143,0.0008355620428882554
144,-0.0018741910244269684
145,-0.0007867956450963852
146,0.0025519034894411793
147,0.0001409114052556059
148,-3.728209914749646e-05
149,-0.0007415166776592762
150,2.876067189434357e-05
151,-0.0025730698615335414
152,-0.00017516193649006384
153,0.0011112075773192284
154,-0.00044711876170652645
155,0.0008866455500631366
156,0.0002184220745360445
157,-0.0004040103926313644
158,0.00028130338782640885
159,0.00046461192474052686
160,0.000855880804789494
161,-0.001876766751100891
162,0.0004284543886442655
163,-0.0006410935058175346
164,-0.0035897133566460226
165,-0.0006622429322308764
166,0.0016207358171512047
167,-0.009851985313028479
168,-0.002473004946655569
169,0.000182854395045475
170,0.0014441297986200522
171,-0.002618586856084587
172,-0.0005010879375092674
173,0.00015201854394297825
174,0.001114285895372432
175,0.0017235132380677674
176,-0.000799704037515459
177,-0.0005312878738087689
178,0.00035125599270094035
179,-0.0033374484290497686
180,0.0002342803462687376
181,-0.00019006257965003707
182,0.0002805487103660444
183,-1.8627232006205087e-05
184,-9.969799620010997e-05
185,7.039094013887214e-05
186,0.000307929811005117
187,-3.965171934265188e-05
188,-0.0004256254936745092
189,0.00018121219249449648
190,-0.00021136791216948736
191,-0.0014103497819865994
192,-0.00016086689136910484
193,-0.0008828817736643483
194,0.0011741216572965572
195,-0.0008918834879290776
196,0.0005681885664633896
197,-0.003250330758590165
198,0.002476642466476224
199,0.0014464410431498766
200,-0.0022679527807186305
201,-0.0014143259026409324
202,0.0014088261321884665
203,-0.010475088373864985
204,1.339699714600138e-05
205,0.0005794472659936594
206,2.5336626717801868e-05
207,0.0021618100406862704
208,0.00017647639251814321
209,0.0011048474526614892
210,-0.0006666733942303152
211,0.001959867297187324
212,-0.0002715784643610389
213,-0.00016418072800718052
214,0.000930406655048533
215,0.0016494921987573897
216,-0.0002788777291803641
217,-0.0003526423409562581
218,0.0009050132326238438
219,-0.00041147142928572524
220,-0.0003039824089003669
221,0.0006797990184996616
222,-9.21684086980009e-05
223,0.0008784331579912432
224,-0.00015342338571144328
225,-0.0016956028155663356
226,0.0018664469214873351
227,-0.0007545450230658442
228,-0.0021266066264962837
229,-0.0022114051099575284
230,0.003630419326602136
231,0.0022222968811419167
232,2.1250566150950205e-05
233,6.397647229106068e-05
234,3.1469025981809945e-05
235,0.00035892408638983294
236,-0.0005956250919956052
237,0.000707335973040294
238,-0.00168546191441709
239,-0.005597255410740967
240,-0.0004359475329542377
241,7.878551984379561e-05
242,-5.492484584471844e-05
243,-0.0016029621863019971
244,-0.0013483446720378505
245,0.0009303064765736317
246,0.0018635680854442022
247,0.004793451639503
248,-0.00034987815035592213
249,-0.0004485034948365905
250,-0.000505687081142744
251,-0.004355831066927219
252,-0.00011617418002868897
253,0.0006837795015705734
254,-0.0002098585767199514
255,-0.0008181566620456898
256,-0.0006612880063361784
257,9.385335289862955e-05
258,-4.212055487210166e-05
259,-0.0018112575776006224
260,0.0010856333250825584
261,0.00030530710772283537
262,-0.0004306650048764592
263,0.0029553616648923873
264,-0.0011940620436390952
265,0.0004977650389416601
266,-0.0004016041844051735
267,-0.004405340306496004
268,-0.005578765984281796
269,-0.0016120956897224853
270,0.0006917945811165142
271,-0.018338062227858287
272,9.267264807955466e-05
273,-0.0014468761296149756
