,drop_black_virtual
309,2.1908734908845223e-05
310,2.1026938570093483e-05
311,0.00010594152436923696
312,6.28740749907801e-05
313,4.430327430384192e-05
314,-1.5031372059809723e-05
315,0.00040891570024133837
316,5.01049292967723e-07
317,-2.7912426160948174e-05
318,-5.492641558138252e-05
319,-0.00020052863767438135
320,6.0191052460057105e-05
321,-2.2920625233465964e-05
322,-7.88762240289616e-06
323,2.5161648732653814e-05
324,-3.1693138870876247e-06
325,-6.969754208330075e-05
326,0.0001387952513337894
327,-1.582371847128234e-05
328,2.1342507182904873e-05
329,3.9458574078121555e-06
330,-1.1178863853270541e-05
331,2.1944325566267574e-05
332,-0.00010759764514454707
333,1.4802273464965775e-05
334,0.00047723052116101727
335,0.0012070666238544554
336,9.080650282783389e-05
337,4.216275863593726e-05
338,3.683637774094956e-05
339,0.0008464467372535087
340,5.700711232369377e-06
341,-0.00032311121968002136
342,5.4671965311980834e-05
343,-0.0007692929531140522
344,4.9998651763356994e-05
345,0.00032556083278297574
346,-7.795211715549001e-05
347,0.0007739172874018815
348,-0.0001309729184345143
349,-0.000144079289535864
350,0.00044083624215686407
351,0.0002909821365433311
352,0.00030812145625515607
353,0.0009715858453135121
354,-0.0005654855532011572
355,0.0010653936905786411
356,1.9960949349531027e-05
357,-0.0001415681583046015
358,0.0002023169014651949
359,-0.00025326717540363823
360,7.728662582647772e-05
361,4.451380910989485e-05
362,7.494320790917351e-06
363,0.00015500596642122126
364,-0.002889931377557426
365,0.0003050141842326762
366,0.001981493109736843
367,-0.004284426344425877
368,-0.0006683353172545567
369,-0.0009498710854502721
370,-0.00020897988981165275
371,-0.005757899536938444
372,0.002983178728122388
373,-0.0010926721992890471
374,-0.0002849010813038716
375,0.005338087191672432
376,-0.00031028580589736174
377,-0.00010197933015746835
378,-0.00040300702180882616
379,-0.0024850396019638213
380,0.00020655636359596778
381,-0.0003702085945317627
382,0.0006498431159273302
383,0.0016578961844967472
384,3.0205492229233538e-06
385,2.5856770605285117e-05
386,0.00015407180873835266
387,1.2720366147391776e-05
388,0.001170717243490717
389,-0.00017975173451514914
390,-8.029979031313096e-05
391,0.00014203642828990274
392,3.4296510392031646e-06
393,-4.4520553627396715e-07
394,4.12920715410281e-05
395,0.00014303649301753162
396,0.00010066058180053863
397,-6.744223069604153e-06
398,-7.937919985195253e-05
399,0.000255963387633925
400,0.00022225560395823234
401,5.073041857452084e-05
402,-2.8950166263629974e-06
403,-0.00035386416317188764
404,-6.349944554311227e-05
405,8.834243366477877e-06
406,-3.866417217975564e-06
407,4.489032796561393e-06
408,0.00013086435843579744
409,-7.026413566505699e-05
410,-0.0002499896005230849
411,-0.001137783988818016
412,0.00011302450046500576
413,-1.751215132557454e-05
414,-0.00023016965343464687
415,-0.0005031920795644946
416,0.0005791436803176456
417,0.0002804218885718717
418,1.1085460777411962e-05
419,0.002700913802801963
420,-0.004048790786528743
421,0.004287285085444902
422,-0.003032660989981728
423,-0.010349856860646873
424,-0.008431091203187996
425,-0.008531244166145553
426,-0.0055807283422186025
427,-0.07042900877950199
428,9.076003016740852e-05
429,-0.00010198231964475595
430,-5.659325604655132e-05
431,-0.00022835270247572987
432,-0.00043449130480543557
433,0.0003857271735229493
434,0.0012430756407705904
435,0.004408424699004903
436,0.00011186221084260913
437,0.00016383737204414862
438,0.00041874484341426917
439,0.002294295763808551
440,-0.00010632747714962005
441,0.0004946185129582575
442,-0.0001346298975045055
443,0.0009143151004820131
444,-9.099347439667101e-05
445,0.0004734838857611925
446,5.704364687954524e-05
447,0.001953900154563386
448,2.2651887471388628e-05
449,0.00018360009102886998
450,5.5061627544013926e-05
451,0.00019299797506711655
452,0.00027180496756332514
453,3.349676842499517e-05
454,0.00016248105751916344
455,0.00035498748583464955
456,3.98026758200873e-05
457,-0.00026164712594604
458,7.900147724818068e-06
459,-0.0005362691589925569
460,-0.0012196703674594188
461,0.0002682510625028071
462,0.0011434942130683257
463,0.0012634115190222927
464,0.00024259520594100466
465,0.0005967947881217915
466,0.0005455228674489207
467,0.004131841310602336
468,-0.0015677822945617975
469,0.00014282479294794895
470,-0.0008110822268171806
471,-0.007224487745359781
472,8.75820064187834e-05
473,2.2597918553671822e-05
474,-0.0005315474531234909
475,-0.0011131704898879437
476,0.00025883387460795977
477,-0.0007880050084910901
478,-0.0011300444940310554
479,-0.004724687448114508
480,-0.0004527017945006969
481,8.562315902454667e-05
482,-0.0004233178236506193
483,-0.002353229718739623
484,-0.00025115174394754335
485,0.00011959668154366018
486,-0.0006354293768554522
487,-0.0019722133854083055
488,-2.9767101354485353e-05
489,-0.00031454524413617217
490,7.858662982883906e-05
491,-2.560338170144544e-05
492,-5.616025548608367e-05
493,0.0001152117252385541
494,0.00015130131088010487
495,0.00020995176143603076
496,0.00020357155420463793
497,-0.00036769616786939345
498,-0.0002206367778748966
499,-0.0010473336838843828
500,5.6192316393106376e-05
501,-0.0002549768039100446
502,-0.0004677690265106648
503,-0.0018922111539970243
504,0.0004876163375733012
505,-0.0002253383053138179
506,-0.00017109826798732768
507,0.00033089632459401867
508,0.0012905202235621912
509,0.0011572369298382176
510,0.00012422290648932322
511,0.008287658901704109
512,0.0002443082599921433
513,0.0008410242907422433
514,-0.0008043155948518811
515,0.0007703790614198155
516,-0.00021262131471671604
517,-0.00017954707347390888
518,-1.9504275899785807e-05
519,-0.00043424347751296635
520,-0.0005116860052559998
521,0.00010690468476583493
522,4.052124156704784e-07
523,-0.0004303157436916905
524,-6.809795480353373e-05
525,-1.166908682303342e-06
526,-5.851628638407676e-05
527,-0.00027870582470665043
528,0.0004145190701458192
529,1.7177081030253706e-05
