,ed_elapass_hybridper_inf
129,5.322772711264027e-05
130,-8.65334884447851e-05
131,-0.00033744072482187266
132,2.3234806018032725e-05
133,-2.9094770290309405e-05
134,-0.00012927040316904192
135,-0.0006067513552996665
136,-3.3311618325033055e-05
137,5.913083864368411e-05
138,0.00013934427430729326
139,-6.648593941593591e-06
140,0.0002098024799174464
141,-0.0001294941495003269
142,-8.377759811347786e-05
143,-0.00034268610097485194
144,0.000572984733178203
145,-0.0001696221697647464
146,0.0005148401762852093
147,-8.98721824762618e-07
148,-3.7810049582421555e-05
149,-4.5318368222699194e-05
150,-2.802869025853004e-06
151,-0.0002743580542612201
152,0.00010376878616711523
153,-0.000676508093074767
154,0.0003004752315394184
155,-0.0005517291705703893
156,5.7032342585872e-05
157,-1.194759260129524e-05
158,6.6901322253082954e-06
159,3.821444068357914e-05
160,3.874141792854538e-05
161,-9.40408360018581e-05
162,2.347292202932782e-05
163,-3.237068167640151e-05
164,0.00033801215766299974
165,6.975884789700055e-05
166,0.00017395890302889143
167,0.0003389563539939921
168,-0.0007212806549414054
169,2.5498167242546593e-05
170,0.00027335272506987175
171,-0.0005313785450369861
172,-0.00012364298277444153
173,3.138548873482905e-05
174,7.029420284722051e-05
175,0.00027773574557038124
176,-0.00038068112672799334
177,-0.00015612864807688074
178,5.767187680726062e-05
179,-0.0009805092266212654
180,-0.00021392216888237403
181,-0.000406450946521268
182,0.0003058342885438237
183,-0.0007606582479267008
184,-0.0003370447312644311
185,0.00015801490243036497
186,8.824413251514564e-05
187,-4.4897558277062546e-05
188,-0.0005086996237487993
189,0.00019720703324974456
190,-0.00014926253560287466
191,-0.0013469806185373516
192,-7.290507809465674e-05
193,-0.00010394251762168608
194,4.445487257406373e-05
195,-0.00014839378426114206
196,4.934827928917281e-05
197,-6.496045865360652e-05
198,0.00022910896975774855
199,8.69542166961866e-05
200,-0.00047444345091927865
201,-5.982877375072537e-05
202,0.0002284355646066711
203,-0.0013579135379865196
204,-2.930584037163056e-06
205,-5.122395352274184e-05
206,-9.022858337784284e-06
207,-0.0004225129985604449
208,2.5207820615658543e-05
209,0.00013414382485465922
210,-2.342237720599848e-05
211,0.00018462047593471712
212,-5.379370229427201e-05
213,-2.2303737964504236e-05
214,0.00017413153139725202
215,0.00028771938250220935
216,-7.983050925028906e-06
217,-4.455826702604661e-05
218,2.9782260010992697e-05
219,-2.3638126217232846e-05
220,-2.6634976006214077e-05
221,0.0001507861186154184
222,-7.618737311317329e-05
223,0.00033697805439178365
224,-8.193961383032874e-06
225,7.608959774879973e-05
226,0.00022662184613872873
227,-3.344254237018844e-05
228,-0.00021451203234690172
229,-8.932404442721233e-05
230,0.000979513190324108
231,0.00026389027077269135
232,6.929837155850383e-06
233,2.0231983917823105e-05
234,9.281849537587703e-07
