,mathpass_black_hybridper_inf
264,0.0005835922824019388
265,0.00035660616469589845
266,-0.00013938442220308198
267,0.0011648663383216431
268,0.0002828769900494328
269,-4.2233730503053346e-06
270,-9.350629805059201e-05
271,-7.052020158245141e-05
272,-0.0003027254125093352
273,5.4554343968211295e-05
274,-6.520759359175271e-05
275,-0.0006565886600418619
276,7.043221231528202e-05
277,-4.3270357254848125e-05
278,0.0006081165427167597
279,0.00034603481587184453
280,0.0005090355108697995
281,-0.0004796364889178916
282,-0.0003629091055989425
283,0.0004763731486766545
284,4.6712564839029e-05
285,-5.889588444792059e-05
286,4.592216405410617e-06
287,-8.605349219017452e-05
288,-0.00014072076063694416
289,-0.00011616901370390102
290,3.832561707963407e-05
291,-0.00045753263028166147
292,0.0003648037132026401
293,3.8512087624838855e-07
294,0.00017388153491530758
295,-3.122742081020709e-05
296,0.0027812806018406577
297,-0.0022595599519419874
298,-0.0007748933589146121
299,-0.0010458653089136381
300,2.1331450282835628e-05
301,-0.0002808412546999397
302,9.43029217495052e-05
303,0.0002513195596927434
304,4.160387513675823e-06
305,4.5307924524453927e-05
306,-0.0001296637846882372
307,0.00023108218704820897
308,0.00012055584196179235
309,-0.0001329710842393884
310,-0.00024350321914203403
311,-0.00029198246182360614
312,0.0002624988078129539
313,0.00023704944208484757
314,-0.00021918185171518207
315,-0.00040106957243035994
316,-0.0003348730768988146
317,-6.754945388303843e-05
318,-7.898690710886513e-05
319,-8.5265385110419e-05
320,-0.00010406150586467393
321,3.330195825523235e-05
322,1.0191156046241542e-05
323,0.0003881877422322408
324,0.00016339893450115496
325,-1.3386819568302545e-05
326,-4.6504161928078626e-05
327,0.00028827807205686334
328,0.0009195792288791647
329,-0.0004605261033233925
330,4.0921123801986925e-06
331,0.00013862470745183058
332,4.7416040068046714e-05
333,-0.00020488185746238809
334,-0.00041697883828822977
335,-0.0019520815005230762
336,7.156415038394796e-05
337,-6.889032908712151e-05
338,-0.0017453320093904774
339,-0.005136884118998283
340,-0.0005804735844405118
341,-3.0533571444101105e-05
342,5.377783755514953e-05
343,0.0007046411615802521
344,-0.0005405233138049622
345,0.002557102318636628
346,-0.00019361779628715762
347,0.005057849091194652
348,-5.783558810978635e-05
349,0.0006368722636156391
350,-0.0004945296678255892
351,0.000530890044861458
352,0.0003316328146542933
353,0.0004585475524324102
354,-4.123728374936181e-05
355,0.0021226588383250313
356,0.0010500716307075403
357,0.0020034095008323216
358,-0.0024146690620518167
359,0.004215271362077993
360,0.0007325435805042688
361,0.0014831481342157512
362,-0.0011166440508496545
363,0.005046378981415583
364,-0.00034342210086859876
365,-0.000251152294715632
366,0.0008893262540580402
367,0.0007819194757940015
368,0.0036131884971912064
369,0.001155861730030231
370,-0.0018754189125990072
371,0.006497947459111517
372,-0.0003421437026993278
373,0.0001015527608121512
