,drop_hybrid
116,-0.003697990557922546
117,0.000667580805640511
118,0.0029785419534701
119,-0.000566696020339318
120,-0.000908578840168951
121,-0.0008335082095394616
122,0.0009742141667993399
123,-0.002802149154648578
124,-0.0022342224478637375
125,0.00026591587014475175
126,0.0010761964221094491
127,-0.0028028498043605092
128,-0.00018445097287076668
129,-0.000450629703386027
130,-0.0010580265765887404
131,-0.0043800478818853995
132,0.0010206951563345706
133,-0.0017883077982524499
134,0.0010157423653207995
135,0.0029728226112040435
136,-0.0011733380788196287
137,-7.157325454715644e-05
138,8.645230575197714e-05
139,-0.0032972775985352573
140,-0.0007626900324421176
141,-0.0006448338164613172
142,0.0013323830396703516
143,-0.0004604695936973614
144,-0.00032739916717039284
145,-0.00036219837778353014
146,-0.0003254936190964454
147,-0.0027373848060372116
148,0.00012318654328755097
149,-7.11294843576855e-05
150,0.00045096768601881763
151,-0.0004652864661475597
152,0.0009874220002180781
153,-5.437117970849351e-05
154,-0.0006363226044805573
155,-0.0011782977318335432
156,0.000786132377971989
157,0.0005666414830587814
158,-0.000282570614976568
159,0.004420367604645486
160,0.0010011119609671956
161,-0.0029016207698102153
162,0.0017523056719793296
163,-0.0009494356179764578
164,0.0011801430808255234
165,0.00014089545214120722
166,-2.843122138509018e-05
167,0.0033342508981125205
168,0.00018298696619840213
169,-0.0026006204957260523
170,0.00047024632214152755
171,-0.003743879444149274
172,-5.109178608264924e-06
173,-8.215772309134874e-07
174,-0.0006246568883339256
175,-0.0006059908282832729
176,0.0003523703944615367
177,-5.139623716527443e-05
178,-0.00037674303791975677
179,-0.0010856231141306994
180,0.00017360438010870138
181,5.762337370970329e-05
182,0.00061146103694189
183,-0.0017953755013898334
184,0.0003099333348713232
185,9.038739783677095e-05
186,8.034371101710076e-05
187,-0.0011412228366606085
188,-2.1827365048837285e-05
189,-2.530461246053635e-05
190,0.0006690520817514973
191,0.0009518204225671474
192,0.00014966924315582884
193,7.272317480892261e-05
194,4.691763157465145e-05
195,0.000963568316007747
196,-0.0001442281121877515
197,0.00020817368170050591
198,0.0006353957108145427
199,0.0027636304630032807
200,-0.0003781260723593067
201,0.0009960077340062637
202,-0.0007441798326117827
203,-0.0012558222077578222
204,0.0006217884229852477
205,0.0009164530092744942
206,-0.0018272912686390348
207,-0.004727431615091003
208,-0.00014942869078073684
209,0.0019098882453001853
210,-0.0009819661645387157
211,0.0022124610557456136
212,0.001120122381858427
213,0.0004820076343115791
214,9.423774269150596e-05
215,0.004992619419753374
216,0.0015618295055763978
217,0.002499776425096083
218,0.002631229892050305
219,0.021000297571199828
220,-0.0014934776911246193
221,-0.0004749224819918087
222,0.0002165435087959632
223,-0.001018855159850417
224,-0.0011609073885894242
225,-0.0021897096662709145
226,-0.000504901630336701
227,-0.01183113857153786
228,-0.001650850750668338
229,0.0007077815752904701
230,0.0002325200429206328
231,-0.0021411527629913666
232,-3.652859577960459e-05
233,-0.002435182850127066
234,-0.010131331316139086
235,-0.029167886572876247
236,-0.0023679666626160636
237,0.0022914844497699386
238,-0.02051489480146822
239,-0.05225865555052033
240,0.0002094881839534634
241,-3.866346777217037e-06
242,0.00017935484294715053
243,0.00069028866520413
244,-0.0026772025919067403
245,0.002755066243143137
246,-0.00017515213151014122
247,-0.0005540512683340426
248,0.001624780961230564
249,-0.002302527199158586
250,-0.0004715215670261798
251,-0.003292747782793458
252,-7.961909869020923e-05
253,9.519326196762994e-05
254,0.000143998138061688
255,0.00019709289268293582
256,0.011598335057549333
257,0.004904572846400045
258,-0.004669454177096428
259,0.04416783473618086
260,-0.0006101508438554447
261,0.00034622216246604494
262,0.0013419306902513156
263,0.003741487440954876
264,-0.003396387363867205
265,-0.005409216539797353
266,0.00403545069700253
267,-0.015106825947323325
268,-0.00029487923385957104
269,-0.00011792409008541873
270,0.0006676185503001932
271,0.0006348282524703489
272,-0.0010830139987599461
273,-0.0001401504463030901
274,-9.740501652147891e-05
275,-0.0036638360198322922
276,0.00038031284792247003
277,9.722158733213156e-05
278,-0.0008824063322597475
279,-0.002902969478466409
280,9.913023103314161e-06
281,-0.0013124853627245927
282,0.00033452795935842223
283,-0.002678513829790554
284,0.0003945671365840278
285,0.0005394412032098154
286,0.0001387305554995536
287,6.62824187146367e-05
288,5.883735916094102e-06
289,-6.577518355205436e-05
290,-0.0007973000330989104
291,-0.0009197462301253833
292,-3.5966720791161967e-06
293,-1.0788480660246054e-05
294,1.5098145701563008e-05
295,0.000197224059240517
296,-0.003508726618274759
297,-0.0018338182054943232
298,-0.0018422601823776523
299,-0.021430653786253057
300,0.00015248641448422902
301,-0.0005881765465358498
302,0.001451118276637482
303,0.00210862026517833
304,-0.00015334589175832565
305,-0.0001770684725446004
306,0.0006989571947004427
307,0.0010723258535741136
308,-0.0002832514212804914
309,0.0004743373870785355
310,0.0006008040536948782
311,0.002684284346759111
312,-0.003016066763990542
313,-0.0026795642835033755
314,0.00044638024198300185
315,-0.017247240852299138
316,7.168322930304672e-05
317,-0.0008431776102726158
318,-0.001752371165798424
319,-0.008557360944367718
320,-0.0023501983686436937
321,0.0009693768086068946
322,0.0010362861089114155
323,-0.0013578263061484524
324,4.730776282692513e-05
325,0.0005979182630938344
326,-0.000497747646323582
327,0.0001079862920688883
328,1.4286604608380827e-05
329,4.665983738401717e-06
330,-4.959041029933399e-05
331,3.8119219813107575e-05
332,5.077517754860797e-05
333,-8.300248851216225e-06
334,-0.00024622844471199686
335,-0.00062238051597192
336,-8.967846914498492e-05
337,5.4177388526911286e-05
338,0.00022592514113280724
339,0.000712255605803451
340,-3.883919969012402e-05
341,0.002321663934156582
342,-0.0005119852684712317
343,0.005893277638696757
344,-0.000194640165775454
345,-0.0011169220000261234
346,0.000364892038705382
347,-0.003025401391850948
348,0.001253376375124336
349,0.0008662507860263454
350,-0.0027440115758496993
351,-0.0020147485560969625
352,0.00019406892466004912
353,-0.0009358953726012865
