,mathpass_wi_hybridper_inf
206,8.691668207876671e-05
207,-0.0013280202415429528
208,8.248573151440483e-05
209,-0.00011234413779668332
210,-0.00014397692013655826
211,-0.0008206769812058813
212,-0.00032064175323926055
213,4.6757246374084796e-05
214,7.413484665471943e-05
215,-0.0003895312877667961
216,0.00031061837811282537
217,-1.9964873969334664e-05
218,1.4971608214302989e-05
219,0.0005544010092866743
220,-0.00024604652720913945
221,-6.956533501355351e-05
222,6.308055384070963e-05
223,-0.000814090349718462
224,0.0002131077655707792
225,-7.646765147563678e-05
226,-5.39931211785027e-05
227,5.464810805212015e-05
228,0.00022380833152529895
229,0.0006699171005505654
230,-0.0001182537205230753
231,-0.0001081093573765269
232,-0.0003769489264504915
233,0.0008614568206479543
234,1.1496574884061446e-06
235,0.0009440434179804587
236,-0.00022641318058323978
237,1.082161343188275e-06
238,-0.00022100700231808708
239,-0.0008532362599219911
240,0.0001137738474595706
241,-0.00010690570859952776
242,-4.754690060310121e-06
243,-0.00022557119991135406
244,-0.0008309671940970397
245,1.1104867584756348e-05
246,0.0006102950982285857
247,0.0007501577432539083
248,-0.00012073439563008266
249,3.8180212663342364e-05
250,-0.000193235841962108
251,-0.0005296889127786953
252,-0.00015203465755416265
253,-0.0008594229045296927
254,-0.00027839716923900025
255,0.00022825970647721776
256,0.001968967367912542
257,0.0009487654704868468
258,-0.004237902402195469
259,0.005037465631460067
260,0.00015680326410515198
261,7.906207166226214e-05
262,0.00022102624159086464
263,0.0004973822340504049
264,-0.0007473976588106163
265,-0.00016895452391029324
266,0.0014521571619630833
267,-0.002475223315355007
268,0.0001935984948579131
269,-2.3003234786784537e-05
270,4.941696525821824e-05
271,0.000336048831579847
272,0.0003438366400810984
273,2.14452694162108e-05
274,0.00011994536045916838
275,0.0006721877567077113
276,-9.120624706067181e-05
277,-0.00019724322639410666
278,0.0013012272561146766
279,0.0013615167462577573
280,0.0001455419007181916
281,-0.00146990316499419
282,0.0012382779961016288
283,0.0014213948055983164
284,0.00012368777119774755
285,-0.00023612683638271593
286,-1.625955341570855e-05
287,-0.0005688005885406424
288,-0.00011765762116228787
289,-6.398460497615265e-05
290,-0.00018402861825976612
291,-0.0012804081581524291
292,0.0004489088121808845
293,2.158297189457864e-06
294,-0.00021270221084814962
295,-0.00018239844126858744
296,0.0013150055439472455
297,-0.0013123202262725888
298,-0.0004157135834655487
299,-0.0005524908799651361
300,-0.0002488273503653378
301,0.00046411109337178347
302,-0.00018478071769106413
303,-0.0004687876735680493
304,4.764227192646035e-05
305,-0.0006922283480648502
306,0.0001162646724675671
307,-0.0007287373974595862
308,0.00020364593319875947
309,-3.736229153295457e-05
310,-8.333777641886989e-06
311,-0.00012755935847825304
312,-2.12512887111429e-05
313,0.0002117322988634116
314,0.0005386037045009435
315,1.684043041022002e-05
316,0.0005540323579539116
317,0.00020626616732512953
318,-0.0007097690961812587
319,0.0002755408179371247
320,0.0005291646831443353
321,-4.281242363015024e-05
322,0.0003501111941787022
323,-0.0011857089875361132
324,-0.00011460958738412748
325,3.691289329390059e-05
326,0.00035294473855912174
327,-0.0005367337913967603
328,0.0005254479146548835
329,0.0009609474138882842
330,-8.23731390284254e-06
331,-9.176941737545536e-05
332,0.00019370198726076832
333,0.0005675802859782156
334,0.0013745064690339965
335,0.0022748536497316572
336,5.045281422387345e-05
337,-3.0968201597500845e-05
338,-0.0014469491510024643
339,-0.003335017764362878
340,0.0005509360225664369
341,-0.00015315322634931465
342,-0.00032632561503850654
343,-0.0012056181391401613
344,-0.00035853825370243356
345,0.0011644919771384135
346,-0.00015976951605006998
347,0.0033542282726584717
348,-4.278754217146372e-05
349,0.00011630603592202923
350,-0.0001477699592251997
351,0.00016276360682152417
352,0.00011733608957265442
353,0.00022920136832744485
354,-3.621726920877346e-05
355,0.0011309627793593484
356,-0.00021913227784935708
357,0.00014193926917147474
358,0.00023690096501671157
359,-0.00036828538169896496
360,-0.00019169828498340284
361,-0.001002950372986455
362,-0.0007000835350665601
363,-0.0002503179306969162
364,-0.0001626036655244873
365,-4.929960234893943e-06
366,0.00042390110188539673
367,0.0002406391453042776
368,0.003594548120189304
369,0.001823246182444186
370,-0.0030205515137421406
371,0.008942365087416535
372,0.0007945183309819812
373,-3.1885285500064464e-05
374,4.48557568898166e-05
375,-4.4618331720577316e-05
376,0.005565103366723227
377,-0.0007366328335867526
378,0.00048612408337812526
379,0.02122359655273767
380,0.0009057159628758264
381,0.00025897858278177844
382,-0.00014937771764322646
383,0.0005804778377280126
384,7.404152294522665e-05
385,-0.0001962228619610517
386,0.0004484081638255169
387,-5.974645964435459e-05
388,-0.00013552499037613097
389,-0.0011766583984270807
390,0.00020770428942469833
391,-0.002650812879374388
392,0.0004115800868382194
393,-0.0001027973265938651
394,-0.00023154967350587664
395,-0.0004365429301834417
396,-0.0010668675518258341
397,5.2166997822287316e-05
398,0.0001097397891544656
399,-0.0009341371076071412
400,-0.0009002720108093963
401,-0.0002503128335054819
402,9.657642745292339e-06
403,-0.002250209881475574
