,drop_ga_hybrid
410,0.00020793673671340698
411,0.0005665401261486671
412,0.0004118882272077141
413,-8.274027668739446e-05
414,-0.0010332673418100792
415,-0.002107765420712846
416,-0.000437722603043891
417,-9.392698294084277e-05
418,-8.236561610837605e-06
419,-0.0016223397807198221
420,0.000846629315811605
421,-0.0006467521972128554
422,0.0004731084016991088
423,0.0017583950972711142
424,0.0013354178006388044
425,0.0008164441784922083
426,0.0005759722066324283
427,0.008288129512912456
428,0.0002914358225011993
429,-0.0003087310723959372
430,-0.0001690702220856778
431,-0.000702031930734187
432,-0.001316342911310768
433,0.0010971097647710778
434,0.0037706389078445033
435,0.013085382037833293
436,0.0004103654166660699
437,0.0006418672625325287
438,0.0014446186862620562
439,0.008392592220517582
440,-0.00031793487562120404
441,0.0017410070547280718
442,-0.0005299780395753887
443,0.003144335296121737
444,-0.0005185208144280017
445,0.0023467588875472787
446,0.00016330316278613524
447,0.008147700614725318
448,-0.0003442085488690605
449,0.0005232457052912045
450,0.00017517256551700448
451,0.0007921634481326183
452,-0.00011860507627445796
453,2.5394729012386216e-05
454,-0.0004102017638319124
455,5.4989959106504996e-05
456,1.7891205335154508e-05
457,-6.472297874034102e-05
458,9.026547409111134e-07
459,-0.00013436623251912434
460,-0.00020227995156705495
461,0.00010871214249059857
462,0.0008666684825170434
463,0.0005374430473929646
464,8.695159490268675e-05
465,0.0002737529073894375
466,0.00019344044208989797
467,0.0016244179566248876
468,-0.0003144512282504992
469,4.227981502716809e-05
470,-0.00029031376457794484
471,-0.0020629097793582398
472,7.690438027436077e-05
473,1.733419708788317e-05
474,-0.0003592139447884402
475,-0.0008544861708272059
476,0.00022700807368540444
477,-0.0008234312242997855
478,-0.00125561784740094
479,-0.004793875411413564
480,-0.00047335829950188987
481,7.978881525125161e-05
482,-0.0005145515931258553
483,-0.002500334815662194
484,-0.00018384103581470452
485,0.00010643308582354306
486,-0.00045321384498863576
487,-0.0015183001119583948
488,-5.832875193252597e-05
489,0.000236745239962721
490,-0.0001367060638655503
491,0.0008395895481390706
492,0.00012940389499257102
493,-0.00010638699159297126
494,-0.000299980698232798
495,-0.0003298611064448737
496,0.00063480277398151
497,-0.0010949568502527905
498,-0.0006640101333803616
499,-0.003177052259526479
500,0.0001555506822950553
501,-0.0006927659526072995
502,-0.0014698479165267514
503,-0.005432619263586034
504,0.0015185548570582242
505,-0.0006793042299621668
506,-0.0004762872059375168
507,0.0009807948554578375
508,-0.0008241084161192344
509,-0.0007744138128522234
510,-7.87071053776977e-05
511,-0.005361776850486006
512,-8.711307601076838e-05
513,-0.0001875409789641541
514,0.00011490270176989494
515,-0.0001886202223778976
516,7.758350008742322e-05
517,0.0002581034099242274
518,-0.0005230695195425402
519,0.001069785004270734
520,0.00030542516417973443
521,-0.00020016414736693933
522,-3.796667672774458e-07
523,0.00040950366607166183
524,5.1825862685947634e-05
525,-6.45712763833629e-07
526,4.73765305940989e-05
527,0.00016729973389053253
528,0.001020372452815864
529,1.622319341277389e-05
530,-0.00033396026627591555
531,3.272123310241172e-06
532,7.816855627615917e-05
533,-1.0583551240678377e-05
534,0.00014822776770062832
535,0.001062183161605743
536,2.7902069277415518e-05
537,-0.00031815459491446444
538,0.00037816117767061744
539,-0.0002531193997160348
540,-0.0004474381283311346
541,-0.0004541007686306102
542,0.0005533780350105479
543,-0.0009773083038412565
544,-0.002576261571131511
545,-0.0009016054912592778
546,-0.0011714587814500826
