,black_elapass_hybridper_inf
84,0.0012157725840775686
85,-0.002544259215991365
86,0.0012267563831525967
87,-0.0010703920735326312
88,-7.1925435672083594e-06
89,-0.0017165422319765557
90,-2.5922036494258682e-05
91,-0.006096810775374878
92,-5.4028036903527785e-05
93,9.351580144584164e-06
94,0.0011414039999005532
95,0.0030699280733939
96,0.00029449470492054817
97,-0.00010912960333903751
98,-0.0004759001114186714
99,0.00010557394094716491
100,-6.60423527461243e-05
101,-3.585031409791299e-06
102,-1.621979750317481e-05
103,-3.3766220609339694e-06
104,2.108933011141014e-05
105,0.0002737034753057589
106,-0.0005408826192976733
107,-0.0011782333018924389
108,-0.0011079917433226363
109,-0.0008018713100071468
110,0.001051174875318206
111,0.007348568364062142
112,-7.066825819598847e-05
113,-0.00027866022580355957
114,2.689131736164828e-05
115,-0.0006243001483574931
116,-5.942805795890319e-05
117,-0.00020826013220961106
118,-4.6079553021103646e-05
119,-0.001028234852421476
120,-0.0003714404312500985
121,-4.569429723872527e-05
122,-7.577739931585741e-05
123,-0.0017108223263663422
124,0.00034174459408023005
125,-7.125603209945718e-05
126,-0.0004268647266337889
127,0.0007555932470219462
128,0.00019019683761430624
129,-6.832630883346002e-05
130,0.00011217397225120503
131,0.00044376091927863435
132,-5.101665567847288e-05
133,-8.596068900801707e-05
134,7.472978787151653e-05
135,0.0005609406436920697
136,8.993584920363083e-05
137,-0.00017444247531267238
138,-0.00017987928295133354
139,1.4768271792106819e-06
140,-0.0003152523951128499
141,0.00023144914963022057
142,0.0001563509165989729
143,0.0005706703432863931
144,-0.0008762397575269877
145,0.00020199253752988848
146,-0.0005398006121907367
147,8.4714775263857e-06
148,6.915684659239894e-05
149,0.00020965263350444097
150,1.6195505595145376e-06
151,0.0008171263582058168
152,-7.01165804297609e-05
153,0.0005789798988176113
154,-0.0002261089424047459
155,0.00042697683379262465
156,-9.753803185039129e-05
157,4.114787355414856e-05
158,-1.9687910018040808e-05
159,-7.958736992666143e-05
160,-1.4647168698450212e-05
161,2.2260954277476166e-05
162,-6.321033604242931e-06
163,9.106710199129937e-06
164,-0.0005589914086617195
165,-0.00013501597430485722
166,-0.00012293946457631624
167,-0.0009926207987000035
168,0.0009692270700687671
169,-3.686122506220668e-05
170,-0.0004044133589933072
171,0.0007488054758486529
