,mathpass_hybridper_inf
156,-0.001007209924434708
157,-0.0009895737252699451
158,0.0009804557729651102
159,-0.0031608613593191873
160,0.0008952579104621651
161,-0.0009026468172165
162,0.00048321200401861233
163,0.0020635227850952396
164,-0.0009759341837542458
165,0.0005297035696189314
166,0.0007439675753188355
167,0.0002565942489711114
168,0.0016525539129043166
169,0.00011590650331213878
170,2.307389231255596e-05
171,0.0059146733733169065
172,-0.0009136776225130179
173,0.0004131896084774739
174,0.0006685449907924355
175,0.0005422263060463684
176,-0.002423039935196479
177,0.0014030230414930585
178,0.002225506520799697
179,0.0026403561397980784
180,-0.0005202924255011298
181,-0.0008239897476866528
182,0.001336736109511974
183,-0.00048121272082921794
184,-0.0008137756749493878
185,0.0012057795868537938
186,-3.200738263289668e-05
187,0.0008895566721329298
188,-0.0004290289213493706
189,0.0019377320684415248
190,-0.00027982546773583085
191,0.003557985428536359
192,0.00028697912617945125
193,-0.0012018642413077932
194,0.0005581824304817518
195,-0.001131717728053045
196,-0.0020784386610779716
197,-0.00015882562084412763
198,0.0011252828392228945
199,-0.0034972604615421603
200,-0.003045597755774003
201,-0.0019237200227518348
202,-0.000843331767323378
203,-0.020076837453192893
204,7.01310739422619e-05
205,-0.004517251392063606
206,-0.0005068244910435231
207,-0.015624948537608164
208,0.00017431716890922618
209,-0.0006816797760091502
210,-0.0006307225123122719
211,-0.0029147415807456714
212,-0.0011975129566129082
213,0.00015872873277960838
214,0.00047129854068654766
215,-0.0016147240882431607
216,0.0005235247012671836
217,-7.73498706721032e-05
218,0.00013973838561538038
219,0.001734172365532398
220,-0.0005311653464657462
221,-0.0010127084241038223
222,0.00040407318839278566
223,-0.003470521683210237
224,0.0005066016652651385
225,-0.0003440857099208135
226,-0.0001498630778785712
227,0.0001663650644487457
228,0.0014760239573521259
229,-0.0023591154005740303
230,0.0011459435848436396
231,0.0013443034468232677
232,-0.0009495438729517837
233,0.0020515479700314015
234,2.0055981784878033e-05
235,0.0032056535117771057
236,-0.00046171103860431897
237,1.6683069278002388e-05
238,-0.0005245169841905832
239,-0.00275558762463588
240,-0.0009684434198935724
241,0.0013615367036999687
242,0.00041363117527065966
243,0.0031100756786242153
244,-0.0018116683995661315
245,5.9175780375306755e-05
246,0.0028307146738226915
247,0.0026334054630514528
248,-0.00016842354814501585
249,0.0012654132546993675
250,-0.0017452361593434267
251,-0.0018553452850437993
252,-0.0006493682442991356
253,0.00479019191470432
254,-0.0019324753659402463
255,0.0048766772934293245
256,-0.0017568422419152597
257,-0.001083246938727551
258,0.0027022050636425735
259,-0.0040662161094368625
260,0.0006141643176710433
261,-0.0009361451075480065
262,0.0021897229901006797
263,0.005450258097017369
