,elapass_in_virtualper_inf
420,-5.8777000620274675e-05
421,-0.0007383742700450448
422,-0.0008749269402428826
423,-0.005347422828450284
424,6.020228872425383e-05
425,-0.00017986382153247805
426,-9.380901306719206e-05
427,-0.0006069616527063548
428,7.464833555797081e-05
429,-0.0007692337603654913
430,0.0002939853414506221
431,1.530792983744541e-05
432,-0.0017401319665255204
433,-0.0006834340719830436
434,0.0007251918792741858
435,-0.00418520210126986
436,-0.00018730234739966543
437,-0.0005000249578305676
438,0.00019337183061415755
439,-0.0014555320182916588
440,-0.00023693351058182434
441,1.763169534787231e-05
442,-5.008466528222572e-06
443,-0.0006996142513411801
444,-3.413707995438715e-05
445,-5.794413450458142e-06
446,0.0003429324191076827
447,0.0005331943705302953
448,-6.822961656285498e-05
449,0.00011548173933785926
450,8.327941143811744e-05
451,-5.3835746392427264e-05
452,-0.0014301032211767558
453,0.0019149142088094782
454,-0.001474909462055272
455,-0.0008339941684238642
456,0.00015337012794352896
457,-3.658014177077701e-05
458,0.00013530027717816406
459,0.0006591210436781224
460,-0.00043125352441636877
461,0.00042305257665084344
462,-0.00022989192964332225
463,-0.0006293372007273253
464,-0.00028699304796536365
465,0.0002615990495176844
466,-0.0001310602476758998
467,-0.0006197996171741978
468,1.6938487689990327e-05
469,0.0006441385710126535
470,-0.00018250896802328304
471,0.0005675921563374265
472,-0.00012686996192262507
473,-0.0020551309969333155
474,0.0004359522944060791
475,-0.003069706550210168
476,-0.0012551283237264518
477,0.0007904511381307714
478,0.0009580771831182465
479,0.002354051749776351
480,-0.0038858128837978958
481,0.0007690433443703729
482,-0.0003702546073549186
483,-0.002216781351216315
484,-0.0005007120806655927
485,0.00012336797581573436
486,7.740910718631382e-05
487,-0.0011274401843560343
488,-4.492010590534374e-05
489,-0.00017159974611153858
490,3.993343430196589e-05
491,-0.0009862509046405005
492,-0.0004301149353874579
493,9.06054216073248e-05
494,0.00021657789932151753
495,-0.0017870888893251754
496,0.00023725805445006426
497,-0.0002753620850582377
498,-1.2824019580137907e-05
499,-0.0009120365080700666
500,0.0011334943178507911
501,0.000106832894748948
502,0.000516490046377341
503,0.00019413033064159834
504,-0.0004512329734748665
505,8.779630853860146e-05
506,-6.792997381113128e-05
