,mathpass_wi_virtualper_inf
197,2.2262385153455585e-05
198,3.7846415514583525e-05
199,0.0002764506086029089
200,0.00035464185606393187
201,0.00022163130669937683
202,-1.4397795249213718e-05
203,0.0013759524659859256
204,6.158560310104986e-05
205,-0.0032339224903788393
206,-0.00038612960914941014
207,-0.01219524323343503
208,-8.976541899554785e-06
209,0.00010081685720239943
210,-6.201250897936147e-05
211,0.0001356576528814569
212,0.00014776646689806063
213,-1.4192056450310187e-06
214,-8.839406083395967e-06
215,8.894990950514065e-05
216,3.085215935319322e-05
217,-1.5950056606883082e-05
218,2.0169359376318634e-05
219,0.00023343754380548794
220,-0.00037050151907046925
221,-0.000558059164664837
222,0.00021380602584709557
223,-0.0020664362440800475
224,-1.4413032150970367e-05
225,1.2424332883092534e-05
226,-2.2283291204140015e-05
227,4.723712414620915e-06
228,-0.00024729007244557634
229,0.0001096627195343285
230,-9.096855922560067e-05
231,-0.00013140072456530955
232,2.3724757900173886e-05
233,-3.1853537621887596e-05
234,-4.88140115051337e-07
235,-6.9614920005339e-05
236,-1.137803430957815e-05
237,-1.5371762480718323e-06
238,-4.338508275608258e-05
239,-1.6702557991701856e-06
240,0.0003887099195426313
241,-0.00036293018605763807
242,5.788568933558681e-05
243,-0.0005978542662802472
244,-0.0005195024319918678
245,1.0007766661967491e-05
246,0.0002895121518509602
247,0.00048489149886608276
248,1.4507385693891901e-05
249,-0.00016842040663239208
250,-0.00030783976659117066
251,2.3194410335902306e-05
252,-0.00018505997674265993
253,0.0014317103291923436
254,-0.0006880813657882228
255,0.001515841876258353
256,-1.982181861447019e-05
257,0.00010821027535748045
258,-0.0023745052005912475
259,0.001599206936246032
260,0.00024153473679426894
261,-0.00031318857281833026
262,0.0006532703605722233
263,0.001858637834610196
264,0.0007123058660381886
265,0.0004474179634103512
266,0.0005888703115768222
267,0.0006817221078931207
268,-5.903646929420879e-05
269,-5.1224550246648155e-05
270,-0.00010875147732634753
271,-0.0011516326906431062
272,-5.71268836607541e-05
273,4.859481922234594e-05
274,2.5890598889142655e-05
275,-0.00010884715075310063
276,0.0013221117239745404
277,0.00040698044508196926
278,-0.003464879519661695
279,-0.0043433095381521635
280,-0.0014282020014142317
281,0.002530699460862594
282,-0.002295544613774382
283,-0.003536183541801266
284,-1.6779644664389883e-06
285,-0.00013685435436487455
286,-1.5123780634569862e-05
287,-0.00025469859623471127
288,6.808646131373341e-05
289,0.0001996382122717473
290,-6.95498327734555e-05
291,0.00026285355966912583
292,0.00023505101351588818
293,-5.788157852085778e-05
294,-0.00032636317825429916
295,-0.00019878617199206754
296,3.7299803088185095e-05
297,-0.0003282390817092058
298,-0.00011767775902211765
299,-0.0001058062977553408
300,-0.00039904439530536335
301,0.0008310175261277461
302,-0.0006798310061457576
303,-0.0011246198174124475
304,3.9464400948119076e-07
305,-0.0001249618596221074
306,-2.858244319474271e-06
307,-6.436399101608748e-05
308,0.0001225070479908521
309,-5.791066376341515e-05
310,-0.00011060808730204429
311,-0.0001636057318547164
312,-0.00020454621890526414
313,-0.00026660817181131853
314,0.0007267846615518984
