,elapass_in_hybridper_inf
301,0.00016515612829797914
302,4.7332599063837213e-07
303,0.00027245989847272787
304,-0.00010367458764135585
305,0.00011596599534807168
306,8.390430285741445e-07
307,-0.00012127681610949656
308,-0.0009513507129355302
309,-0.0004980653959202845
310,0.0009432286166709012
311,-0.0014108125604685876
312,-0.000489634959240978
313,-0.00015725792265363346
314,0.00041774532732896164
315,-0.00045722165333322265
316,-0.00014610990964069491
317,-8.684170113392348e-05
318,0.0001588773428990848
319,0.00012385856385220816
320,3.2613530437709735e-05
321,-7.926925112010013e-05
322,-0.0002736315858637637
323,-0.0006909137076487994
324,2.4523538354124543e-05
325,-0.0001987025825671947
326,3.8707852246590045e-05
327,-0.0002577321444382606
328,-0.00015020339471056673
329,3.248397713882218e-05
330,-0.00015518314532319706
331,-0.0009008017352144479
332,0.00018664786179761812
333,-0.00012972383604891997
334,0.00013756048941980604
335,-5.754801757063691e-06
336,0.001020164617229377
337,0.0007538289967196541
338,0.0014725949489125779
339,0.009935568784554722
340,9.265190837387376e-06
341,-3.414711316838041e-05
342,-0.00010912461606065661
343,-0.00018297862076156526
344,-0.0003528204656154932
345,-0.0018850708014526718
346,-0.00070588113357061
347,-0.00909888077505725
348,0.000816226404746061
349,-0.0006376773495105712
350,-7.537729688856977e-05
351,-0.0009527765666088599
352,0.0014466207430012163
353,-0.0025121876890292954
354,-0.001277381746029369
355,-0.006588300679008593
356,-2.9358998911051343e-07
357,0.004159008620726752
358,-0.0025825539020376573
359,0.004204807038269963
360,-0.00010876134552009594
361,-0.0007826386116156444
362,0.0003287158037283557
363,-0.0005890919832789254
364,0.0034351471881944712
365,-0.004034424301606029
366,-0.0027384838261765615
367,-0.010846865663591979
368,0.022379738847888225
369,0.016980688866233266
370,-0.03367901501253658
371,0.01753439304943963
372,0.00010697912510643527
373,-0.00022008946959391435
374,7.964181980447785e-05
375,0.0004295642621634464
376,0.04403346207217424
377,0.008918930364119932
378,-0.05184620047761026
379,0.0096689681853583
380,0.07360248319166851
381,-0.02817426971643651
382,-0.057215308114477614
383,-0.047664725970845236
384,-0.00017109597120128575
385,-7.608812110221488e-05
386,0.00017023952721545446
387,-0.0005351936671637356
388,-1.9029864825268203e-06
389,-0.00035857267082026076
390,0.0003848704906227426
391,-0.00021013127328573878
392,-0.0025638525857760454
393,0.007180143350957269
394,-0.004571922170274948
395,0.0004812602459426358
396,-0.0009004688605306026
397,0.0011949784488991253
398,-0.000320688472177707
399,-0.0002890592373139155
400,-1.712307596982832e-05
401,-4.558982898377349e-05
402,-6.439714525360149e-05
403,-0.0001408938086120693
404,-0.00022004000982941388
405,-3.208600284468406e-05
406,5.263277724065603e-07
407,-0.00031057871292872755
408,-7.407067684180437e-06
409,-1.7391695803928445e-05
410,6.564880943644038e-06
411,4.557576584245775e-05
412,-4.099976738234305e-05
413,1.668469841733883e-05
414,-2.5421550095903866e-05
415,-0.00019362865889122118
416,0.0005689379945533797
417,-0.0001547907527053196
418,-2.2449647974989588e-05
419,0.00019200429401948832
420,-4.048518929975485e-05
421,-0.00033708391555281624
422,-0.0002740049704375179
423,-0.002713152931290636
424,0.00022047688428578665
425,-0.0005462871280997949
426,-0.0002687922614921208
427,-0.0019112995704291108
428,4.915950471998652e-05
429,-0.00024156156461171906
430,5.1440428029710005e-05
431,4.46823370259442e-06
432,-0.0009115812325238221
433,-0.0004013172880779185
434,0.0002038173558803344
435,-0.0020441475617919954
436,-5.433198222703376e-05
437,-0.0001249016476256182
438,0.00010726609972586126
439,-0.0005262864087484139
440,-7.789145143159377e-05
441,5.96419840722671e-06
442,-9.074499754031252e-06
443,-0.000343735262138983
444,-5.880979301467722e-06
445,-2.3104054595420464e-06
446,0.00011778312230261349
447,0.00016825808386107904
448,-3.905896444068537e-05
449,4.919830871417962e-05
450,1.421311516505658e-05
451,-2.0196027827832935e-05
452,6.697256343376807e-05
453,-0.0005727967734027157
454,0.00034480868223837126
455,0.00014116240666741558
456,0.00012488813005478994
457,-5.5715673902612e-05
458,0.00011021063110350565
459,0.0006437925980936694
460,-0.00016740957837856627
461,1.9934327375349573e-05
462,-0.00013601100456753885
463,-0.00021317829591260774
464,-2.2987409036025034e-05
465,1.439924697502089e-05
466,-7.393992937368669e-05
467,-0.0001558118841231235
468,1.2163308625179598e-06
469,0.00029780239239721385
470,-6.252720000680274e-05
471,0.00022094685082946913
472,3.0956299596143866e-05
473,-0.0005949140324980848
474,0.0002896670489735823
475,-0.000856783660439967
476,-0.00033401940800759837
477,0.0001779986317394694
478,0.0005276641853944937
479,0.0007818753608178052
480,0.003908973373916327
481,-0.0009932328517890966
482,-0.0020702339943658348
483,0.004553068820500181
484,0.0019942559876337885
485,-0.0003767051433281021
486,-0.0002907457723579331
487,0.003978487897865222
488,-8.34436997390697e-06
489,-0.00010142313884235654
490,5.43097907606576e-05
491,-0.0003263344923153702
492,0.0015703778924383452
493,-0.0001889170941644462
494,-0.0001779056900860132
495,0.002984452359740107
496,0.00023533654805929554
497,-0.0002516867904947498
498,-0.00016060545102373772
499,-0.0010337405435662068
500,0.0006796875867413133
501,0.00013781149242669602
502,-0.0002711749365710009
503,0.0002480263512484614
504,-0.00011859969161472624
505,1.7212980179700226e-05
506,-2.70798130831792e-05
507,-0.000488474219666306
508,-0.00011495130833117979
509,6.809593303796777e-07
510,-1.3418494334055187e-05
511,3.432161488577205e-05
512,-0.000775063291541513
513,-0.001568677424655331
514,0.0015882627540605534
515,-0.0018230152095466197
516,-0.0008548483692929314
517,-0.0006764347881846799
518,-2.6972342027742114e-06
519,-0.0033462123374197144
520,-0.0008475130158157159
521,-0.00029961692353276355
522,0.0004147075120264775
523,-0.0018862086342283097
524,-1.2038556988585459e-06
525,1.77153604668823e-05
526,1.005826072622056e-05
527,-2.1892800354023375e-05
528,0.013702215977073733
529,0.004186080750326613
530,0.0029109549002684382
531,0.06383917728999548
532,0.0004352041833551036
533,0.005726480032772359
534,0.0004175732741032235
535,0.01938772130426368
536,-0.0037386636904284997
537,0.0025424129410041314
538,-0.00036399238905416225
539,-0.003995225494057604
540,0.0004867788469192273
541,0.00024080545476206332
542,-0.00011842801012959692
543,0.0014527649409717277
544,0.00018175063905481067
545,-3.0030727256240336e-05
546,2.9339666056352265e-05
547,0.0005045486327642819
548,-0.00010467356664270156
549,0.00013593610220398737
550,7.542936160279569e-05
551,-0.00030015549851899125
552,-0.00011719930176911779
553,-0.000233235736903931
554,0.0002179099217495186
555,-0.00039901193398429226
556,-0.0008347107708358535
557,-0.00014020733300374507
558,-0.0003365884284226793
559,-0.0035910107298450446
560,7.005798791826973e-05
561,1.653779093500028e-05
562,-7.596156015544557e-05
563,0.00012543116703646917
564,5.562021303144845e-05
565,-8.436413292324767e-05
566,0.0002483074304363004
567,-2.926615300848678e-05
568,8.218974312130909e-06
569,-8.480228548567603e-05
570,0.00017725792783570364
571,-0.00022844409394779722
572,-1.3118433694648452e-05
573,4.641250672994011e-05
574,0.00024124705129132163
575,0.0004743558679148588
576,0.00014433340942784754
577,-0.00021564673622339058
578,-0.00013296100109423938
579,-0.0005159459702780587
580,-0.00011224039598719869
581,-0.00024461699890019077
582,4.9550430636366314e-05
583,-0.000833404248597244
584,0.0005405731932185215
585,0.0007404587556574209
586,-5.294743929010036e-06
587,0.00424025125417126
588,-0.00642173965266329
589,0.00393540628399636
590,0.0039112300634613776
591,0.0040712815401814295
592,-0.0032485132557289794
593,-0.0013668027623900522
594,0.002007210281234686
595,-0.0064506993054354545
596,6.031191423082613e-05
597,0.00011124741167684765
598,-0.0005318774670007023
599,-0.0011819872627646087
600,-0.005561377874164145
601,-0.005756932108414671
602,0.008071829338837174
603,-0.015983751611115926
604,0.0019449012549332886
605,-0.0012102933720230652
606,0.0020944757479736905
607,0.008662872187249763
608,-0.0010909964837541744
609,0.000779794499608156
610,-0.00042639291015340706
611,-0.0024823896462140213
612,-0.0001921044183497632
613,-0.00017109237723333666
614,-1.6967724745518646e-05
615,-0.0010059725242547643
616,-0.0035220295834089174
617,-0.004388619467699779
618,0.007766506016835524
619,-0.00030492374825026765
620,-0.0020846243958533308
621,0.0025576269409973438
622,0.0031481212670314163
623,0.014255720760781061
624,-0.0016515170495941926
625,0.0010787245281489485
626,-0.000406518145207961
627,-0.0028093889683654958
628,-0.00030709861381258177
629,-0.0032656199923416507
630,3.2772983383875616e-05
631,-0.012697583932912669
632,-0.0005724631178127807
633,0.0009926746513500095
634,2.7060938327451615e-05
635,0.0008426420840886266
636,-0.0009256965257108965
637,0.00031656509850018857
638,0.0007554298042880167
639,0.000947860918406032
640,-3.003614038064483e-05
641,-0.00034925748343792284
642,0.0001169843310382272
643,-0.00039541593726910346
644,0.0002714127453054352
645,-0.00018763192152743445
646,0.00020428277226311082
647,0.0009892906063441482
648,-4.0404682699581845e-06
649,6.892615497982367e-06
650,3.5749967297579105e-05
651,-3.0681462847387958e-06
652,-0.00022486596122593124
653,-0.00047698743204574874
654,-0.0006334168923942972
655,-0.003929857674423939
656,0.002118922194555149
657,-0.0007271288066310891
658,-0.0018531957143657
659,-0.001460756933258027
