,mathpass_ed_virtualper_inf
196,-0.0002990301108749089
197,5.7812323678718785e-05
198,-0.00014172574241626723
199,0.0004573460200680707
200,-0.0009663654334357669
201,0.0002995020023372502
202,0.00012393334284071557
203,0.00011790538827876721
204,-3.369398576176798e-05
205,0.005016634278829661
206,0.0006249345181069672
207,0.015136225662356156
208,5.559089982895407e-05
209,-2.3675964675799243e-05
210,9.778763088797655e-05
211,-0.000207515486180444
212,-0.00017904556950757943
213,6.401023140388139e-06
214,1.0251305317511249e-05
215,-0.00012198816579881334
216,0.0001297348658696162
217,2.5367809681955892e-06
218,-4.3271909525504105e-05
219,-5.81490988552793e-05
220,-3.909641929886763e-06
221,0.0003110171422086224
222,-0.0002945873079415834
223,0.0011470270702781111
224,8.911479776497425e-05
225,3.817626184790908e-05
226,-3.358344100520379e-06
227,3.388111896794669e-06
228,-0.0001745645995991737
229,0.0012456168087930394
230,-8.404605570840718e-05
231,-0.0003353525831505677
232,-0.0003180472138034693
233,0.0006967927574665632
234,-4.785205043578203e-06
235,0.0004836890883014669
236,-6.642566377724201e-05
237,-4.138162122045944e-06
238,-0.00011517269939211593
239,-6.514093329128426e-05
240,-0.00010732200617724593
241,-0.00019806807396292086
242,-0.00021478559299284176
243,-0.000510910428823007
244,8.712116461897582e-06
245,-1.0252589607410925e-05
246,0.00046530550102114217
247,-6.883534920269799e-06
248,-0.00012174742345513981
249,-0.0002437224338572169
250,0.0004142378479139973
251,-0.00017842752937072796
252,0.0001008722648902012
253,-0.002364350533868372
254,0.00038282050056573336
255,-0.0014614003135568676
256,0.00040357232091654723
257,-0.0007778924379452765
258,0.002574344059083414
259,-0.0021744748855228656
260,6.361939538248626e-05
261,0.00012624686230102352
262,0.00041891014226226754
263,0.0003112598640496283
264,-0.0007636181846868709
265,0.0004374170556872686
266,0.0004133769767911575
267,-0.0008789543763685487
268,-4.6936886080656134e-05
269,6.132839671213242e-06
270,0.00018801522743667833
271,0.000948380358810756
272,0.00035591085957513094
273,8.619103010100069e-05
274,3.836202070050352e-05
275,0.00029432739307762366
276,-0.0025905113903653956
277,-0.0008256877340126659
278,0.005760184752294916
279,0.00815567980019985
280,-0.0017094948668927165
281,0.002064725412265321
282,-0.0015078416761941764
283,-0.0031687414033886073
284,-6.0389688000985346e-05
285,0.00030992811548427774
286,1.6047600553561424e-05
287,0.0005140316398691713
288,0.0001428469550064656
289,0.00018237148043083427
290,-0.0001011106199377976
291,0.00030856728543965904
292,-0.0003763687510359188
293,0.00020373290649874457
294,0.00019642248397895142
295,0.0002646073238268026
296,0.0002446305562454103
297,-0.00022204704088503154
298,-3.68976941178329e-05
299,-8.150390733675179e-05
300,0.0005679379171455763
301,-0.0009479333553311183
302,0.000836224365935583
303,0.0013490630838637377
304,-1.4263284763782869e-05
305,-5.5820362291440735e-05
306,0.00010462188476505469
307,-0.00016140067164268493
308,2.562143208560016e-05
309,9.644429948337381e-05
310,0.00024721888428060637
311,0.00019989408755178567
312,0.0002952163514443266
313,0.0007614550717162553
314,-0.0009359263792298353
315,-0.0009016305559140971
316,0.0004116416301617138
317,-0.00021561933160442928
318,0.0004345579624513232
319,-4.295601636567683e-06
320,0.0002897109022659103
321,5.5328436955730573e-05
322,0.0008709136678104975
323,0.00015228479576165886
324,-9.24271761357556e-05
325,0.00032030724880272173
326,-5.588271662820457e-05
327,0.00018619100727392982
328,0.00045628282743691707
329,-0.0002041934780498487
330,1.0120166808343064e-05
331,0.00010797087169223891
332,0.00014372118749660649
333,-1.1373826708755297e-05
334,0.000684501701984101
