LEA Name,LEA Entity ID,School Name,School Entity ID,SchoolCTDS,Subgroup,EthnicAsian,EthnicAmericanIndianAlaskaNative,EthnicBlackAfricanAmerican,EthnicHispanicLatino,EthnicWhite,EthnicNativeHawaiianOthPacIslan,Missing_Ethnicity,Total,
ASU Preparatory Academy,92325,,,           _,English Learners,*,*,*,*,*,*,*,16,
ASU Preparatory Academy,92325,,,           _,Free Lunch,*,*,20,183,11,*,*,221,
ASU Preparatory Academy,92325,,,           _,Students With Disabilities,*,*,*,30,*,*,*,45,
ASU Preparatory Academy,92325,,,           _,Reduced Lunch,*,*,*,29,*,*,*,41,
ASU Preparatory Academy,92325,ASU Preparatory Academy - Phoenix Middle School,92326,078250001,All Students,*,*,37,265,38,*,*,358,
ASU Preparatory Academy,92325,ASU Preparatory Academy - Phoenix Middle School,92326,078250001,English Learners,*,*,*,*,*,*,*,16,
ASU Preparatory Academy,92325,ASU Preparatory Academy - Phoenix Middle School,92326,078250001,Free Lunch,*,*,20,183,11,*,*,221,
ASU Preparatory Academy,92325,ASU Preparatory Academy - Phoenix Middle School,92326,078250001,Students With Disabilities,*,*,*,29,*,*,*,44,
ASU Preparatory Academy,92325,ASU Preparatory Academy - Phoenix Middle School,92326,078250001,Reduced Lunch,*,*,*,29,*,*,*,41,
ASU Preparatory Academy,92325,Breakthrough Academy,92368,072172001,All Students,*,*,*,*,*,*,*,*,
ASU Preparatory Academy,92325,Breakthrough Academy,92368,072172001,English Learners,*,*,*,*,*,*,*,*,
ASU Preparatory Academy,92325,Breakthrough Academy,92368,072172001,Free Lunch,*,*,*,*,*,*,*,*,
ASU Preparatory Academy,92325,Breakthrough Academy,92368,072172001,Students With Disabilities,*,*,*,*,*,*,*,*,
ASU Preparatory Academy,92325,Breakthrough Academy,92368,072172001,Reduced Lunch,*,*,*,*,*,*,*,*,
ASU Preparatory Academy,92327,,,           _,All Students,15,*,12,89,160,*,20,300,
ASU Preparatory Academy,92327,,,           _,English Learners,*,*,*,*,*,*,*,*,
ASU Preparatory Academy,92327,,,           _,Free Lunch,*,*,*,16,12,*,*,33,
ASU Preparatory Academy,92327,,,           _,Students With Disabilities,*,*,*,19,25,*,*,47,
ASU Preparatory Academy,92327,,,           _,Reduced Lunch,*,*,*,*,22,*,*,34,
ASU Preparatory Academy,92327,ASU Preparatory Academy-Polytechnic Middle School,91323,078251001,All Students,15,*,12,89,160,*,20,300,
ASU Preparatory Academy,92327,ASU Preparatory Academy-Polytechnic Middle School,91323,078251001,English Learners,*,*,*,*,*,*,*,*,
ASU Preparatory Academy,92327,ASU Preparatory Academy-Polytechnic Middle School,91323,078251001,Free Lunch,*,*,*,16,12,*,*,33,
ASU Preparatory Academy,92327,ASU Preparatory Academy-Polytechnic Middle School,91323,078251001,Students With Disabilities,*,*,*,19,25,*,*,47,
ASU Preparatory Academy,92327,ASU Preparatory Academy-Polytechnic Middle School,91323,078251001,Reduced Lunch,*,*,*,*,22,*,*,34,
ASU Preparatory Academy - Casa Grande,92987,,,           _,All Students,*,11,*,34,14,*,*,62,
ASU Preparatory Academy - Casa Grande,92987,,,           _,English Learners,*,*,*,*,*,*,*,*,
ASU Preparatory Academy - Casa Grande,92987,,,           _,Free Lunch,*,*,*,*,*,*,*,18,
ASU Preparatory Academy - Casa Grande,92987,,,           _,Students With Disabilities,*,*,*,*,*,*,*,*,
ASU Preparatory Academy - Casa Grande,92987,,,           _,Reduced Lunch,*,*,*,*,*,*,*,*,
ASU Preparatory Academy - Casa Grande,92987,ASU Preparatory Academy - Casa Grande HS,635758,118716001,All Students,*,11,*,34,14,*,*,62,
ASU Preparatory Academy - Casa Grande,92987,ASU Preparatory Academy - Casa Grande HS,635758,118716001,English Learners,*,*,*,*,*,*,*,*,
ASU Preparatory Academy - Casa Grande,92987,ASU Preparatory Academy - Casa Grande HS,635758,118716001,Free Lunch,*,*,*,*,*,*,*,18,
ASU Preparatory Academy - Casa Grande,92987,ASU Preparatory Academy - Casa Grande HS,635758,118716001,Students With Disabilities,*,*,*,*,*,*,*,*,
ASU Preparatory Academy - Casa Grande,92987,ASU Preparatory Academy - Casa Grande HS,635758,118716001,Reduced Lunch,*,*,*,*,*,*,*,*,
"AZ Compass Schools, Inc.",89869,,,           _,All Students,*,54,21,50,28,*,*,156,
"AZ Compass Schools, Inc.",89869,,,           _,English Learners,*,*,*,*,*,*,*,*,
"AZ Compass Schools, Inc.",89869,,,           _,Free Lunch,*,27,14,12,*,*,*,61,
"AZ Compass Schools, Inc.",89869,,,           _,Students With Disabilities,*,*,*,11,*,*,*,29,
"AZ Compass Schools, Inc.",89869,,,           _,Reduced Lunch,*,*,*,*,*,*,*,*,
"AZ Compass Schools, Inc.",89869,AZ Aspire Academy,92933,072142001,All Students,*,*,*,*,*,*,*,*,
"AZ Compass Schools, Inc.",89869,AZ Aspire Academy,92933,072142001,English Learners,*,*,*,*,*,*,*,*,
"AZ Compass Schools, Inc.",89869,AZ Aspire Academy,92933,072142001,Free Lunch,*,*,*,*,*,*,*,*,
"AZ Compass Schools, Inc.",89869,AZ Aspire Academy,92933,072142001,Students With Disabilities,*,*,*,*,*,*,*,*,
"AZ Compass Schools, Inc.",89869,AZ Aspire Academy,92933,072142001,Reduced Lunch,*,*,*,*,*,*,*,*,
"AZ Compass Schools, Inc.",89869,AZ Compass Prep School,89870,078542101,All Students,*,53,21,50,28,*,*,155,
"AZ Compass Schools, Inc.",89869,AZ Compass Prep School,89870,078542101,English Learners,*,*,*,*,*,*,*,*,
"AZ Compass Schools, Inc.",89869,AZ Compass Prep School,89870,078542101,Free Lunch,*,27,14,12,*,*,*,61,
"AZ Compass Schools, Inc.",89869,AZ Compass Prep School,89870,078542101,Students With Disabilities,*,*,*,*,*,*,*,26,
"AZ Compass Schools, Inc.",89869,AZ Compass Prep School,89870,078542101,Reduced Lunch,*,*,*,*,*,*,*,*,
"AZ Compass Schools, Inc.",89869,"Education Works, Inc",91345,072125001,All Students,*,*,*,*,*,*,*,*,
"AZ Compass Schools, Inc.",89869,"Education Works, Inc",91345,072125001,English Learners,*,*,*,*,*,*,*,*,
"AZ Compass Schools, Inc.",89869,"Education Works, Inc",91345,072125001,Free Lunch,*,*,*,*,*,*,*,*,
"AZ Compass Schools, Inc.",89869,"Education Works, Inc",91345,072125001,Students With Disabilities,*,*,*,*,*,*,*,*,
"AZ Compass Schools, Inc.",89869,"Education Works, Inc",91345,072125001,Reduced Lunch,*,*,*,*,*,*,*,*,
AZ Dept of Juvenile Corrections,8326,,,           _,All Students,*,*,28,66,50,*,*,164,
AZ Dept of Juvenile Corrections,8326,,,           _,English Learners,*,*,*,*,*,*,*,*,
AZ Dept of Juvenile Corrections,8326,,,           _,Free Lunch,*,*,*,*,*,*,*,*,
AZ Dept of Juvenile Corrections,8326,,,           _,Students With Disabilities,*,*,40,58,41,*,*,148,
AZ Dept of Juvenile Corrections,8326,,,           _,Reduced Lunch,*,*,*,*,*,*,*,*,
AZ Dept of Juvenile Corrections,8326,Adobe Mountain School,8327,211001001,All Students,*,*,28,66,50,*,*,164,
AZ Dept of Juvenile Corrections,8326,Adobe Mountain School,8327,211001001,English Learners,*,*,*,*,*,*,*,*,
AZ Dept of Juvenile Corrections,8326,Adobe Mountain School,8327,211001001,Free Lunch,*,*,*,*,*,*,*,*,
AZ Dept of Juvenile Corrections,8326,Adobe Mountain School,8327,211001001,Students With Disabilities,*,*,40,58,41,*,*,148,
AZ Dept of Juvenile Corrections,8326,Adobe Mountain School,8327,211001001,Reduced Lunch,*,*,*,*,*,*,*,*,
"Academy Del Sol, Inc.",90199,,,           _,All Students,*,12,19,489,103,*,*,630,
"Academy Del Sol, Inc.",90199,,,           _,English Learners,*,*,*,20,*,*,*,22,
