LEA Name,LEA Entity ID,School Name,School Entity ID,SchoolCTDS,Subgroup,EthnicAsian,EthnicAmericanIndianAlaskaNative,EthnicBlackAfricanAmerican,EthnicHispanicLatino,EthnicWhite,EthnicNativeHawaiianOthPacIslan,Missing_Ethnicity,Total,
Mohave Valley Elementary District,4379,Fort Mohave Elementary School,5590,080416104,Students With Disabilities,*,*,*,21,50,*,*,79,
Mohave Valley Elementary District,4379,Fort Mohave Elementary School,5590,080416104,Reduced Lunch,*,*,*,*,*,*,*,*,
Mohave Valley Elementary District,4379,Mohave Valley Center,90106,142607020,All Students,*,*,*,*,*,*,*,*,
Mohave Valley Elementary District,4379,Mohave Valley Center,90106,142607020,English Learners,*,*,*,*,*,*,*,*,
Mohave Valley Elementary District,4379,Mohave Valley Center,90106,142607020,Free Lunch,*,*,*,*,*,*,*,*,
Mohave Valley Elementary District,4379,Mohave Valley Center,90106,142607020,Students With Disabilities,*,*,*,*,*,*,*,*,
Mohave Valley Elementary District,4379,Mohave Valley Center,90106,142607020,Reduced Lunch,*,*,*,*,*,*,*,*,
Mohave Valley Elementary District,4379,Mohave Valley Junior High School,5589,080416103,All Students,*,36,*,106,271,*,*,426,
Mohave Valley Elementary District,4379,Mohave Valley Junior High School,5589,080416103,English Learners,*,*,*,*,*,*,*,*,
Mohave Valley Elementary District,4379,Mohave Valley Junior High School,5589,080416103,Free Lunch,*,*,*,*,*,*,*,*,
Mohave Valley Elementary District,4379,Mohave Valley Junior High School,5589,080416103,Students With Disabilities,*,*,*,*,42,*,*,62,
Mohave Valley Elementary District,4379,Mohave Valley Junior High School,5589,080416103,Reduced Lunch,*,*,*,*,*,*,*,*,
Mohave Valley Elementary District,4379,Oasis Behavioral Health,79244,072106001,All Students,*,*,*,*,*,*,*,*,
Mohave Valley Elementary District,4379,Oasis Behavioral Health,79244,072106001,English Learners,*,*,*,*,*,*,*,*,
Mohave Valley Elementary District,4379,Oasis Behavioral Health,79244,072106001,Free Lunch,*,*,*,*,*,*,*,*,
Mohave Valley Elementary District,4379,Oasis Behavioral Health,79244,072106001,Students With Disabilities,*,*,*,*,*,*,*,*,
Mohave Valley Elementary District,4379,Oasis Behavioral Health,79244,072106001,Reduced Lunch,*,*,*,*,*,*,*,*,
Mohawk Valley Elementary District,4503,,,           _,All Students,*,*,*,111,62,*,*,176,
Mohawk Valley Elementary District,4503,,,           _,English Learners,*,*,*,*,*,*,*,25,
Mohawk Valley Elementary District,4503,,,           _,Free Lunch,*,*,*,94,38,*,*,134,
Mohawk Valley Elementary District,4503,,,           _,Students With Disabilities,*,*,*,17,15,*,*,33,
Mohawk Valley Elementary District,4503,,,           _,Reduced Lunch,*,*,*,14,23,*,*,38,
Mohawk Valley Elementary District,4503,Mohawk Valley School,6181,140417101,All Students,*,*,*,111,62,*,*,176,
Mohawk Valley Elementary District,4503,Mohawk Valley School,6181,140417101,English Learners,*,*,*,*,*,*,*,25,
Mohawk Valley Elementary District,4503,Mohawk Valley School,6181,140417101,Free Lunch,*,*,*,94,38,*,*,134,
Mohawk Valley Elementary District,4503,Mohawk Valley School,6181,140417101,Students With Disabilities,*,*,*,17,15,*,*,33,
Mohawk Valley Elementary District,4503,Mohawk Valley School,6181,140417101,Reduced Lunch,*,*,*,14,23,*,*,38,
"Montessori Academy, Inc.",80011,,,           _,All Students,*,*,*,26,133,*,*,171,
"Montessori Academy, Inc.",80011,,,           _,English Learners,*,*,*,*,*,*,*,*,
"Montessori Academy, Inc.",80011,,,           _,Free Lunch,*,*,*,*,16,*,*,22,
"Montessori Academy, Inc.",80011,,,           _,Students With Disabilities,*,*,*,*,*,*,*,15,
"Montessori Academy, Inc.",80011,,,           _,Reduced Lunch,*,*,*,*,*,*,*,11,
"Montessori Academy, Inc.",80011,Montessori Academy,80012,078977101,All Students,*,*,*,26,133,*,*,171,
"Montessori Academy, Inc.",80011,Montessori Academy,80012,078977101,English Learners,*,*,*,*,*,*,*,*,
"Montessori Academy, Inc.",80011,Montessori Academy,80012,078977101,Free Lunch,*,*,*,*,16,*,*,22,
"Montessori Academy, Inc.",80011,Montessori Academy,80012,078977101,Students With Disabilities,*,*,*,*,*,*,*,15,
"Montessori Academy, Inc.",80011,Montessori Academy,80012,078977101,Reduced Lunch,*,*,*,*,*,*,*,11,
"Montessori Day Public Schools Chartered, Inc.",4359,,,           _,All Students,21,*,*,82,158,*,22,294,
"Montessori Day Public Schools Chartered, Inc.",4359,,,           _,English Learners,*,*,*,*,*,*,*,12,
"Montessori Day Public Schools Chartered, Inc.",4359,,,           _,Free Lunch,*,*,*,38,32,*,*,80,
"Montessori Day Public Schools Chartered, Inc.",4359,,,           _,Students With Disabilities,*,*,*,*,16,*,*,25,
"Montessori Day Public Schools Chartered, Inc.",4359,,,           _,Reduced Lunch,*,*,*,12,17,*,*,41,
"Montessori Day Public Schools Chartered, Inc.",4359,Montessori Day Public Schools Chartered - Mountainside,5544,078758003,All Students,18,*,*,65,95,*,*,191,
"Montessori Day Public Schools Chartered, Inc.",4359,Montessori Day Public Schools Chartered - Mountainside,5544,078758003,English Learners,*,*,*,*,*,*,*,*,
"Montessori Day Public Schools Chartered, Inc.",4359,Montessori Day Public Schools Chartered - Mountainside,5544,078758003,Free Lunch,*,*,*,34,20,*,*,60,
"Montessori Day Public Schools Chartered, Inc.",4359,Montessori Day Public Schools Chartered - Mountainside,5544,078758003,Students With Disabilities,*,*,*,*,11,*,*,17,
"Montessori Day Public Schools Chartered, Inc.",4359,Montessori Day Public Schools Chartered - Mountainside,5544,078758003,Reduced Lunch,*,*,*,*,15,*,*,30,
"Montessori Day Public Schools Chartered, Inc.",4359,Montessori Day Public Schools Chartered - Tempe,5542,078758001,All Students,*,*,*,17,63,*,15,103,
"Montessori Day Public Schools Chartered, Inc.",4359,Montessori Day Public Schools Chartered - Tempe,5542,078758001,English Learners,*,*,*,*,*,*,*,*,
"Montessori Day Public Schools Chartered, Inc.",4359,Montessori Day Public Schools Chartered - Tempe,5542,078758001,Free Lunch,*,*,*,*,12,*,*,20,
"Montessori Day Public Schools Chartered, Inc.",4359,Montessori Day Public Schools Chartered - Tempe,5542,078758001,Students With Disabilities,*,*,*,*,*,*,*,*,
"Montessori Day Public Schools Chartered, Inc.",4359,Montessori Day Public Schools Chartered - Tempe,5542,078758001,Reduced Lunch,*,*,*,*,*,*,*,11,
Montessori Education Centre Charter School,4363,,,           _,All Students,*,*,*,82,332,*,23,468,
Montessori Education Centre Charter School,4363,,,           _,English Learners,*,*,*,12,*,*,*,15,
Montessori Education Centre Charter School,4363,,,           _,Free Lunch,*,*,*,*,26,*,*,43,
Montessori Education Centre Charter School,4363,,,           _,Students With Disabilities,*,*,*,*,40,*,*,53,
Montessori Education Centre Charter School,4363,,,           _,Reduced Lunch,*,*,*,*,42,*,*,49,
Montessori Education Centre Charter School,4363,Montessori Education Centre Charter School - Mesa,5552,078763001,All Students,*,*,*,42,182,*,*,248,
Montessori Education Centre Charter School,4363,Montessori Education Centre Charter School - Mesa,5552,078763001,English Learners,*,*,*,*,*,*,*,*,
Montessori Education Centre Charter School,4363,Montessori Education Centre Charter School - Mesa,5552,078763001,Free Lunch,*,*,*,*,18,*,*,23,
Montessori Education Centre Charter School,4363,Montessori Education Centre Charter School - Mesa,5552,078763001,Students With Disabilities,*,*,*,*,20,*,*,24,
Montessori Education Centre Charter School,4363,Montessori Education Centre Charter School - Mesa,5552,078763001,Reduced Lunch,*,*,*,*,22,*,*,25,
Montessori Education Centre Charter School,4363,Montessori Education Centre Charter School - North Campus,79707,078763002,All Students,*,*,*,40,150,*,13,220,
Montessori Education Centre Charter School,4363,Montessori Education Centre Charter School - North Campus,79707,078763002,English Learners,*,*,*,*,*,*,*,12,
Montessori Education Centre Charter School,4363,Montessori Education Centre Charter School - North Campus,79707,078763002,Free Lunch,*,*,*,*,*,*,*,20,
Montessori Education Centre Charter School,4363,Montessori Education Centre Charter School - North Campus,79707,078763002,Students With Disabilities,*,*,*,*,20,*,*,29,
Montessori Education Centre Charter School,4363,Montessori Education Centre Charter School - North Campus,79707,078763002,Reduced Lunch,*,*,*,*,20,*,*,24,
"Montessori House, Inc.",79548,,,           _,All Students,*,*,*,*,*,*,*,48,
"Montessori House, Inc.",79548,,,           _,English Learners,*,*,*,*,*,*,*,*,
"Montessori House, Inc.",79548,,,           _,Free Lunch,*,*,*,*,*,*,*,*,
"Montessori House, Inc.",79548,,,           _,Students With Disabilities,*,*,*,*,*,*,*,*,
"Montessori House, Inc.",79548,,,           _,Reduced Lunch,*,*,*,*,*,*,*,*,
"Montessori House, Inc.",79548,Montessori House Charter School,79549,078936101,All Students,*,*,*,*,*,*,*,48,
"Montessori House, Inc.",79548,Montessori House Charter School,79549,078936101,English Learners,*,*,*,*,*,*,*,*,
"Montessori House, Inc.",79548,Montessori House Charter School,79549,078936101,Free Lunch,*,*,*,*,*,*,*,*,
"Montessori House, Inc.",79548,Montessori House Charter School,79549,078936101,Students With Disabilities,*,*,*,*,*,*,*,*,
"Montessori House, Inc.",79548,Montessori House Charter School,79549,078936101,Reduced Lunch,*,*,*,*,*,*,*,*,
"Montessori Schoolhouse of Tucson, Inc.",4428,,,           _,All Students,*,*,*,28,45,*,*,92,
"Montessori Schoolhouse of Tucson, Inc.",4428,,,           _,English Learners,*,*,*,*,*,*,*,*,
"Montessori Schoolhouse of Tucson, Inc.",4428,,,           _,Free Lunch,*,*,*,*,*,*,*,15,
"Montessori Schoolhouse of Tucson, Inc.",4428,,,           _,Students With Disabilities,*,*,*,*,*,*,*,*,
"Montessori Schoolhouse of Tucson, Inc.",4428,,,           _,Reduced Lunch,*,*,*,*,*,*,*,*,
"Montessori Schoolhouse of Tucson, Inc.",4428,Montessori Schoolhouse,5869,108703101,All Students,*,*,*,*,*,*,*,16,
"Montessori Schoolhouse of Tucson, Inc.",4428,Montessori Schoolhouse,5869,108703101,English Learners,*,*,*,*,*,*,*,*,
"Montessori Schoolhouse of Tucson, Inc.",4428,Montessori Schoolhouse,5869,108703101,Free Lunch,*,*,*,*,*,*,*,*,
"Montessori Schoolhouse of Tucson, Inc.",4428,Montessori Schoolhouse,5869,108703101,Students With Disabilities,*,*,*,*,*,*,*,*,
"Montessori Schoolhouse of Tucson, Inc.",4428,Montessori Schoolhouse,5869,108703101,Reduced Lunch,*,*,*,*,*,*,*,*,
"Montessori Schoolhouse of Tucson, Inc.",4428,Montessori Schoolhouse,6340,108703002,All Students,*,*,*,24,35,*,*,76,
"Montessori Schoolhouse of Tucson, Inc.",4428,Montessori Schoolhouse,6340,108703002,English Learners,*,*,*,*,*,*,*,*,
"Montessori Schoolhouse of Tucson, Inc.",4428,Montessori Schoolhouse,6340,108703002,Free Lunch,*,*,*,*,*,*,*,13,
"Montessori Schoolhouse of Tucson, Inc.",4428,Montessori Schoolhouse,6340,108703002,Students With Disabilities,*,*,*,*,*,*,*,*,
"Montessori Schoolhouse of Tucson, Inc.",4428,Montessori Schoolhouse,6340,108703002,Reduced Lunch,*,*,*,*,*,*,*,*,
Morenci Unified District,4230,,,           _,All Students,13,42,20,945,457,*,26,1503,
Morenci Unified District,4230,,,           _,English Learners,*,*,*,*,*,*,*,11,
Morenci Unified District,4230,,,           _,Free Lunch,*,13,*,325,119,*,*,474,
Morenci Unified District,4230,,,           _,Students With Disabilities,*,*,*,92,63,*,*,163,
Morenci Unified District,4230,,,           _,Reduced Lunch,*,*,*,74,47,*,*,133,
Morenci Unified District,4230,Fairbanks Middle School,92081,060218102,All Students,*,12,*,247,102,*,*,377,
Morenci Unified District,4230,Fairbanks Middle School,92081,060218102,English Learners,*,*,*,*,*,*,*,*,
Morenci Unified District,4230,Fairbanks Middle School,92081,060218102,Free Lunch,*,*,*,96,29,*,*,137,
Morenci Unified District,4230,Fairbanks Middle School,92081,060218102,Students With Disabilities,*,*,*,20,12,*,*,35,
Morenci Unified District,4230,Fairbanks Middle School,92081,060218102,Reduced Lunch,*,*,*,19,12,*,*,35,
Morenci Unified District,4230,Metcalf Elementary School,4907,060218101,All Students,*,21,*,423,265,*,18,744,
Morenci Unified District,4230,Metcalf Elementary School,4907,060218101,English Learners,*,*,*,*,*,*,*,*,
Morenci Unified District,4230,Metcalf Elementary School,4907,060218101,Free Lunch,*,*,*,152,72,*,*,239,
Morenci Unified District,4230,Metcalf Elementary School,4907,060218101,Students With Disabilities,*,*,*,52,42,*,*,98,
Morenci Unified District,4230,Metcalf Elementary School,4907,060218101,Reduced Lunch,*,*,*,34,31,*,*,71,
Morenci Unified District,4230,Morenci High School,4906,060218002,All Students,*,*,*,275,90,*,*,382,
Morenci Unified District,4230,Morenci High School,4906,060218002,English Learners,*,*,*,*,*,*,*,*,
Morenci Unified District,4230,Morenci High School,4906,060218002,Free Lunch,*,*,*,77,18,*,*,98,
Morenci Unified District,4230,Morenci High School,4906,060218002,Students With Disabilities,*,*,*,20,*,*,*,30,
Morenci Unified District,4230,Morenci High School,4906,060218002,Reduced Lunch,*,*,*,21,*,*,*,27,
"Morrison Education Group, Inc.",90192,,,           _,All Students,*,*,63,206,16,*,*,299,
"Morrison Education Group, Inc.",90192,,,           _,English Learners,*,*,*,29,*,*,*,30,
"Morrison Education Group, Inc.",90192,,,           _,Free Lunch,*,*,30,99,*,*,*,134,
"Morrison Education Group, Inc.",90192,,,           _,Students With Disabilities,*,*,*,26,*,*,*,36,
"Morrison Education Group, Inc.",90192,,,           _,Reduced Lunch,*,*,*,*,*,*,*,15,
"Morrison Education Group, Inc.",90192,Sun Valley Charter School,90193,078556001,All Students,*,*,63,206,16,*,*,299,
"Morrison Education Group, Inc.",90192,Sun Valley Charter School,90193,078556001,English Learners,*,*,*,29,*,*,*,30,
"Morrison Education Group, Inc.",90192,Sun Valley Charter School,90193,078556001,Free Lunch,*,*,30,99,*,*,*,134,
"Morrison Education Group, Inc.",90192,Sun Valley Charter School,90193,078556001,Students With Disabilities,*,*,*,26,*,*,*,36,
"Morrison Education Group, Inc.",90192,Sun Valley Charter School,90193,078556001,Reduced Lunch,*,*,*,*,*,*,*,15,
Morristown Elementary District,4251,,,           _,All Students,*,*,*,41,110,*,*,159,
Morristown Elementary District,4251,,,           _,English Learners,*,*,*,*,*,*,*,*,
Morristown Elementary District,4251,,,           _,Free Lunch,*,*,*,21,22,*,*,44,
Morristown Elementary District,4251,,,           _,Students With Disabilities,*,*,*,*,17,*,*,24,
Morristown Elementary District,4251,,,           _,Reduced Lunch,*,*,*,*,17,*,*,25,
Morristown Elementary District,4251,Morristown Elementary School,5189,070375101,All Students,*,*,*,30,82,*,*,116,
Morristown Elementary District,4251,Morristown Elementary School,5189,070375101,English Learners,*,*,*,*,*,*,*,*,
Morristown Elementary District,4251,Morristown Elementary School,5189,070375101,Free Lunch,*,*,*,11,18,*,*,30,
Morristown Elementary District,4251,Morristown Elementary School,5189,070375101,Students With Disabilities,*,*,*,*,15,*,*,18,
Morristown Elementary District,4251,Morristown Elementary School,5189,070375101,Reduced Lunch,*,*,*,*,12,*,*,20,
Morristown Elementary District,4251,Wickenburg High School,4987,070209201,All Students,*,*,*,*,26,*,*,41,
Morristown Elementary District,4251,Wickenburg High School,4987,070209201,English Learners,*,*,*,*,*,*,*,*,
Morristown Elementary District,4251,Wickenburg High School,4987,070209201,Free Lunch,*,*,*,*,*,*,*,12,
Morristown Elementary District,4251,Wickenburg High School,4987,070209201,Students With Disabilities,*,*,*,*,*,*,*,*,
Morristown Elementary District,4251,Wickenburg High School,4987,070209201,Reduced Lunch,*,*,*,*,*,*,*,*,
Morristown Elementary District,4251,Wickenburg Virtual Academy,91264,070209004,All Students,*,*,*,*,*,*,*,*,
Morristown Elementary District,4251,Wickenburg Virtual Academy,91264,070209004,English Learners,*,*,*,*,*,*,*,*,
Morristown Elementary District,4251,Wickenburg Virtual Academy,91264,070209004,Free Lunch,*,*,*,*,*,*,*,*,
Morristown Elementary District,4251,Wickenburg Virtual Academy,91264,070209004,Students With Disabilities,*,*,*,*,*,*,*,*,
Morristown Elementary District,4251,Wickenburg Virtual Academy,91264,070209004,Reduced Lunch,*,*,*,*,*,*,*,*,
"Mountain Oak Charter School, Inc.",78873,,,           _,All Students,*,*,*,22,113,*,*,150,
"Mountain Oak Charter School, Inc.",78873,,,           _,English Learners,*,*,*,*,*,*,*,*,
"Mountain Oak Charter School, Inc.",78873,,,           _,Free Lunch,*,*,*,*,55,*,*,67,
"Mountain Oak Charter School, Inc.",78873,,,           _,Students With Disabilities,*,*,*,*,19,*,*,28,
"Mountain Oak Charter School, Inc.",78873,,,           _,Reduced Lunch,*,*,*,*,14,*,*,25,
"Mountain Oak Charter School, Inc.",78873,Mountain Oak Charter School,78874,138768101,All Students,*,*,*,22,113,*,*,150,
"Mountain Oak Charter School, Inc.",78873,Mountain Oak Charter School,78874,138768101,English Learners,*,*,*,*,*,*,*,*,
"Mountain Oak Charter School, Inc.",78873,Mountain Oak Charter School,78874,138768101,Free Lunch,*,*,*,*,55,*,*,67,
"Mountain Oak Charter School, Inc.",78873,Mountain Oak Charter School,78874,138768101,Students With Disabilities,*,*,*,*,19,*,*,28,
"Mountain Oak Charter School, Inc.",78873,Mountain Oak Charter School,78874,138768101,Reduced Lunch,*,*,*,*,14,*,*,25,
"Mountain Rose Academy, Inc.",10879,,,           _,All Students,*,*,*,133,134,*,*,287,
"Mountain Rose Academy, Inc.",10879,,,           _,English Learners,*,*,*,*,*,*,*,*,
"Mountain Rose Academy, Inc.",10879,,,           _,Free Lunch,*,*,*,146,106,*,*,268,
"Mountain Rose Academy, Inc.",10879,,,           _,Students With Disabilities,*,*,*,31,36,*,*,70,
"Mountain Rose Academy, Inc.",10879,,,           _,Reduced Lunch,*,*,*,38,52,*,*,99,
"Mountain Rose Academy, Inc.",10879,Mountain Rose Academy,10885,108769001,All Students,*,*,*,133,134,*,*,287,
"Mountain Rose Academy, Inc.",10879,Mountain Rose Academy,10885,108769001,English Learners,*,*,*,*,*,*,*,*,
"Mountain Rose Academy, Inc.",10879,Mountain Rose Academy,10885,108769001,Free Lunch,*,*,*,146,106,*,*,268,
"Mountain Rose Academy, Inc.",10879,Mountain Rose Academy,10885,108769001,Students With Disabilities,*,*,*,31,36,*,*,70,
"Mountain Rose Academy, Inc.",10879,Mountain Rose Academy,10885,108769001,Reduced Lunch,*,*,*,38,52,*,*,99,
"Mountain School, Inc.",4203,,,           _,All Students,*,*,*,14,172,*,*,194,
"Mountain School, Inc.",4203,,,           _,English Learners,*,*,*,*,*,*,*,*,
"Mountain School, Inc.",4203,,,           _,Free Lunch,*,*,*,*,*,*,*,*,
"Mountain School, Inc.",4203,,,           _,Students With Disabilities,*,*,*,*,28,*,*,33,
"Mountain School, Inc.",4203,,,           _,Reduced Lunch,*,*,*,*,*,*,*,*,
"Mountain School, Inc.",4203,Mountain School,4843,038751001,All Students,*,*,*,14,172,*,*,194,
"Mountain School, Inc.",4203,Mountain School,4843,038751001,English Learners,*,*,*,*,*,*,*,*,
"Mountain School, Inc.",4203,Mountain School,4843,038751001,Free Lunch,*,*,*,*,*,*,*,*,
"Mountain School, Inc.",4203,Mountain School,4843,038751001,Students With Disabilities,*,*,*,*,28,*,*,33,
"Mountain School, Inc.",4203,Mountain School,4843,038751001,Reduced Lunch,*,*,*,*,*,*,*,*,
Murphy Elementary District,4265,,,           _,All Students,*,18,55,1650,42,*,*,1774,
Murphy Elementary District,4265,,,           _,English Learners,*,*,*,613,*,*,*,618,
Murphy Elementary District,4265,,,           _,Free Lunch,*,18,55,1809,46,*,*,1938,
Murphy Elementary District,4265,,,           _,Students With Disabilities,*,*,*,216,*,*,*,234,
Murphy Elementary District,4265,,,           _,Reduced Lunch,*,*,*,72,*,*,*,79,
Murphy Elementary District,4265,Alfred F Garcia School,5293,070421104,All Students,*,*,21,453,*,*,*,485,
Murphy Elementary District,4265,Alfred F Garcia School,5293,070421104,English Learners,*,*,*,159,*,*,*,161,
Murphy Elementary District,4265,Alfred F Garcia School,5293,070421104,Free Lunch,*,*,19,501,*,*,*,529,
Murphy Elementary District,4265,Alfred F Garcia School,5293,070421104,Students With Disabilities,*,*,*,68,*,*,*,75,
Murphy Elementary District,4265,Alfred F Garcia School,5293,070421104,Reduced Lunch,*,*,*,30,*,*,*,34,
Murphy Elementary District,4265,Arthur M Hamilton School,5290,070421101,All Students,*,*,*,216,*,*,*,237,
Murphy Elementary District,4265,Arthur M Hamilton School,5290,070421101,English Learners,*,*,*,109,*,*,*,111,
Murphy Elementary District,4265,Arthur M Hamilton School,5290,070421101,Free Lunch,*,*,11,237,*,*,*,258,
Murphy Elementary District,4265,Arthur M Hamilton School,5290,070421101,Students With Disabilities,*,*,*,32,*,*,*,36,
Murphy Elementary District,4265,Arthur M Hamilton School,5290,070421101,Reduced Lunch,*,*,*,*,*,*,*,*,
Murphy Elementary District,4265,GOMPERS CENTER FOR THE HANDICA,7318,072120001,All Students,*,*,*,*,*,*,*,*,
Murphy Elementary District,4265,GOMPERS CENTER FOR THE HANDICA,7318,072120001,English Learners,*,*,*,*,*,*,*,*,
Murphy Elementary District,4265,GOMPERS CENTER FOR THE HANDICA,7318,072120001,Free Lunch,*,*,*,*,*,*,*,*,
Murphy Elementary District,4265,GOMPERS CENTER FOR THE HANDICA,7318,072120001,Students With Disabilities,*,*,*,*,*,*,*,*,
Murphy Elementary District,4265,GOMPERS CENTER FOR THE HANDICA,7318,072120001,Reduced Lunch,*,*,*,*,*,*,*,*,
Murphy Elementary District,4265,Jack L Kuban Elementary School,5291,070421102,All Students,*,*,*,393,16,*,*,419,
Murphy Elementary District,4265,Jack L Kuban Elementary School,5291,070421102,English Learners,*,*,*,138,*,*,*,139,
Murphy Elementary District,4265,Jack L Kuban Elementary School,5291,070421102,Free Lunch,*,*,*,433,17,*,*,460,
Murphy Elementary District,4265,Jack L Kuban Elementary School,5291,070421102,Students With Disabilities,*,*,*,54,*,*,*,56,
Murphy Elementary District,4265,Jack L Kuban Elementary School,5291,070421102,Reduced Lunch,*,*,*,*,*,*,*,16,
Murphy Elementary District,4265,NOVA Individualized Learning Center,92634,132117001,All Students,*,*,*,*,*,*,*,*,
Murphy Elementary District,4265,NOVA Individualized Learning Center,92634,132117001,English Learners,*,*,*,*,*,*,*,*,
Murphy Elementary District,4265,NOVA Individualized Learning Center,92634,132117001,Free Lunch,*,*,*,*,*,*,*,*,
Murphy Elementary District,4265,NOVA Individualized Learning Center,92634,132117001,Students With Disabilities,*,*,*,*,*,*,*,*,
Murphy Elementary District,4265,NOVA Individualized Learning Center,92634,132117001,Reduced Lunch,*,*,*,*,*,*,*,*,
Murphy Elementary District,4265,UPWARD FOUNDATION INC,7381,072175001,All Students,*,*,*,*,*,*,*,*,
Murphy Elementary District,4265,UPWARD FOUNDATION INC,7381,072175001,English Learners,*,*,*,*,*,*,*,*,
Murphy Elementary District,4265,UPWARD FOUNDATION INC,7381,072175001,Free Lunch,*,*,*,*,*,*,*,*,
Murphy Elementary District,4265,UPWARD FOUNDATION INC,7381,072175001,Students With Disabilities,*,*,*,*,*,*,*,*,
Murphy Elementary District,4265,UPWARD FOUNDATION INC,7381,072175001,Reduced Lunch,*,*,*,*,*,*,*,*,
Murphy Elementary District,4265,William R Sullivan Elementary School,5292,070421103,All Students,*,*,19,581,15,*,*,624,
Murphy Elementary District,4265,William R Sullivan Elementary School,5292,070421103,English Learners,*,*,*,*,*,*,*,207,
Murphy Elementary District,4265,William R Sullivan Elementary School,5292,070421103,Free Lunch,*,*,22,634,21,*,*,687,
Murphy Elementary District,4265,William R Sullivan Elementary School,5292,070421103,Students With Disabilities,*,*,*,55,*,*,*,58,
Murphy Elementary District,4265,William R Sullivan Elementary School,5292,070421103,Reduced Lunch,*,*,*,21,*,*,*,23,
Naco Elementary District,4176,,,           _,All Students,*,*,*,422,*,*,*,428,
Naco Elementary District,4176,,,           _,English Learners,*,*,*,*,*,*,*,125,
Naco Elementary District,4176,,,           _,Free Lunch,*,*,*,360,*,*,*,362,
Naco Elementary District,4176,,,           _,Students With Disabilities,*,*,*,*,*,*,*,35,
Naco Elementary District,4176,,,           _,Reduced Lunch,*,*,*,*,*,*,*,19,
Naco Elementary District,4176,Bisbee High School,4754,020202201,All Students,*,*,*,121,*,*,*,126,
Naco Elementary District,4176,Bisbee High School,4754,020202201,English Learners,*,*,*,*,*,*,*,*,
Naco Elementary District,4176,Bisbee High School,4754,020202201,Free Lunch,*,*,*,97,*,*,*,98,
Naco Elementary District,4176,Bisbee High School,4754,020202201,Students With Disabilities,*,*,*,*,*,*,*,*,
Naco Elementary District,4176,Bisbee High School,4754,020202201,Reduced Lunch,*,*,*,*,*,*,*,*,
Naco Elementary District,4176,Naco Elementary School,4784,020323001,All Students,*,*,*,301,*,*,*,302,
Naco Elementary District,4176,Naco Elementary School,4784,020323001,English Learners,*,*,*,*,*,*,*,119,
Naco Elementary District,4176,Naco Elementary School,4784,020323001,Free Lunch,*,*,*,263,*,*,*,264,
Naco Elementary District,4176,Naco Elementary School,4784,020323001,Students With Disabilities,*,*,*,*,*,*,*,29,
Naco Elementary District,4176,Naco Elementary School,4784,020323001,Reduced Lunch,*,*,*,*,*,*,*,14,
Nadaburg Unified School District,4252,,,           _,All Students,*,13,20,383,714,*,31,1169,
Nadaburg Unified School District,4252,,,           _,English Learners,*,*,*,47,*,*,*,49,
Nadaburg Unified School District,4252,,,           _,Free Lunch,*,*,22,277,340,*,15,667,
Nadaburg Unified School District,4252,,,           _,Students With Disabilities,*,*,*,63,132,*,*,212,
Nadaburg Unified School District,4252,,,           _,Reduced Lunch,*,*,*,51,90,*,*,148,
Nadaburg Unified School District,4252,Desert Oasis Elementary School,89748,070381102,All Students,*,*,*,143,301,*,12,476,
Nadaburg Unified School District,4252,Desert Oasis Elementary School,89748,070381102,English Learners,*,*,*,*,*,*,*,16,
Nadaburg Unified School District,4252,Desert Oasis Elementary School,89748,070381102,Free Lunch,*,*,*,99,138,*,*,256,
Nadaburg Unified School District,4252,Desert Oasis Elementary School,89748,070381102,Students With Disabilities,*,*,*,*,49,*,*,61,
Nadaburg Unified School District,4252,Desert Oasis Elementary School,89748,070381102,Reduced Lunch,*,*,*,20,30,*,*,55,
Nadaburg Unified School District,4252,Dysart iSchool,90875,070289206,All Students,*,*,*,*,*,*,*,*,
Nadaburg Unified School District,4252,Dysart iSchool,90875,070289206,English Learners,*,*,*,*,*,*,*,*,
Nadaburg Unified School District,4252,Dysart iSchool,90875,070289206,Free Lunch,*,*,*,*,11,*,*,19,
Nadaburg Unified School District,4252,Dysart iSchool,90875,070289206,Students With Disabilities,*,*,*,*,*,*,*,*,
Nadaburg Unified School District,4252,Dysart iSchool,90875,070289206,Reduced Lunch,*,*,*,*,*,*,*,*,
Nadaburg Unified School District,4252,Nadaburg Elementary School,5190,070381101,All Students,*,*,*,139,203,*,11,365,
Nadaburg Unified School District,4252,Nadaburg Elementary School,5190,070381101,English Learners,*,*,*,*,*,*,*,21,
Nadaburg Unified School District,4252,Nadaburg Elementary School,5190,070381101,Free Lunch,*,*,15,122,127,*,*,273,
Nadaburg Unified School District,4252,Nadaburg Elementary School,5190,070381101,Students With Disabilities,*,*,*,29,53,*,*,93,
Nadaburg Unified School District,4252,Nadaburg Elementary School,5190,070381101,Reduced Lunch,*,*,*,23,45,*,*,70,
Nadaburg Unified School District,4252,Shadow Ridge High School,90134,070289225,All Students,*,*,*,*,*,*,*,*,
Nadaburg Unified School District,4252,Shadow Ridge High School,90134,070289225,English Learners,*,*,*,*,*,*,*,*,
Nadaburg Unified School District,4252,Shadow Ridge High School,90134,070289225,Free Lunch,*,*,*,*,*,*,*,*,
Nadaburg Unified School District,4252,Shadow Ridge High School,90134,070289225,Students With Disabilities,*,*,*,*,*,*,*,*,
