Fiscal Year,LEA ID,LEA Name,School Entity ID,School Name,Charter,Subgroup,Dropout Rate
2019,4171,Bowie Unified District,4758,Bowie Elementary School,N,All,6.25
2019,4171,Bowie Unified District,4759,Bowie High School,N,All,8.33
2019,4172,San Simon Unified District,4760,San Simon School,N,All,2.56
2019,4173,St David Unified District,4761,St David Elementary School,N,All,1.89
2019,4173,St David Unified District,4762,St David High School,N,All,0.78
2019,4174,Douglas Unified District,4770,Ray Borane Middle School,N,All,3.36
2019,4174,Douglas Unified District,4771,Paul H Huber Jr High School,N,All,1.42
2019,4174,Douglas Unified District,4773,Douglas High School,N,All,4.18
2019,4175,Sierra Vista Unified District,4781,Joyce Clark Middle School,N,All,0.77
2019,4175,Sierra Vista Unified District,4783,Buena High School,N,All,1.76
2019,4175,Sierra Vista Unified District,440989,Sierra Vista Online,N,All,22.22
2019,4176,Naco Elementary District,4784,Naco Elementary School,N,All,0.00
2019,4177,Cochise Elementary District,4785,Cochise Elementary School,N,All,0.00
2019,4180,Palominas Elementary District,4788,Palominas Elementary School,N,All,1.40
2019,4180,Palominas Elementary District,4789,Coronado Elementary School,N,All,0.79
2019,4181,McNeal Elementary District,4790,Mcneal Elementary School,N,All,0.00
2019,4185,Elfrida Elementary District,4795,Elfrida Elementary School,N,All,0.00
2019,4186,Pearce Elementary District,4796,Pearce Elementary School,N,All,0.00
2019,4188,Pomerene Elementary District,4798,Pomerene Elementary School,N,All,0.00
2019,4190,Valley Union High School District,4800,Valley Union High School,N,All,2.70
2019,4191,"Center for Academic Success, Inc.",4801,"Center for Academic Success, The #1",Y,All,9.90
2019,4191,"Center for Academic Success, Inc.",4802,"Center for Academic Success, The #2",Y,All,0.90
2019,4191,"Center for Academic Success, Inc.",85876,Center for Academic Success #4,Y,All,0.70
2019,4191,"Center for Academic Success, Inc.",85877,Center for Academic Success #5,Y,All,3.64
2019,4192,Flagstaff Unified District,4803,Summit High School,N,All,17.35
2019,4192,Flagstaff Unified District,4817,Mount Elden Middle School,N,All,2.26
2019,4192,Flagstaff Unified District,4819,Flagstaff High School,N,All,1.17
2019,4192,Flagstaff Unified District,4820,Coconino High School,N,All,2.46
2019,4192,Flagstaff Unified District,90191,Sinagua Middle School,N,All,2.04
2019,4192,Flagstaff Unified District,230656,Northern Arizona Distance Learning,N,All,14.89
2019,4193,Williams Unified District,4822,Williams Elementary/Middle School,N,All,0.00
2019,4193,Williams Unified District,4823,Williams High School,N,All,2.49
2019,4194,Grand Canyon Unified District,4824,Grand Canyon Elementary,N,All,0.00
2019,4194,Grand Canyon Unified District,4825,Grand Canyon High School,N,All,1.11
2019,4195,Fredonia-Moccasin Unified District,4828,Fredonia High School,N,All,4.90
2019,4196,Page Unified District,4831,Page Middle School,N,All,2.67
2019,4196,Page Unified District,4832,Page High School,N,All,1.61
2019,4196,Page Unified District,92913,Manson Mesa High School,N,All,24.36
2019,4197,Tuba City Unified School District #15,4837,Tuba City Junior High School,N,All,5.70
2019,4197,Tuba City Unified School District #15,4838,Tuba City High School,N,All,6.76
2019,4197,Tuba City Unified School District #15,78916,Nizhoni Accelerated Academy,N,All,22.41
2019,4199,Maine Consolidated School District,4839,Maine Consolidated School,N,All,0.00
2019,4201,"Pine Forest Education Association, Inc.",4841,Pine Forest School,Y,All,0.00
2019,4202,Flagstaff Arts And Leadership Academy,4842,Flagstaff Arts And Leadership Academy,Y,All,1.20
2019,4204,Northland Preparatory Academy,4845,Northland Preparatory Academy,Y,All,0.16
2019,4205,"Flagstaff Montessori, L.L.C.",4849,Montessori Charter School of Flagstaff - Campus,Y,All,0.00
2019,4207,Flagstaff Junior Academy,4851,Flagstaff Junior Academy,Y,All,0.00
2019,4208,Globe Unified District,4855,Globe High School,N,All,4.19
2019,4208,Globe Unified District,85831,High Desert Middle School,N,All,1.16
2019,4209,Payson Unified District,4856,Rim Country Middle School,N,All,1.03
2019,4209,Payson Unified District,4860,Payson High School,N,All,4.60
2019,4209,Payson Unified District,10822,Payson Center for Success High School,N,All,6.92
2019,4209,Payson Unified District,91196,Payson Center for Success - Online,N,All,15.09
2019,4210,San Carlos Unified District,4863,San Carlos Middle School,N,All,16.67
2019,4210,San Carlos Unified District,4864,San Carlos High School,N,All,2.00
2019,4210,San Carlos Unified District,89776,San Carlos Alternative High School,N,All,19.12
2019,4211,Miami Unified District,4869,Miami Junior Senior High School,N,All,2.08
2019,4212,Hayden-Winkelman Unified District,4870,Leonor Hambly K-8,N,All,0.00
