Fiscal Year,LEA Name,LEA Entity ID,School Name,School Entity ID,Subgroup,EthnicAsian,EthnicAmericanIndianAlaskaNative,EthnicBlackAfricanAmerican,EthnicHispanicLatino,EthnicWhite,EthnicNativeHawaiianOthPacIslan,Missing_Ethnicity,Multi_race_non_Hispanic,Total
2018,ASU Preparatory Academy,90273,,,All Students,*,*,11,147,*,*,*,*,161
2018,ASU Preparatory Academy,90273,,,English Language Learner,*,*,*,43,*,*,*,*,44
2018,ASU Preparatory Academy,90273,,,Free Lunch,*,*,*,132,*,*,*,*,144
2018,ASU Preparatory Academy,90273,,,Students with Disabilities,*,*,*,15,*,*,*,*,17
2018,ASU Preparatory Academy,90273,,,Reduced Lunch,*,*,*,14,*,*,*,*,16
2018,ASU Preparatory Academy,90273,,,Free and Reduced Lunch,*,*,11,146,*,*,*,*,160
2018,ASU Preparatory Academy,90273,ASU Preparatory Academy - South Phoenix Intermediate,90274,All Students,*,*,11,147,*,*,*,*,161
2018,ASU Preparatory Academy,90273,ASU Preparatory Academy - South Phoenix Intermediate,90274,English Language Learner,*,*,*,43,*,*,*,*,44
2018,ASU Preparatory Academy,90273,ASU Preparatory Academy - South Phoenix Intermediate,90274,Free Lunch,*,*,*,132,*,*,*,*,144
2018,ASU Preparatory Academy,90273,ASU Preparatory Academy - South Phoenix Intermediate,90274,Students with Disabilities,*,*,*,15,*,*,*,*,17
2018,ASU Preparatory Academy,90273,ASU Preparatory Academy - South Phoenix Intermediate,90274,Reduced Lunch,*,*,*,14,*,*,*,*,16
2018,ASU Preparatory Academy,90273,ASU Preparatory Academy - South Phoenix Intermediate,90274,Free and Reduced Lunch,*,*,11,146,*,*,*,*,160
2018,ASU Preparatory Academy,91303,,,All Students,17,*,37,287,22,*,*,*,379
2018,ASU Preparatory Academy,91303,,,English Language Learner,*,*,*,*,*,*,*,*,*
2018,ASU Preparatory Academy,91303,,,Free Lunch,*,*,19,192,*,*,*,*,229
2018,ASU Preparatory Academy,91303,,,Students with Disabilities,*,*,*,25,*,*,*,*,34
2018,ASU Preparatory Academy,91303,,,Reduced Lunch,*,*,*,36,*,*,*,*,47
2018,ASU Preparatory Academy,91303,,,Free and Reduced Lunch,*,*,22,210,*,*,*,*,255
2018,ASU Preparatory Academy,91303,ASU Preparatory Academy- Phoenix High School,91304,All Students,17,*,37,287,22,*,*,*,379
2018,ASU Preparatory Academy,91303,ASU Preparatory Academy- Phoenix High School,91304,English Language Learner,*,*,*,*,*,*,*,*,*
2018,ASU Preparatory Academy,91303,ASU Preparatory Academy- Phoenix High School,91304,Free Lunch,*,*,19,192,*,*,*,*,229
2018,ASU Preparatory Academy,91303,ASU Preparatory Academy- Phoenix High School,91304,Students with Disabilities,*,*,*,25,*,*,*,*,34
2018,ASU Preparatory Academy,91303,ASU Preparatory Academy- Phoenix High School,91304,Reduced Lunch,*,*,*,36,*,*,*,*,47
2018,ASU Preparatory Academy,91303,ASU Preparatory Academy- Phoenix High School,91304,Free and Reduced Lunch,*,*,22,210,*,*,*,*,255
2018,ASU Preparatory Academy,91305,,,All Students,14,*,18,66,142,*,*,20,266
2018,ASU Preparatory Academy,91305,,,English Language Learner,*,*,*,*,*,*,*,*,*
2018,ASU Preparatory Academy,91305,,,Free Lunch,*,*,*,13,*,*,*,*,29
2018,ASU Preparatory Academy,91305,,,Students with Disabilities,*,*,*,*,15,*,*,*,24
2018,ASU Preparatory Academy,91305,,,Reduced Lunch,*,*,*,16,15,*,*,*,35
2018,ASU Preparatory Academy,91305,,,Free and Reduced Lunch,*,*,*,28,23,*,*,*,63
2018,ASU Preparatory Academy,91305,ASU Preparatory Academy-Polytechnic High School,91306,All Students,14,*,18,66,142,*,*,20,266
2018,ASU Preparatory Academy,91305,ASU Preparatory Academy-Polytechnic High School,91306,English Language Learner,*,*,*,*,*,*,*,*,*
2018,ASU Preparatory Academy,91305,ASU Preparatory Academy-Polytechnic High School,91306,Free Lunch,*,*,*,13,*,*,*,*,29
2018,ASU Preparatory Academy,91305,ASU Preparatory Academy-Polytechnic High School,91306,Students with Disabilities,*,*,*,*,15,*,*,*,24
2018,ASU Preparatory Academy,91305,ASU Preparatory Academy-Polytechnic High School,91306,Reduced Lunch,*,*,*,16,15,*,*,*,35
2018,ASU Preparatory Academy,91305,ASU Preparatory Academy-Polytechnic High School,91306,Free and Reduced Lunch,*,*,*,28,23,*,*,*,63
2018,ASU Preparatory Academy,91307,,,All Students,12,*,14,102,209,*,*,27,369
2018,ASU Preparatory Academy,91307,,,English Language Learner,*,*,*,*,*,*,*,*,*
2018,ASU Preparatory Academy,91307,,,Free Lunch,*,*,*,*,11,*,*,*,21
2018,ASU Preparatory Academy,91307,,,Students with Disabilities,*,*,*,*,17,*,*,*,35
2018,ASU Preparatory Academy,91307,,,Reduced Lunch,*,*,*,12,12,*,*,*,25
2018,ASU Preparatory Academy,91307,,,Free and Reduced Lunch,*,*,*,17,23,*,*,*,46
2018,ASU Preparatory Academy,91307,ASU Preparatory Academy-Polytechnic Elementary,91308,All Students,12,*,14,102,209,*,*,27,369
2018,ASU Preparatory Academy,91307,ASU Preparatory Academy-Polytechnic Elementary,91308,English Language Learner,*,*,*,*,*,*,*,*,*
2018,ASU Preparatory Academy,91307,ASU Preparatory Academy-Polytechnic Elementary,91308,Free Lunch,*,*,*,*,11,*,*,*,21
2018,ASU Preparatory Academy,91307,ASU Preparatory Academy-Polytechnic Elementary,91308,Students with Disabilities,*,*,*,*,17,*,*,*,35
