year,mergecode,lowincome
17,4437-88400,60.0
17,4437-89587,58.0
17,4437-85853,57.0
17,4437-5897,49.0
17,4437-5895,66.0
17,4437-89858,73.0
17,4437-92280,68.0
17,4437-90309,49.0
17,4437-89907,58.0
17,4437-80440,69.0
17,4437-87537,59.0
17,4437-79415,55.0
17,4405-5784,82.0
17,4405-5791,66.0
17,4405-5790,78.0
17,4405-5785,86.0
17,4405-5787,62.0
17,4405-5788,91.0
17,4405-5789,49.0
17,4405-6054,77.0
17,4405-5786,91.0
17,4167-4747,36.0
17,4167-4748,28.0
17,4167-5982,30.0
17,4221-4892,98.0
17,4221-4893,92.0
17,4221-90064,90.0
17,4221-92618,90.0
17,79973-79974,72.0
17,4247-5167,16.0
17,4247-5166,26.0
17,4247-5165,39.0
17,4273-5351,93.0
17,4273-5353,75.0
17,4273-80315,78.0
17,4273-5352,91.0
17,4273-87521,73.0
17,4273-80915,80.0
17,4273-80916,79.0
17,4495-6140,50.0
17,4495-92597,82.0
17,4195-4826,72.0
17,4195-4828,67.0
17,4303-6036,99.0
17,4505-6187,96.0
17,4505-79724,91.0
17,4505-81096,90.0
17,4505-81106,85.0
17,4505-6183,97.0
17,4505-6184,97.0
17,4505-6185,95.0
17,4505-81105,92.0
17,4157-4725,78.0
17,4157-4728,75.0
17,4157-4727,81.0
17,90884-91712,84.0
17,4238-5018,75.0
17,80406-80407,99.0
17,4239-79181,22.0
17,4239-79630,23.0
17,4239-79145,36.0
17,4239-5030,59.0
17,4239-90124,13.0
17,4239-79829,32.0
17,4239-79144,24.0
17,4239-79823,24.0
17,4239-79629,27.0
17,4239-5038,23.0
17,4239-89605,13.0
17,4239-5023,49.0
17,4239-5039,27.0
17,4239-5020,53.0
17,4239-5024,7.0
17,4239-5022,19.0
17,4239-5033,70.0
17,4239-5040,17.0
17,4239-6006,23.0
17,4239-88401,14.0
17,4239-5029,45.0
17,4239-5028,43.0
17,4239-87533,26.0
17,4239-5032,35.0
17,4239-6007,30.0
17,4239-5021,42.0
17,4239-5026,14.0
17,4239-78918,54.0
17,4239-5025,32.0
17,4239-5027,39.0
17,4239-5034,43.0
17,4239-89594,11.0
17,4239-78919,29.0
17,4239-5036,31.0
17,4239-85847,19.0
17,4239-81145,21.0
17,4239-5037,34.0
17,4239-5035,27.0
17,4239-5031,26.0
17,4271-5340,86.0
17,4271-5343,89.0
17,4271-5342,93.0
17,4271-79782,83.0
17,4271-5345,99.0
17,4271-79815,83.0
17,4271-5344,86.0
17,4271-5337,93.0
17,4271-5339,79.0
17,4271-5332,98.0
17,4271-5338,96.0
17,4271-5334,99.0
17,4271-5341,69.0
17,4271-5333,99.0
17,4271-5335,96.0
17,4271-79816,87.0
17,4271-7364,44.5
17,4271-5336,94.0
17,4285-5431,55.0
17,4285-5429,75.0
17,4285-5426,77.0
17,4285-5433,38.0
17,4285-5434,69.0
17,4285-5430,58.0
17,4285-5427,48.0
17,4285-5432,46.0
17,4285-5428,71.0
17,4208-4854,94.0
17,4208-4855,65.0
17,4208-85831,65.0
17,79539-79588,90.0
17,4194-4824,61.0
17,4194-4825,52.0
17,9691-80421,91.0
17,79793-4840,92.0
17,79500-79512,80.0
17,79500-90470,92.0
