LEA Name,LEA Entity ID,School Name,School Entity ID,SchoolCTDS,Subgroup,EthnicAsian,EthnicAmericanIndianAlaskaNative,EthnicBlackAfricanAmerican,EthnicHispanicLatino,EthnicWhite,EthnicNativeHawaiianOthPacIslan,Missing_Ethnicity,Total
"Academy of Tucson, Inc.",78897,Academy of Tucson Middle School,79986,108665101,Free Lunch Students,*,*,*,*,*,*,*,*
"Academy of Tucson, Inc.",78897,Academy of Tucson Middle School,79986,108665101,Sped Students,*,*,*,*,*,*,*,16
Academy with Community Partners  Inc,79213,,,           _,All Students,*,*,*,64,59,*,*,140
Academy with Community Partners  Inc,79213,,,           _,ELL Students,*,*,*,*,*,*,*,*
Academy with Community Partners  Inc,79213,,,           _,Free Lunch Students,*,*,*,49,42,*,*,102
Academy with Community Partners  Inc,79213,,,           _,Sped Students,*,*,*,*,*,*,*,17
Academy with Community Partners  Inc,79213,Academy with Community Partners,10795,078794201,All Students,*,*,*,64,59,*,*,140
Academy with Community Partners  Inc,79213,Academy with Community Partners,10795,078794201,ELL Students,*,*,*,*,*,*,*,*
Academy with Community Partners  Inc,79213,Academy with Community Partners,10795,078794201,Free Lunch Students,*,*,*,49,42,*,*,102
Academy with Community Partners  Inc,79213,Academy with Community Partners,10795,078794201,Sped Students,*,*,*,*,*,*,*,17
Accelerated Elementary and Secondary Schools,6364,,,           _,All Students,*,*,*,116,85,*,*,223
Accelerated Elementary and Secondary Schools,6364,,,           _,ELL Students,*,*,*,*,*,*,*,*
Accelerated Elementary and Secondary Schools,6364,,,           _,Free Lunch Students,*,*,*,62,27,*,*,96
Accelerated Elementary and Secondary Schools,6364,,,           _,Sped Students,*,*,*,*,*,*,*,16
Accelerated Elementary and Secondary Schools,6364,Accelerated Learning Laboratory,5891,108767001,All Students,*,*,*,116,85,*,*,223
Accelerated Elementary and Secondary Schools,6364,Accelerated Learning Laboratory,5891,108767001,ELL Students,*,*,*,*,*,*,*,*
Accelerated Elementary and Secondary Schools,6364,Accelerated Learning Laboratory,5891,108767001,Free Lunch Students,*,*,*,62,27,*,*,96
Accelerated Elementary and Secondary Schools,6364,Accelerated Learning Laboratory,5891,108767001,Sped Students,*,*,*,*,*,*,*,16
