year,mergecode,districtcode,black,hispanic,white,totalenroll,lowincome,droprate,NCESSchoolID,hybridper,virtualper,inpersonper,schoolmode,charter,state,year_21
17,4240-5066arizona,4240arizona,5.1,35.25,53.84,1705,31.0,0.68,40757000640,0.0,0.0,1.0,0.0,0,arizona,0
18,4240-5066arizona,4240arizona,5.34,34.64,54.51,1686,29.0,2.6,40757000640,0.0,0.0,1.0,0.0,0,arizona,0
19,4240-5066arizona,4240arizona,4.78,35.7,52.9,1675,31.0,2.79,40757000640,0.0,0.0,1.0,0.0,0,arizona,0
21,4240-5066arizona,4240arizona,3.6,34.32,54.94,1416,28.0,2.42,40757000640,0.6,0.4,0.0,0.7,0,arizona,1
17,4240-5069arizona,4240arizona,2.77,8.62,80.91,2205,6.0,0.52,40757000641,0.0,0.0,1.0,0.0,0,arizona,0
18,4240-5069arizona,4240arizona,3.01,8.98,80.09,2160,5.0,1.21,40757000641,0.0,0.0,1.0,0.0,0,arizona,0
19,4240-5069arizona,4240arizona,3.34,9.08,79.16,2246,6.0,0.44,40757000641,0.0,0.0,1.0,0.0,0,arizona,0
21,4240-5069arizona,4240arizona,1.95,9.45,79.45,2000,4.0,2.0,40757000641,0.6,0.4,0.0,0.7,0,arizona,1
17,4240-5067arizona,4240arizona,6.8,60.92,20.88,1044,70.0,2.45,40757000644,0.0,0.0,1.0,0.0,0,arizona,0
18,4240-5067arizona,4240arizona,5.14,65.03,18.69,915,68.0,3.27,40757000644,0.0,0.0,1.0,0.0,0,arizona,0
19,4240-5067arizona,4240arizona,7.14,62.5,18.64,896,65.0,3.95,40757000644,0.0,0.0,1.0,0.0,0,arizona,0
21,4240-5067arizona,4240arizona,6.7,62.77,20.11,701,63.0,3.81,40757000644,0.6,0.4,0.0,0.7,0,arizona,1
17,4240-5070arizona,4240arizona,2.87,8.04,77.08,2164,7.0,0.65,40757000604,0.0,0.0,1.0,0.0,0,arizona,0
18,4240-5070arizona,4240arizona,3.06,7.89,76.99,2090,6.0,1.13,40757000604,0.0,0.0,1.0,0.0,0,arizona,0
19,4240-5070arizona,4240arizona,2.87,7.78,77.27,2094,5.0,0.86,40757000604,0.0,0.0,1.0,0.0,0,arizona,0
21,4240-5070arizona,4240arizona,2.4,8.23,77.49,1750,5.0,2.0,40757000604,0.6,0.4,0.0,0.7,0,arizona,1
17,4240-5068arizona,4240arizona,4.89,17.08,67.28,1247,23.0,1.13,40757000659,0.0,0.0,1.0,0.0,0,arizona,0
18,4240-5068arizona,4240arizona,6.02,18.29,64.07,1230,23.0,1.5,40757000659,0.0,0.0,1.0,0.0,0,arizona,0
19,4240-5068arizona,4240arizona,6.72,19.07,63.85,1206,22.0,1.59,40757000659,0.0,0.0,1.0,0.0,0,arizona,0
21,4240-5068arizona,4240arizona,6.08,20.52,63.01,1184,21.0,2.0,40757000659,0.6,0.4,0.0,0.7,0,arizona,1
17,4467-6085arizona,4467arizona,0.0,40.44,50.8,502,35.0,1.16,40973301040,0.0,0.0,1.0,0.0,0,arizona,0
