LEA ID,LEA Name,School Entity ID,School Name,Charter,Subgroup,Dropout Rate
91305,ASU Preparatory Academy,91306,ASU Preparatory Academy-Polytechnic High School,Y,All,0.32
92327,ASU Preparatory Academy,91323,ASU Preparatory Academy-Polytechnic Middle School,Y,All,0
92987,ASU Preparatory Academy - Casa Grande,635758,ASU Preparatory Academy - Casa Grande HS,Y,All,0
522074,ASU Preparatory Academy Digital,860177,ASU Preparatory Academy Digital,Y,All,10.47
4272,Avondale Elementary District,91985,Avondale Middle School,N,All,0.7
4272,Avondale Elementary District,87619,Centerra Mirage STEM Academy,N,All,0
4272,Avondale Elementary District,90028,Copper Trails,N,All,1.43
4272,Avondale Elementary District,79670,Desert Star,N,All,1.4
4272,Avondale Elementary District,79792,Desert Thunder,N,All,0
4272,Avondale Elementary District,5347,Michael Anderson,N,All,0
4272,Avondale Elementary District,78924,Wildflower School,N,All,0
79929,Avondale Learning dba Precision Academy,80006,Precision Academy,Y,All,10.24
89869,"AZ Compass Schools, Inc.",89870,AZ Compass Prep School,Y,All,4.33
4508,Az-Tec High School,6192,AZTEC High School,Y,All,23.98
4412,Baboquivari Unified School District #40,90822,Alternative High School (Indian Oasis High School),N,All,10.14
4412,Baboquivari Unified School District #40,90821,Alternative Middle School (Indian Oasis Middle School),N,All,12.5
4412,Baboquivari Unified School District #40,5847,Baboquivari High School,N,All,9.77
4412,Baboquivari Unified School District #40,5846,Baboquivari Middle School,N,All,3.18
4468,Bagdad Unified District,6089,Bagdad Middle / Senior High School,N,All,0.5
79204,Ball Charter Schools (Dobson),10729,"Dobson Academy, The - A Ball Charter School",Y,All,0
4294,Ball Charter Schools (Hearn),10730,"Hearn Academy, The - A Ball Charter School",Y,All,0
90885,Ball Charter Schools (Val Vista),91791,Ball Charter Schools (Val Vista),Y,All,0
4268,Balsz Elementary District,5319,Balsz Elementary School,N,All,3.42
91339,"BASIS Schools, Inc.",92030,BASIS Ahwatukee,Y,All,0
90842,"BASIS Schools, Inc.",91056,BASIS Chandler,Y,All,0
90862,"BASIS Schools, Inc.",90863,BASIS Flagstaff,Y,All,0
92734,"BASIS Schools, Inc.",92735,BASIS Goodyear,Y,All,0
91949,"BASIS Schools, Inc.",91997,BASIS Mesa,Y,All,0
90508,"BASIS Schools, Inc.",90509,BASIS Oro Valley,Y,All,0
90841,"BASIS Schools, Inc.",91055,BASIS Peoria,Y,All,0.17
91280,"BASIS Schools, Inc.",91343,BASIS Phoenix,Y,All,0
92349,"BASIS Schools, Inc.",92350,BASIS Phoenix Central Primary,Y,All,0
92320,"BASIS Schools, Inc.",92321,BASIS Prescott,Y,All,0
81078,"BASIS Schools, Inc.",81079,BASIS Scottsdale,Y,All,0
91309,"BASIS Schools, Inc.",91766,BASIS Tucson North,Y,All,0.12
4481,Beaver Creek Elementary District,6116,Beaver Creek School,N,All,0
79983,"Bell Canyon Charter School, Inc",79507,Imagine Bell Canyon,Y,All,0
4355,Benjamin Franklin Charter School,92270,Benjamin Franklin High School,Y,All,0.38
79226,Benson Unified School District,4799,Benson High School,N,All,0.21
79226,Benson Unified School District,4794,Benson Middle School,N,All,0.47
79226,Benson Unified School District,85879,San Pedro Valley High School,N,All,17.31
79226,Benson Unified School District,90775,San Pedro Valley Online Academy,N,All,18.52
4515,Bicentennial Union High School District,6203,Salome High School,N,All,0.72
4169,Bisbee Unified District,4754,Bisbee High School,N,All,5.67
4169,Bisbee Unified District,4753,Lowell School,N,All,2.73
89871,Blue Adobe Project,89872,Sky Islands,Y,All,2.11
4397,Blue Ridge Unified School District No. 32,5648,Blue Ridge High School,N,All,6.32
4397,Blue Ridge Unified School District No. 32,456092,Blue Ridge High School Online,N,All,0
4397,Blue Ridge Unified School District No. 32,5647,Blue Ridge Jr High School,N,All,1.49
81041,Blueprint Education,90158,Blueprint High School,Y,All,31.03
81041,Blueprint Education,81042,Hope High School,Y,All,29.94
81041,Blueprint Education,81182,Hope High School Online,Y,All,30.77
4224,Bonita Elementary District,4896,Bonita Elementary School,N,All,0
4513,Bouse Elementary District,6201,Bouse Elementary School,N,All,0
4171,Bowie Unified District,4758,Bowie Elementary School,N,All,0
4171,Bowie Unified District,4759,Bowie High School,N,All,8.57
4305,Boys & Girls Clubs of the East Valley dba Mesa Arts Academy,5470,Mesa Arts Academy,Y,All,0
81097,"Bradley Academy of Excellence, Inc.",81098,Bradley Academy of Excellence,Y,All,1.56
4269,Buckeye Elementary District,81110,Bales Elementary School,N,All,0.78
4269,Buckeye Elementary District,87473,Buckeye Elementary School,N,All,0.44
4269,Buckeye Elementary District,90341,Inca Elementary School,N,All,3.44
4269,Buckeye Elementary District,527220,Marionneaux Elementary School,N,All,2.09
4269,Buckeye Elementary District,89572,Steven R. Jasinski Elementary School,N,All,0
4269,Buckeye Elementary District,87471,Sundance Elementary,N,All,0
4269,Buckeye Elementary District,88398,Westpark Elementary School,N,All,0
4284,Buckeye Union High School District,5424,Buckeye Union High School,N,All,1.19
4284,Buckeye Union High School District,79376,Estrella Foothills High School,N,All,1.37
4284,Buckeye Union High School District,89573,Youngker High School,N,All,0.62
4378,Bullhead City School District,5587,Bullhead City Jr High School,N,All,1.1
4378,Bullhead City School District,6048,Fox Creek Jr High School,N,All,1.87
90328,"CAFA, Inc. dba Learning Foundation and Performing Arts Alta Mesa",88290,Learning Foundation and Performing Arts Alta Mesa,Y,All,0
90327,"CAFA, Inc. dba Learning Foundation and Performing Arts Gilbert",88289,Learning Foundation and Performing Arts Gilbert,Y,All,1.16
79055,Calibre Academy,80463,Calibre Academy Surprise,Y,All,0
78888,"Cambridge Academy  East,  Inc",90325,Cambridge Academy East,Y,All,0
79905,"Camelback Education, Inc",79906,Camelback Academy,Y,All,0
4470,Camp Verde Unified District,84659,Camp Verde Accommodation School,N,All,10.34
4470,Camp Verde Unified District,6100,Camp Verde High School,N,All,4.49
4470,Camp Verde Unified District,6099,Camp Verde Middle School,N,All,1.32
4470,Camp Verde Unified District,90137,South Verde Technology Magnet,N,All,21.43
89758,"Candeo Schools, Inc.",89759,Candeo Peoria,Y,All,0
4484,Canon Elementary District,6119,Canon School,N,All,0
81029,"Canyon Rose Academy, Inc.",81030,Canyon Rose Academy,Y,All,26.71
81029,"Canyon Rose Academy, Inc.",605648,Canyon Rose Academy-East,Y,All,14
78858,"Carden of Tucson, Inc.",78859,Carden of Tucson,Y,All,0
4400,"Career Development, Inc.",5652,Northern AZ Academy for Career Dev. - Taylor,Y,All,37.25
79047,Career Success Schools,80430,Career Success High School - Glendale,Y,All,41.86
79047,Career Success Schools,79129,Career Success High School - Main Campus,Y,All,12.11
79047,Career Success Schools,80025,Career Success Jr/Sr High School - North Phoenix,Y,All,21.84
79047,Career Success Schools,80050,Career Success School - Sage Campus,Y,All,0
80001,Carpe Diem Collegiate High School,80002,Carpe Diem Collegiate High School dba Carpe Diem e-Learning Community,Y,All,0.8
80001,Carpe Diem Collegiate High School,89656,iSchool2020,Y,All,8.33
4282,Cartwright Elementary District,5398,Cartwright School,N,All,4.12
4282,Cartwright Elementary District,5405,Charles W. Harris School,N,All,0
4282,Cartwright Elementary District,5406,Desert Sands Middle School,N,All,3.07
4282,Cartwright Elementary District,5411,Estrella Middle School,N,All,2.77
4282,Cartwright Elementary District,5407,Frank Borman School,N,All,1.94
4282,Cartwright Elementary District,5399,Glenn L. Downs School,N,All,0
4282,Cartwright Elementary District,78980,Marc T. Atkinson Middle School,N,All,2.54
4282,Cartwright Elementary District,89955,Raul H. Castro Middle School,N,All,1.37
4446,Casa Grande Elementary District,79692,Cactus Middle School,N,All,2.26
4446,Casa Grande Elementary District,5934,Casa Grande Middle School,N,All,4.62
4446,Casa Grande Elementary District,89579,Villago Middle School,N,All,3.74
4453,Casa Grande Union High School District,5948,Casa Grande Union High School,N,All,6.79
4453,Casa Grande Union High School District,90084,Vista Grande High School,N,All,6.53
4410,Catalina Foothills Unified District,5839,Catalina Foothills High School,N,All,0.47
4410,Catalina Foothills Unified District,5837,Esperero Canyon Middle School,N,All,0.22
4410,Catalina Foothills Unified District,5834,Orange Grove Middle School,N,All,1.42
4244,Cave Creek Unified District,5137,Cactus Shadows High School,N,All,0.7
4244,Cave Creek Unified District,78911,Sonoran Trails Middle School,N,All,0.58
4395,Cedar Unified District,5638,Jeddito School,N,All,0
4191,"Center for Academic Success, Inc.",85876,Center for Academic Success #4,Y,All,0
4191,"Center for Academic Success, Inc.",85877,Center for Academic Success #5,Y,All,3
4191,"Center for Academic Success, Inc.",4801,"Center for Academic Success, The #1",Y,All,6.78
4191,"Center for Academic Success, Inc.",4802,"Center for Academic Success, The #2",Y,All,0.95
88299,Chandler Preparatory Academy,88300,Great Hearts Academies - Chandler Prep,Y,All,0
4242,Chandler Unified District #80,89591,Arizona College Prep Erie Campus,N,All,1.04
4242,Chandler Unified District #80,90302,Arizona College Prep Oakland Campus,N,All,1.44
4242,Chandler Unified District #80,79633,Basha High School,N,All,1.36
4242,Chandler Unified District #80,5125,Bogle Junior High School,N,All,0.26
4242,Chandler Unified District #80,5127,Chandler High School,N,All,1.82
4242,Chandler Unified District #80,91282,Chandler Online Academy,N,All,1.49
4242,Chandler Unified District #80,92892,Dr. Camille Casteel High School,N,All,1.54
4242,Chandler Unified District #80,6015,Hamilton High School,N,All,1.66
4242,Chandler Unified District #80,5123,John M Andersen Jr High School,N,All,1.03
4242,Chandler Unified District #80,89613,Perry High School,N,All,0.65
4242,Chandler Unified District #80,79634,Santan Junior High School,N,All,0.48
4242,Chandler Unified District #80,87519,Willie & Coy Payne Jr. High,N,All,1.38
4242,Chandler Unified District #80,5110,Willis Junior High School,N,All,2.3
4158,Chinle Unified District,4737,Chinle High School,N,All,11.83
4158,Chinle Unified District,4731,Chinle Junior High School,N,All,6.74
4158,Chinle Unified District,4734,Many Farms Elementary School,N,All,2.96
4158,Chinle Unified District,4735,Tsaile Elementary School,N,All,0.92
4474,Chino Valley Unified District,6110,Chino Valley High School,N,All,2.01
4474,Chino Valley Unified District,6109,Heritage Middle School,N,All,0.22
90138,"Choice Academies, Inc.",90139,Adams Traditional Academy,Y,All,0.9
90138,"Choice Academies, Inc.",92636,Jefferson Preparatory High School,Y,All,0
5186,Cholla Academy,10801,Westland School,Y,All,2.75
5186,Cholla Academy,92637,Westland School Brighton Campus,Y,All,2.8
92316,Cicero Preparatory Academy,92317,Great Hearts Academies - Cicero Prep,Y,All,0.22
85448,CITY Center for Collaborative Learning,85451,City High School,Y,All,0.49
85448,CITY Center for Collaborative Learning,92561,Paulo Freire Freedom School - Downtown,Y,All,0
85448,CITY Center for Collaborative Learning,87441,Paulo Freire Freedom School - University,Y,All,3.51
4486,Clarkdale-Jerome Elementary District,6122,Clarkdale-Jerome Elementary School,N,All,0.81
81027,Cochise Community Development Corporation,81028,Bereran Academy,Y,All,3.27
4177,Cochise Elementary District,4785,Cochise Elementary School,N,All,0
10386,Coconino County Accommodation School District,79010,County Jail Education Program,N,All,0
10386,Coconino County Accommodation School District,78915,Juvenile Detention Education Program,N,All,0.93
10386,Coconino County Accommodation School District,85842,Ponderosa High School,N,All,26.15
10386,Coconino County Accommodation School District,81127,Tse'yaato' High School,N,All,22.64
91773,"Collaborative Pathways, Inc.",10733,Arizona College Prep Academy,Y,All,1.68
4370,Colorado City Unified District,5567,El Capitan Public School,N,All,6.15
4381,Colorado River Union High School District,90858,CRUHSD Academy,N,All,30.82
4381,Colorado River Union High School District,5592,Mohave High School,N,All,1.94
4381,Colorado River Union High School District,5593,River Valley High School,N,All,2.6
79467,"Compass High School, Inc.",79468,Compass High School,Y,All,31.58
90533,"Compass Points International, Inc",88388,Northpoint Expeditionary Learning Academy,Y,All,3.81
4160,Concho Elementary District,4742,Concho Elementary School,N,All,0
4479,Congress Elementary District,6114,Congress Elementary School,N,All,0
4416,Continental Elementary District,5855,Continental Elementary School,N,All,0
4442,Coolidge Unified District,92608,Coolidge Alternative Program,N,All,21.53
4442,Coolidge Unified District,5916,Coolidge High School,N,All,3.67
4442,Coolidge Unified District,5914,Coolidge Jr. High School,N,All,8.3
79077,"Cornerstone Charter School,Inc",79099,Cornerstone Charter School,Y,All,1.79
79988,"Cortez Park Charter Middle School, Inc.",79989,Imagine Cortez Park Middle,Y,All,0.58
4487,Cottonwood-Oak Creek Elementary District,6124,Cottonwood Middle School,N,All,0.8
4487,Cottonwood-Oak Creek Elementary District,90934,Mountain View Preparatory School,N,All,0
4487,Cottonwood-Oak Creek Elementary District,6125,Oak Creek Elementary School,N,All,1.61
79074,Country Gardens Charter Schools,79102,Country Gardens Charter School,Y,All,0.56
90331,CPLC Community Schools dba Hiaki High School,87412,Envision High School,Y,All,28.26
80032,CPLC Community Schools dba Toltecalli High School,80033,Toltecali High School,Y,All,22.57
4501,Crane Elementary District,78935,Centennial Middle School,N,All,0.24
4501,Crane Elementary District,778305,Crane iLearning Academy,N,All,6.9
4501,Crane Elementary District,6172,Crane Middle School,N,All,0.78
4263,Creighton Elementary District,5289,Biltmore Preparatory Academy,N,All,0
4263,Creighton Elementary District,5283,Creighton Elementary School,N,All,3.05
4263,Creighton Elementary District,79285,Excelencia School,N,All,5.94
4263,Creighton Elementary District,6023,Gateway School,N,All,3.62
4263,Creighton Elementary District,5284,Larry C Kennedy School,N,All,5.14
4263,Creighton Elementary District,5285,Loma Linda Elementary School,N,All,1.86
4263,Creighton Elementary District,5287,Monte Vista Elementary School,N,All,3.29
4263,Creighton Elementary District,5288,Papago School,N,All,1.91
4263,Creighton Elementary District,5286,William T Machan Elementary School,N,All,2.31
89915,Daisy Education Corporation,89916,Daisy Education Corporation dba Sonoran Science Academy Broadway,Y,All,0
89917,Daisy Education Corporation dba Paragon Science Academy,89918,Paragon Science Academy,Y,All,0
79049,Daisy Education Corporation dba Sonoran Science Academy,79127,Sonoran Science Academy - Tucson,Y,All,0
89914,Daisy Education Corporation dba Sonoran Science Academy - Phoenix,80974,Sonoran Science Academy - Phoenix,Y,All,0.47
90284,Daisy Education Corporation dba. Sonoran Science Academy Davis Monthan,90285,Sonoran Science Academy - Davis Monthan,Y,All,0.41
90541,Daisy Education Corporation dba. Sonoran Science Academy Peoria,90639,Sonoran Science Academy-Peoria,Y,All,0
79496,"Deer Valley Charter Schools, Inc.",79506,Deer Valley Academy,Y,All,0.23
4246,Deer Valley Unified District,78922,Anthem School,N,All,0
4246,Deer Valley Unified District,5162,Barry Goldwater High School,N,All,1.69
4246,Deer Valley Unified District,85850,Boulder Creek High School,N,All,1.39
4246,Deer Valley Unified District,88399,Canyon Springs,N,All,0
4246,Deer Valley Unified District,5161,Deer Valley High School,N,All,2.15
4246,Deer Valley Unified District,5142,Deer Valley Middle School,N,All,0.13
4246,Deer Valley Unified District,79414,Deer Valley Online Learning Program,N,All,1.12
4246,Deer Valley Unified District,5159,Desert Mountain School,N,All,0
4246,Deer Valley Unified District,5150,Desert Sky Middle School,N,All,0.13
4246,Deer Valley Unified District,85851,Diamond Canyon Elementary,N,All,0
4246,Deer Valley Unified District,80318,Gavilan Peak Elementary,N,All,0
4246,Deer Valley Unified District,78921,Highland Lakes School,N,All,0
4246,Deer Valley Unified District,5155,Hillcrest Middle School,N,All,0
4246,Deer Valley Unified District,5163,Mountain Ridge High School,N,All,0.39
4246,Deer Valley Unified District,89953,Norterra Canyon K-8,N,All,0
4246,Deer Valley Unified District,6016,Paseo Hills Elementary,N,All,0
4246,Deer Valley Unified District,80317,Sandra Day O'Connor High School,N,All,0.65
4246,Deer Valley Unified District,79574,Sierra Verde Elementary,N,All,0
4246,Deer Valley Unified District,92907,Sonoran Foothills,N,All,0
4246,Deer Valley Unified District,79573,Stetson Hills Elementary,N,All,0
4246,Deer Valley Unified District,81017,Sunset Ridge Elementary,N,All,0
4246,Deer Valley Unified District,81016,Terramar Elementary,N,All,0
4246,Deer Valley Unified District,92525,Vista Peak,N,All,4.76
4246,Deer Valley Unified District,87528,West Wing Elementary,N,All,0
81099,Desert Heights Charter Schools,92249,Desert Heights Preparatory Academy,Y,All,0
79441,"Desert Rose Academy,Inc.",79442,Desert Rose Academy Charter School,Y,All,28.97
92302,Desert Star Academy,92303,Desert Star Academy,Y,All,0
88321,"Desert Star Community School, Inc.",88322,Desert Star Community School,Y,All,0
6258,"Destiny School, Inc.",10807,Destiny School,Y,All,3.28
4174,Douglas Unified District,4773,Douglas High School,N,All,2.09
4174,Douglas Unified District,4771,Paul H Huber Jr High School,N,All,1.26
4174,Douglas Unified District,4770,Ray Borane Middle School,N,All,2.41
4228,Duncan Unified District,4902,Duncan Elementary,N,All,2.67
4228,Duncan Unified District,4903,Duncan High School,N,All,1.53
4243,Dysart Unified District,81111,Ashton Ranch Elementary School,N,All,1.15
4243,Dysart Unified District,89600,Canyon Ridge School,N,All,0
4243,Dysart Unified District,81112,Cimarron Springs Elementary,N,All,0
4243,Dysart Unified District,80052,Countryside Elementary School,N,All,0
4243,Dysart Unified District,5128,Dysart Elementary School,N,All,1.06
4243,Dysart Unified District,5133,Dysart High School,N,All,1.82
4243,Dysart Unified District,90875,Dysart iSchool,N,All,1.71
4243,Dysart Unified District,5129,El Mirage School,N,All,4.55
4243,Dysart Unified District,5132,Kingswood Elementary School,N,All,1.06
4243,Dysart Unified District,5130,Luke Elementary School,N,All,1.24
4243,Dysart Unified District,84683,Marley Park Elementary,N,All,0.28
4243,Dysart Unified District,89604,Mountain View,N,All,0.36
4243,Dysart Unified District,88416,Parkview Elementary,N,All,0
4243,Dysart Unified District,87621,Rancho Gabriela,N,All,1.71
4243,Dysart Unified District,89821,Riverview School,N,All,3.27
4243,Dysart Unified District,90134,Shadow Ridge High School,N,All,0.15
4243,Dysart Unified District,88414,Sonoran Heights Elementary,N,All,2.52
4243,Dysart Unified District,87620,Sunset Hills Elementary,N,All,1.67
4243,Dysart Unified District,5131,Surprise Elementary School,N,All,0
4243,Dysart Unified District,84684,Thompson Ranch Elementary,N,All,1.69
4243,Dysart Unified District,88417,Valley Vista High School,N,All,1.31
4243,Dysart Unified District,79632,West Point Elementary School,N,All,0.43
4243,Dysart Unified District,88415,Western Peaks Elementary,N,All,0.32
4243,Dysart Unified District,81113,Willow Canyon High School,N,All,0.69
91170,"EAGLE College Prep Harmony, LLC",91171,EAGLE College Prep Harmony,Y,All,1.49
89850,"EAGLE South Mountain Charter, Inc.",89851,EAGLE College Prep,Y,All,0.6
78833,"Eastpointe High School, Inc.",78836,Eastpointe High School,Y,All,44.73
4421,"Edge School, Inc., The",5860,Edge High School - Himmel Park,Y,All,17.97
4421,"Edge School, Inc., The",80928,EDGE High School - Northwest,Y,All,20.95
79981,"Edkey, Inc. - Arizona Conservatory for Arts and Academics",79982,Arizona Conservatory for Arts and Academics,Y,All,0
79981,"Edkey, Inc. - Arizona Conservatory for Arts and Academics",90349,Arizona Conservatory for Arts and Academics Middle School,Y,All,1.69
81045,"Edkey, Inc. - Pathfinder Academy",10753,Pathfinder Academy,Y,All,0
6446,"Edkey, Inc. - Sequoia Charter School",10849,Sequoia Secondary School,Y,All,1.87
4329,"Edkey, Inc. - Sequoia Choice Schools",90322,"Edkey, Inc. - Sequoia Choice Precision School",Y,All,47.58
4329,"Edkey, Inc. - Sequoia Choice Schools",5500,Sequoia Choice School Arizona Distance Learning School,Y,All,9.53
92226,"Edkey, Inc. - Sequoia Pathway Academy",90377,Sequoia Pathway Academy,Y,All,2.17
81052,"Edkey, Inc. - Sequoia Ranch School",89920,Children First Leadership Academy,Y,All,0
81050,"Edkey, Inc. - Sequoia School for the Deaf and Hard of Hearing",79219,"Edkey, Inc. - Sequoia Deaf School",Y,All,1.75
81050,"Edkey, Inc. - Sequoia School for the Deaf and Hard of Hearing",920316,KELLY,Y,All,18.52
79211,"Edkey, Inc. - Sequoia Village School",90324,Sequoia Village High School,Y,All,2.22
79211,"Edkey, Inc. - Sequoia Village School",10848,Sequoia Village School,Y,All,1.47
81123,"Educational Impact, Inc.",87415,Adventure School,Y,All,0
90201,Educational Options Foundation,90844,EdOptions HS Learning Center,Y,All,20.08
90201,Educational Options Foundation,90202,EdOptions Preparatory Academy,Y,All,13.59
4341,"EduPreneurship, Inc.",10752,EduPreneurship Student Center (ESC) Phoenix,Y,All,0
