DistrictofResidenceEntityName,DistrictofResidenceEntityID,SchoolEntityName,SchoolEntityID,SchoolCTDS,PS,KG,1,2,3,4,5,6,7,8,9,10,11,12,Total,
Alpine Elementary District,4161,,,           _,*,*,*,*,11,*,11,*,*,*,*,*,*,*,71,
Alpine Elementary District,4161,Alpine Elementary School,4743,010307101,*,*,*,*,11,*,11,*,*,*,*,*,*,*,61,
Alpine Elementary District,4161,Round Valley High School,4721,010210210,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
Alpine Elementary District,4161,White Mountain Academy,92686,010210211,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
Altar Valley Elementary District,4418,,,           _,54,46,68,64,62,56,69,82,75,76,74,60,58,62,906,
Altar Valley Elementary District,4418,Altar Valley Middle School,5859,100351103,*,*,*,*,*,*,69,82,75,76,*,*,*,*,302,
Altar Valley Elementary District,4418,Canyon State Academy,79303,072107001,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
Altar Valley Elementary District,4418,Flowing Wells Digital Campus,91832,100208290,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
Altar Valley Elementary District,4418,Flowing Wells High School,5791,100208210,*,*,*,*,*,*,*,*,*,*,46,39,31,31,147,
Altar Valley Elementary District,4418,Marana High School,5781,100206240,*,*,*,*,*,*,*,*,*,*,27,17,20,20,84,
Altar Valley Elementary District,4418,Robles Elementary School,84336,100351100,54,46,68,64,62,56,*,*,*,*,*,*,*,*,350,
Altar Valley Elementary District,4418,Sentinel Peak High School,6054,100208020,*,*,*,*,*,*,*,*,*,*,*,*,*,*,16,
Ambassador Academy,89550,,,           _,*,13,*,*,12,*,*,*,*,*,*,*,*,*,60,
Ambassador Academy,89550,Ambassador Academy,89551,078529101,*,13,*,*,12,*,*,*,*,*,*,*,*,*,60,
American Basic Schools LLC,79215,,,           _,*,140,136,126,139,127,83,120,*,*,*,*,*,*,871,
American Basic Schools LLC,79215,Burke Basic School,78788,078989101,*,140,136,126,139,127,83,120,*,*,*,*,*,*,871,
American Charter Schools Foundation d.b.a. Alta Vista High School,80995,,,           _,*,*,*,*,*,*,*,*,*,*,107,126,127,107,467,
American Charter Schools Foundation d.b.a. Alta Vista High School,80995,Alta Vista High School,80996,108794201,*,*,*,*,*,*,*,*,*,*,107,126,127,107,467,
American Charter Schools Foundation d.b.a. Apache Trail High School,79883,,,           _,*,*,*,*,*,*,*,*,*,*,17,28,46,70,161,
American Charter Schools Foundation d.b.a. Apache Trail High School,79883,Apache Trail High School,6346,118703001,*,*,*,*,*,*,*,*,*,*,17,28,46,69,160,
American Charter Schools Foundation d.b.a. Apache Trail High School,79883,Desert Hills High School,78901,078947001,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
American Charter Schools Foundation d.b.a. Crestview College Preparatory High Sc,79874,,,           _,*,*,*,*,*,*,*,*,*,*,25,55,59,82,240,
American Charter Schools Foundation d.b.a. Crestview College Preparatory High Sc,79874,Crestview College Preparatory High School,78813,078950001,*,*,*,*,*,*,*,*,*,*,25,55,59,82,240,
American Charter Schools Foundation d.b.a. Desert Hills High School,79872,,,           _,*,*,*,*,*,*,*,*,*,*,18,37,46,94,195,
