year,districtcode,schoolcode,elapass,mathpass,totaltest,mergecode
17,3381,430,17.35,8.68,219,3381-430
17,3381,450,11.11,,9,3381-450
17,3409,220,28.77,36.99,146,3409-220
17,3409,9100,20.0,13.33,15,3409-9100
17,3427,800,40.0,35.0,20,3427-800
17,3428,40,36.96,39.13,46,3428-40
17,3430,100,31.62,28.06,253,3430-100
17,3434,40,1.59,1.59,63,3434-40
17,3437,110,63.26,54.95,313,3437-110
17,3444,180,45.15,35.02,237,3444-180
17,3479,60,67.96,64.4,309,3479-60
17,3484,40,12.5,12.5,8,3484-40
17,3500,140,29.01,34.57,162,3500-140
17,3500,800,34.48,6.9,29,3500-800
17,3549,60,67.16,65.26,475,3549-60
17,3549,400,14.29,9.52,21,3549-400
17,3549,800,14.29,14.29,7,3549-800
17,3612,100,46.62,39.86,281,3612-100
17,3619,8,11.18,9.21,152,3619-8
17,3619,12,5.59,3.5,143,3619-12
17,3619,14,4.32,2.16,139,3619-14
17,3619,18,6.43,2.25,311,3619-18
17,3619,20,45.64,30.52,344,3619-20
17,3619,26,0.79,1.57,127,3619-26
17,3619,29,11.59,3.96,328,3619-29
17,3619,32,2.84,0.95,211,3619-32
17,3619,33,2.89,,173,3619-33
17,3619,38,16.74,2.79,215,3619-38
17,3619,71,30.33,24.59,122,3619-71
17,3619,176,29.06,11.11,117,3619-176
17,3619,399,5.41,,37,3619-399
17,3619,407,45.68,34.57,81,3619-407
17,3619,409,2.26,0.75,133,3619-409
17,3619,413,14.89,2.13,47,3619-413
17,3619,419,1.61,,62,3619-419
17,3619,434,13.92,5.06,79,3619-434
17,3619,435,61.69,41.02,295,3619-435
17,3619,441,5.13,2.56,39,3619-441
17,3619,444,5.48,12.33,73,3619-444
17,3619,458,1.52,,66,3619-458
17,3619,840,1.11,,90,3619-840
17,3619,870,12.5,3.12,32,3619-870
17,3619,880,48.53,20.59,68,3619-880
17,3633,80,45.65,43.48,46,3633-80
17,3647,20,38.85,37.58,157,3647-20
17,3654,410,17.24,6.9,29,3654-410
17,3661,40,57.81,45.31,64,3661-40
17,3668,100,38.1,47.62,63,3668-100
17,3675,60,60.94,51.5,233,3675-60
17,3682,120,39.87,37.91,153,3682-120
17,3689,40,22.45,20.41,49,3689-40
17,3696,40,29.63,22.22,27,3696-40
17,3787,100,29.32,34.59,133,3787-100
17,3794,120,63.08,57.01,214,3794-120
17,3822,60,54.68,54.68,406,3822-60
17,3850,120,30.0,30.0,30,3850-120
17,3857,180,55.08,56.15,374,3857-180
17,3871,40,26.53,24.49,49,3871-40
17,3892,180,50.88,44.69,452,3892-180
17,3899,40,41.89,35.14,74,3899-40
17,3906,60,32.58,21.35,89,3906-60
17,3920,40,8.7,13.04,23,3920-40
17,3925,50,74.57,75.43,232,3925-50
17,3925,140,61.2,57.92,183,3925-140
17,3934,40,40.0,49.09,55,3934-40
17,3941,80,41.05,46.32,95,3941-80
17,3948,60,10.0,7.5,40,3948-60
17,3955,80,40.15,47.73,132,3955-80
17,3955,410,21.05,10.53,19,3955-410
