year,districtcode,schoolcode,droprate,totalenroll,mergecode
19,8127,400,2.12,283,8127-400
19,3633,80,0.00,220,3633-80
19,3661,40,1.27,236,3661-40
19,3668,100,0.37,271,3668-100
19,3675,60,0.38,1039,3675-60
19,3675,450,0.00,46,3675-450
19,3682,120,0.41,726,3682-120
19,3689,420,0.00,31,3689-420
19,3689,40,0.35,287,3689-40
19,3696,40,0.00,115,3696-40
19,3787,100,0.00,635,3787-100
19,3794,120,0.52,764,3794-120
19,3822,60,0.12,1621,3822-60
19,3857,180,0.24,1636,3857-180
19,3871,40,0.00,216,3871-40
19,3892,180,0.87,2071,3892-180
19,3899,40,1.14,440,3899-40
19,3906,400,7.69,26,3906-400
19,3906,60,0.90,332,3906-60
19,3920,40,0.80,125,3920-40
19,3925,50,0.00,1107,3925-50
19,3925,140,0.00,1083,3925-140
19,3934,40,0.00,277,3934-40
19,3941,80,1.14,350,3941-80
19,3948,60,0.75,268,3948-60
19,3955,430,18.60,43,3955-430
19,3955,80,0.29,691,3955-80
19,3962,60,1.10,913,3962-60
19,3969,40,0.00,198,3969-40
19,2177,20,0.18,1082,2177-20
19,2016,120,0.00,145,2016-120
19,3983,60,1.84,434,3983-60
19,1945,60,0.41,243,1945-60
19,1526,90,0.52,381,1526-90
19,1526,410,0.00,27,1526-410
19,3654,410,2.08,144,3654-410
19,3990,20,0.67,300,3990-20
19,4018,140,0.56,2129,4018-140
19,4025,60,0.00,158,4025-60
19,4060,130,0.46,1724,4060-130
19,4074,400,0.00,11,4074-400
19,4074,410,5.26,19,4074-410
19,4074,200,0.21,467,4074-200
19,4067,100,0.36,281,4067-100
19,4088,60,2.01,349,4088-60
19,4095,40,0.32,927,4095-40
19,4137,80,0.32,316,4137-80
19,4144,60,0.26,1147,4144-60
19,4165,60,0.61,495,4165-60
19,4179,290,2.50,1241,4179-290
19,4179,300,1.39,1652,4179-300
19,4186,80,1.44,278,4186-80
19,4207,60,0.00,153,4207-60
19,4221,15,1.17,256,4221-15
19,4228,80,1.40,214,4228-80
19,4151,100,0.82,243,4151-100
19,8139,8139,1.32,76,8139-8139
19,490,40,0.58,172,490-40
19,4270,40,0.00,98,4270-40
19,4305,100,2.17,369,4305-100
19,4312,80,0.34,875,4312-80
19,4330,20,0.00,48,4330-20
19,4347,120,0.85,235,4347-120
19,4368,40,0.00,180,4368-40
19,4389,60,0.24,414,4389-60
19,4459,40,3.88,129,4459-40
19,4473,100,0.93,753,4473-100
19,4508,40,0.88,114,4508-40
19,4515,100,0.52,773,4515-100
19,4501,400,3.33,30,4501-400
19,4501,180,1.05,765,4501-180
19,4529,40,0.00,114,4529-40
19,4536,80,0.31,327,4536-80
19,4543,60,0.27,372,4543-60
19,4557,40,1.15,87,4557-40
19,4571,60,0.00,126,4571-60
19,4578,60,1.22,411,4578-60
19,4613,100,0.18,1093,4613-100
19,4620,491,2.18,1793,4620-491
19,4620,492,4.25,1576,4620-492
19,4620,494,5.91,1319,4620-494
19,4620,800,0.56,354,4620-800
19,4620,499,0.20,511,4620-499
19,4634,40,1.21,165,4634-40
19,4641,80,1.18,255,4641-80
19,4753,80,1.19,925,4753-80
19,4760,40,1.06,188,4760-40
19,4781,180,0.78,766,4781-180
19,4795,60,0.00,130,4795-60
19,4802,450,0.00,29,4802-450
19,4802,180,0.44,686,4802-180
19,4851,320,2.58,388,4851-320
19,4851,450,0.00,36,4851-450
19,4865,40,0.00,183,4865-40
19,4872,440,0.00,48,4872-440
19,4872,120,1.32,456,4872-120
19,4893,410,3.39,59,4893-410
19,4893,80,0.10,970,4893-80
19,4904,80,0.00,191,4904-80
19,5523,110,0.47,424,5523-110
19,3850,430,6.67,15,3850-430
19,3850,120,0.60,168,3850-120
19,4956,400,0.00,8,4956-400
19,4956,50,0.61,330,4956-50
19,4963,40,0.00,175,4963-40
19,1673,60,0.00,226,1673-60
19,2422,60,0.00,447,2422-60
19,5019,80,0.31,321,5019-80
19,5026,40,0.75,530,5026-40
19,5100,120,0.70,853,5100-120
19,8001,8115,0.00,245,8001-8115
19,8001,8124,0.40,249,8001-8124
19,5124,80,2.47,81,5124-80
19,5130,40,0.98,205,5130-40
19,5138,100,1.14,699,5138-100
19,5264,280,0.65,766,5264-280
19,5271,450,3.48,230,5271-450
19,5271,451,1.03,97,5271-451
19,5271,440,0.86,116,5271-440
19,5271,280,2.22,1530,5271-280
19,5271,340,2.33,1072,5271-340
19,5278,40,0.40,494,5278-40
19,5306,40,0.00,310,5306-40
19,5348,40,0.00,210,5348-40
19,5355,400,0.00,23,5355-400
19,5355,80,0.16,627,5355-80
19,5362,80,0.00,120,5362-80
19,5376,40,2.18,229,5376-40
19,5390,80,0.09,1077,5390-80
19,5432,40,0.00,459,5432-40
19,5439,120,2.12,1087,5439-120
19,4522,100,0.00,83,4522-100
19,5457,220,0.00,295,5457-220
19,2485,60,0.00,167,2485-60
19,5460,800,0.00,52,5460-800
19,5460,160,0.27,747,5460-160
19,5460,410,0.00,39,5460-410
19,5467,40,0.33,305,5467-40
19,5474,80,0.56,356,5474-80
19,5586,80,0.00,225,5586-80
19,5593,80,0.34,290,5593-80
19,5607,310,10.32,126,5607-310
19,5607,270,0.62,1456,5607-270
19,5614,40,0.00,53,5614-40
19,5621,140,0.43,937,5621-140
19,5628,40,0.00,303,5628-40
19,5642,10,1.00,401,5642-10
19,5656,410,3.67,109,5656-410
19,5656,100,1.12,1689,5656-100
19,5663,280,2.00,1298,5663-280
19,5670,80,0.80,125,5670-80
19,5726,40,0.54,186,5726-40
19,5733,80,0.68,148,5733-80
19,5740,40,0.00,86,5740-40
