year,mergecode,white,black,hispanic,lowincome,elapass,totalenroll,totaltest,NCESSchoolID,hybridper,virtualper,inpersonper,schoolmode,charter,districtcode,state,year_21
19,010092620260002,98.4,0.0,1.6,41.1,35.5,129,31,170010505357,0.0,0.0,1.0,0.0,0,01009262026il,il,0
21,010092620260002,98.4,0.0,0.0,46.3,16.7,123,30,170010505357,0.2,0.0,0.8,0.1,0,01009262026il,il,1
17,010690010260001,94.0,0.0,0.7,42.4,15.8,151,92,171575001885,0.0,0.0,1.0,0.0,0,01069001026il,il,0
18,010690010260001,92.5,0.0,0.0,36.7,38.5,147,13,171575001885,0.0,0.0,1.0,0.0,0,01069001026il,il,0
19,010690010260001,94.9,0.5,0.0,33.2,28.6,217,21,171575001885,0.0,0.0,1.0,0.0,0,01069001026il,il,0
21,010690010260001,95.9,0.0,0.0,27.2,20.6,169,29,171575001885,0.7,0.0,0.3,0.35,0,01069001026il,il,1
17,010690060260001,97.1,0.6,0.0,31.0,35.0,171,75,174128004145,0.0,0.0,1.0,0.0,0,01069006026il,il,0
18,010690060260001,96.5,0.0,0.0,28.5,42.3,172,26,174128004145,0.0,0.0,1.0,0.0,0,01069006026il,il,0
19,010690060260001,95.8,1.2,0.6,38.2,25.7,165,35,174128004145,0.0,0.0,1.0,0.0,0,01069006026il,il,0
21,010690060260001,94.5,0.0,0.0,44.1,25.1,145,32,174128004145,0.6,0.0,0.4,0.3,0,01069006026il,il,1
17,010690270260001,93.8,0.0,1.4,32.2,27.3,146,78,171083001324,0.0,0.0,1.0,0.0,0,01069027026il,il,0
18,010690270260001,94.5,0.0,0.0,36.6,50.0,164,30,171083001324,0.0,0.0,1.0,0.0,0,01069027026il,il,0
19,010690270260001,93.3,0.0,2.8,37.2,26.1,180,23,171083001324,0.0,0.0,1.0,0.0,0,01069027026il,il,0
21,010690270260001,93.2,0.0,0.0,32.1,34.8,190,23,171083001324,0.0,0.0,1.0,0.0,0,01069027026il,il,1
17,010691170220014,82.0,6.1,2.9,48.1,29.5,1007,221,172028002280,0.0,0.0,1.0,0.0,0,01069117022il,il,0
18,010691170220014,79.5,7.5,3.3,47.4,29.2,986,205,172028002280,0.0,0.0,1.0,0.0,0,01069117022il,il,0
19,010691170220014,78.5,7.2,3.4,47.8,24.2,970,258,172028002280,0.0,0.0,1.0,0.0,0,01069117022il,il,0
21,010691170220014,77.6,8.8,3.4,47.4,25.8,916,191,172028002280,0.0,0.0,1.0,0.0,0,01069117022il,il,1
17,010750030260002,98.7,1.3,0.0,49.4,22.7,79,22,173189003346,0.0,0.0,1.0,0.0,0,01075003026il,il,0
18,010750030260002,98.7,0.0,0.0,49.4,29.4,77,17,173189003346,0.0,0.0,1.0,0.0,0,01075003026il,il,0
19,010750030260002,100.0,0.0,0.0,60.8,40.9,74,17,173189003346,0.0,0.0,1.0,0.0,0,01075003026il,il,0
21,010750030260002,98.9,0.0,0.0,59.1,0.0,93,16,173189003346,0.27,0.0,0.73,0.14,0,01075003026il,il,1
17,010750040260002,97.4,0.0,0.0,60.0,20.0,115,26,171779002073,0.0,0.0,1.0,0.0,0,01075004026il,il,0
18,010750040260002,93.1,0.0,0.0,65.3,9.5,101,21,171779002073,0.0,0.0,1.0,0.0,0,01075004026il,il,0
19,010750040260002,95.2,4.8,0.0,100.0,19.2,84,26,171779002073,0.0,0.0,1.0,0.0,0,01075004026il,il,0
21,010750040260002,100.0,0.0,0.0,0.0,20.0,95,20,171779002073,0.3,0.0,0.7,0.15,0,01075004026il,il,1
17,010750100260009,98.4,0.6,0.3,42.7,31.2,316,77,173171003332,0.0,0.0,1.0,0.0,0,01075010026il,il,0
18,010750100260009,97.3,0.0,0.0,40.2,38.8,336,72,173171003332,0.0,0.0,1.0,0.0,0,01075010026il,il,0
19,010750100260009,96.9,0.6,1.2,36.5,33.8,323,74,173171003332,0.0,0.0,1.0,0.0,0,01075010026il,il,0
21,010750100260009,97.8,0.0,0.0,38.1,22.4,323,76,173171003332,0.9,0.0,0.1,0.45,0,01075010026il,il,1
17,010750120260001,95.8,0.0,1.4,52.1,42.1,142,38,170138705910,0.0,0.0,1.0,0.0,0,01075012026il,il,0
18,010750120260001,94.5,0.0,0.0,55.5,30.6,146,36,170138705910,0.0,0.0,1.0,0.0,0,01075012026il,il,0
19,010750120260001,95.7,0.0,1.4,62.1,35.3,140,34,170138705910,0.0,0.0,1.0,0.0,0,01075012026il,il,0
21,010750120260001,96.8,0.0,0.0,50.8,15.0,124,20,170138705910,0.7,0.0,0.3,0.35,0,01075012026il,il,1
17,010860010260001,98.4,0.0,0.0,37.3,28.3,185,48,174266004288,0.0,0.0,1.0,0.0,0,01086001026il,il,0
18,010860010260001,98.3,0.0,0.0,40.4,34.1,178,47,174266004288,0.0,0.0,1.0,0.0,0,01086001026il,il,0
19,010860010260001,97.3,0.0,1.6,37.4,30.0,182,40,174266004288,0.0,0.0,1.0,0.0,0,01086001026il,il,0
21,010860010260001,97.6,0.0,0.0,46.1,11.5,165,52,174266004288,0.6,0.0,0.4,0.3,0,01086001026il,il,1
17,010860020260001,100.0,0.0,0.0,48.3,30.8,58,13,170660000348,0.0,0.0,1.0,0.0,0,01086002026il,il,0
18,010860020260001,100.0,0.0,0.0,53.1,0.0,64,12,170660000348,0.0,0.0,1.0,0.0,0,01086002026il,il,0
19,010860020260001,96.9,0.0,1.6,51.6,15.8,64,19,170660000348,0.0,0.0,1.0,0.0,0,01086002026il,il,0
21,010860020260001,91.8,0.0,0.0,54.8,0.0,73,18,170660000348,0.4,0.0,0.6,0.2,0,01086002026il,il,1
17,030030010260001,90.4,5.8,1.9,35.6,26.1,104,24,172745002912,0.0,0.0,1.0,0.0,0,03003001026il,il,0
18,030030010260001,88.9,0.0,0.0,41.7,33.3,108,27,172745002912,0.0,0.0,1.0,0.0,0,03003001026il,il,0
19,030030010260001,92.6,1.7,2.5,42.1,16.0,121,25,172745002912,0.0,0.0,1.0,0.0,0,03003001026il,il,0
21,030030010260001,90.1,0.0,0.0,55.0,3.7,111,27,172745002912,0.4,0.0,0.6,0.2,0,03003001026il,il,1
17,030030020260001,89.0,3.7,2.4,39.1,32.5,537,120,171773002067,0.0,0.0,1.0,0.0,0,03003002026il,il,0
18,030030020260001,90.3,2.3,2.1,36.1,39.7,524,126,171773002067,0.0,0.0,1.0,0.0,0,03003002026il,il,0
19,030030020260001,90.2,2.2,1.7,36.4,29.5,539,123,171773002067,0.0,0.0,1.0,0.0,0,03003002026il,il,0
21,030030020260001,90.7,0.0,0.0,43.3,29.5,547,129,171773002067,0.9,0.0,0.1,0.45,0,03003002026il,il,1
17,030110010260002,100.0,0.0,0.0,13.2,19.0,91,21,172676002858,0.0,0.0,1.0,0.0,0,03011001026il,il,0
18,030110010260002,98.9,0.0,0.0,17.8,23.8,90,21,172676002858,0.0,0.0,1.0,0.0,0,03011001026il,il,0
19,030110010260002,96.3,0.0,1.3,26.3,33.3,80,15,172676002858,0.0,0.0,1.0,0.0,0,03011001026il,il,0
21,030110010260002,93.3,0.0,0.0,43.8,28.6,89,14,172676002858,0.1,0.0,0.9,0.05,0,03011001026il,il,1
17,030110030260006,95.0,0.5,1.4,44.7,31.4,778,180,173870003938,0.0,0.0,1.0,0.0,0,03011003026il,il,0
18,030110030260006,95.5,0.0,1.3,41.5,37.3,761,166,173870003938,0.0,0.0,1.0,0.0,0,03011003026il,il,0
19,030110030260006,93.6,0.3,1.7,43.7,27.0,755,192,173870003938,0.0,0.0,1.0,0.0,0,03011003026il,il,0
21,030110030260006,93.2,0.0,1.7,41.0,16.6,761,174,173870003938,0.6,0.3,0.1,0.6,0,03011003026il,il,1
17,030110040260002,97.6,0.0,0.0,24.4,32.0,82,25,171341001632,0.0,0.0,1.0,0.0,0,03011004026il,il,0
18,030110040260002,96.4,0.0,0.0,38.1,16.7,84,24,171341001632,0.0,0.0,1.0,0.0,0,03011004026il,il,0
19,030110040260002,96.0,0.0,2.7,38.7,28.7,75,10,171341001632,0.0,0.0,1.0,0.0,0,03011004026il,il,0
21,030110040260002,97.4,0.0,0.0,42.1,15.4,76,13,171341001632,0.4,0.2,0.4,0.4,0,03011004026il,il,1
17,030110080260006,97.5,0.0,0.5,47.7,42.0,407,81,173063003186,0.0,0.0,1.0,0.0,0,03011008026il,il,0
18,030110080260006,97.0,0.0,0.0,51.9,26.9,399,104,173063003186,0.0,0.0,1.0,0.0,0,03011008026il,il,0
19,030110080260006,96.7,0.0,1.0,55.8,29.5,394,89,173063003186,0.0,0.0,1.0,0.0,0,03011008026il,il,0
21,030110080260006,94.2,0.0,0.0,50.0,22.0,394,91,173063003186,0.7,0.0,0.3,0.35,0,03011008026il,il,1
17,030110140240001,93.3,0.6,2.5,60.1,19.2,163,102,173664005069,0.0,0.0,1.0,0.0,0,03011014024il,il,0
18,030110140240001,92.2,0.0,0.0,56.3,14.2,167,14,173664005069,0.0,0.0,1.0,0.0,0,03011014024il,il,0
19,030110140240001,91.4,0.0,3.3,57.6,22.2,151,19,173664005069,0.0,0.0,1.0,0.0,0,03011014024il,il,0
21,030110140240001,91.5,0.0,0.0,57.4,24.0,141,26,173664005069,0.3,0.0,0.7,0.15,0,03011014024il,il,1
17,030250100260001,97.7,0.8,0.4,41.1,36.4,258,55,170351000034,0.0,0.0,1.0,0.0,0,03025010026il,il,0
18,030250100260001,98.2,0.0,0.0,41.5,32.9,224,64,170351000034,0.0,0.0,1.0,0.0,0,03025010026il,il,0
19,030250100260001,97.8,1.3,0.4,37.5,25.6,224,47,170351000034,0.0,0.0,1.0,0.0,0,03025010026il,il,0
21,030250100260001,95.9,0.0,0.0,44.5,20.0,245,55,170351000034,0.1,0.0,0.9,0.05,0,03025010026il,il,1
17,030250200260001,95.6,0.0,3.8,49.1,29.2,159,91,170546000225,0.0,0.0,1.0,0.0,0,03025020026il,il,0
18,030250200260001,98.0,0.0,0.0,44.0,56.3,150,16,170546000225,0.0,0.0,1.0,0.0,0,03025020026il,il,0
19,030250200260001,96.8,0.0,1.3,41.4,26.3,157,19,170546000225,0.0,0.0,1.0,0.0,0,03025020026il,il,0
21,030250200260001,94.4,0.0,0.0,98.8,11.5,161,26,170546000225,0.1,0.0,0.9,0.05,0,03025020026il,il,1
17,030250300260001,98.8,0.0,0.0,34.1,46.7,173,91,171224001477,0.0,0.0,1.0,0.0,0,03025030026il,il,0
18,030250300260001,97.9,0.0,0.0,31.6,36.7,190,30,171224001477,0.0,0.0,1.0,0.0,0,03025030026il,il,0
19,030250300260001,97.9,0.0,1.0,21.1,26.0,194,23,171224001477,0.0,0.0,1.0,0.0,0,03025030026il,il,0
21,030250300260001,96.7,0.0,0.0,18.5,25.8,211,31,171224001477,0.0,0.0,1.0,0.0,0,03025030026il,il,1
17,030250400260001,93.8,0.6,3.1,30.6,41.5,715,166,171356001648,0.0,0.0,1.0,0.0,0,03025040026il,il,0
18,030250400260001,92.4,0.0,3.5,36.4,36.9,737,152,171356001648,0.0,0.0,1.0,0.0,0,03025040026il,il,0
19,030250400260001,91.3,1.1,3.5,33.4,33.1,715,166,171356001648,0.0,0.0,1.0,0.0,0,03025040026il,il,0
21,030250400260001,88.5,0.0,5.1,32.6,28.3,742,180,171356001648,0.0,0.0,1.0,0.0,0,03025040026il,il,1
17,030250500260001,99.7,0.3,0.0,10.1,37.5,337,74,173876003944,0.0,0.0,1.0,0.0,0,03025050026il,il,0
18,030250500260001,99.7,0.0,0.0,7.6,48.8,316,84,173876003944,0.0,0.0,1.0,0.0,0,03025050026il,il,0
19,030250500260001,98.8,0.3,0.3,2.1,50.0,334,72,173876003944,0.0,0.0,1.0,0.0,0,03025050026il,il,0
21,030250500260001,98.5,0.0,0.0,8.6,42.7,326,82,173876003944,0.3,0.0,0.7,0.15,0,03025050026il,il,1
17,030262010260003,92.6,0.0,3.2,43.2,7.7,95,13,170744000383,0.0,0.0,1.0,0.0,0,03026201026il,il,0
18,030262010260003,92.0,0.0,0.0,52.0,10.5,75,19,170744000383,0.0,0.0,1.0,0.0,0,03026201026il,il,0
19,030262010260003,92.5,0.0,2.5,58.8,11.5,80,26,170744000383,0.0,0.0,1.0,0.0,0,03026201026il,il,0
21,030262010260003,97.3,0.0,0.0,48.0,10.5,75,19,170744000383,0.6,0.0,0.4,0.3,0,03026201026il,il,1
17,030262020260002,95.2,0.0,0.8,41.1,31.3,124,32,173723003864,0.0,0.0,1.0,0.0,0,03026202026il,il,0
18,030262020260002,95.8,0.0,0.0,42.0,26.9,119,26,173723003864,0.0,0.0,1.0,0.0,0,03026202026il,il,0
19,030262020260002,97.3,1.8,0.9,46.4,42.8,110,28,173723003864,0.0,0.0,1.0,0.0,0,03026202026il,il,0
21,030262020260002,92.6,0.0,0.0,42.1,15.3,121,26,173723003864,0.8,0.0,0.2,0.4,0,03026202026il,il,1
17,030262030260001,95.3,0.2,1.2,49.6,24.3,423,109,174014004044,0.0,0.0,1.0,0.0,0,03026203026il,il,0
18,030262030260001,94.6,0.0,2.6,50.8,21.1,429,95,174014004044,0.0,0.0,1.0,0.0,0,03026203026il,il,0
19,030262030260001,94.3,0.7,2.5,50.4,17.4,407,92,174014004044,0.0,0.0,1.0,0.0,0,03026203026il,il,0
21,030262030260001,95.5,0.0,0.0,54.2,20.5,397,83,174014004044,0.7,0.0,0.3,0.35,0,03026203026il,il,1
17,030262040260002,99.1,0.4,0.4,62.5,20.8,232,130,173309003435,0.0,0.0,1.0,0.0,0,03026204026il,il,0
18,030262040260002,98.8,0.0,0.0,48.4,14.3,250,28,173309003435,0.0,0.0,1.0,0.0,0,03026204026il,il,0
19,030262040260002,99.6,0.0,0.4,55.0,21.9,231,32,173309003435,0.0,0.0,1.0,0.0,0,03026204026il,il,0
21,030262040260002,98.3,0.0,0.0,55.7,19.4,230,32,173309003435,0.1,0.0,0.9,0.05,0,03026204026il,il,1
17,030680020260001,95.9,1.4,0.7,42.8,38.9,145,37,173066003190,0.0,0.0,1.0,0.0,0,03068002026il,il,0
18,030680020260001,97.3,0.0,0.0,46.6,23.5,146,34,173066003190,0.0,0.0,1.0,0.0,0,03068002026il,il,0
19,030680020260001,97.3,0.0,0.7,50.7,23.5,146,34,173066003190,0.0,0.0,1.0,0.0,0,03068002026il,il,0
21,030680020260001,94.3,0.0,0.0,42.9,27.3,140,33,173066003190,0.4,0.0,0.6,0.2,0,03068002026il,il,1
17,030680030260001,94.6,1.6,2.4,43.6,31.4,498,107,171920002206,0.0,0.0,1.0,0.0,0,03068003026il,il,0
18,030680030260001,94.0,0.0,0.0,38.3,26.3,519,99,171920002206,0.0,0.0,1.0,0.0,0,03068003026il,il,0
19,030680030260001,93.0,1.4,2.9,35.5,35.2,484,130,171920002206,0.0,0.0,1.0,0.0,0,03068003026il,il,0
21,030680030260001,93.6,0.0,2.4,39.2,18.0,452,100,171920002206,0.0,0.0,1.0,0.0,0,03068003026il,il,1
17,030680120260001,93.3,1.0,1.9,52.6,27.4,420,96,172325002560,0.0,0.0,1.0,0.0,0,03068012026il,il,0
18,030680120260001,93.2,0.0,0.0,49.9,11.7,395,86,172325002560,0.0,0.0,1.0,0.0,0,03068012026il,il,0
19,030680120260001,93.3,1.3,2.3,57.8,29.6,389,83,172325002560,0.0,0.0,1.0,0.0,0,03068012026il,il,0
21,030680120260001,90.8,0.0,4.1,51.6,31.4,415,83,172325002560,0.6,0.0,0.4,0.3,0,03068012026il,il,1
17,030680220260001,97.0,0.0,0.3,43.9,34.8,296,174,172856002990,0.0,0.0,1.0,0.0,0,03068022026il,il,0
18,030680220260001,96.1,0.0,0.0,43.4,27.0,304,37,172856002990,0.0,0.0,1.0,0.0,0,03068022026il,il,0
19,030680220260001,94.6,0.0,2.3,40.5,27.3,299,44,172856002990,0.0,0.0,1.0,0.0,0,03068022026il,il,0
21,030680220260001,95.3,0.0,0.0,37.9,23.1,298,39,172856002990,0.0,0.0,1.0,0.0,0,03068022026il,il,1
17,040041000260001,49.1,2.8,44.4,52.3,21.3,1263,319,170579000255,0.0,0.0,1.0,0.0,0,04004100026il,il,0
18,040041000260001,47.4,3.0,45.5,48.6,28.2,1245,287,170579000255,0.0,0.0,1.0,0.0,0,04004100026il,il,0
19,040041000260001,47.0,2.6,46.3,57.6,18.6,1214,270,170579000255,0.0,0.0,1.0,0.0,0,04004100026il,il,0
21,040041000260001,45.5,2.2,48.0,43.2,19.6,1245,271,170579000255,0.5,0.4,0.1,0.65,0,04004100026il,il,1
17,040041000260002,64.3,3.5,27.4,37.6,35.6,1505,351,170579005909,0.0,0.0,1.0,0.0,0,04004100026il,il,0
18,040041000260002,63.4,3.5,29.0,32.7,35.1,1515,316,170579005909,0.0,0.0,1.0,0.0,0,04004100026il,il,0
19,040041000260002,62.3,3.8,29.4,35.2,35.1,1432,384,170579005909,0.0,0.0,1.0,0.0,0,04004100026il,il,0
21,040041000260002,63.4,3.9,28.8,28.2,34.9,1418,293,170579005909,0.5,0.4,0.1,0.65,0,04004100026il,il,1
17,040042000260003,67.2,1.5,25.8,48.9,34.1,524,132,172870003013,0.0,0.0,1.0,0.0,0,04004200026il,il,0
18,040042000260003,69.8,0.0,23.7,45.3,39.4,503,122,172870003013,0.0,0.0,1.0,0.0,0,04004200026il,il,0
19,040042000260003,69.2,1.5,23.2,41.6,30.9,478,123,172870003013,0.0,0.0,1.0,0.0,0,04004200026il,il,0
21,040042000260003,62.7,0.0,27.5,36.9,21.2,469,90,172870003013,0.0,0.0,1.0,0.0,0,04004200026il,il,1
17,041011220220002,75.6,4.5,12.1,52.7,35.7,2093,464,171824002100,0.0,0.0,1.0,0.0,0,04101122022il,il,0
18,041011220220002,74.6,5.0,12.3,49.2,29.9,1529,497,171824002100,0.0,0.0,1.0,0.0,0,04101122022il,il,0
19,041011220220002,73.5,4.3,13.3,50.1,27.4,1533,464,171824002100,0.0,0.0,1.0,0.0,0,04101122022il,il,0
21,041011220220002,69.6,5.9,14.5,45.4,23.9,1953,420,171824002100,0.82,0.0,0.18,0.41,0,04101122022il,il,1
17,041012050250001,28.8,42.7,18.8,49.0,40.6,1859,306,173451003599,0.0,0.0,1.0,0.0,0,04101205025il,il,0
18,041012050250001,28.8,41.5,19.3,53.2,40.5,1805,334,173451003599,0.0,0.0,1.0,0.0,0,04101205025il,il,0
19,041012050250001,28.5,41.1,19.7,61.6,33.1,1818,391,173451003599,0.0,0.0,1.0,0.0,0,04101205025il,il,0
21,041012050250001,28.2,40.8,19.3,57.8,34.3,1756,294,173451003599,0.5,0.1,0.4,0.35,0,04101205025il,il,1
17,041012050250002,33.2,23.3,27.6,48.3,22.2,1990,368,173451003600,0.0,0.0,1.0,0.0,0,04101205025il,il,0
18,041012050250002,31.8,25.9,27.0,54.7,21.1,1864,361,173451003600,0.0,0.0,1.0,0.0,0,04101205025il,il,0
19,041012050250002,29.7,27.7,27.5,65.5,16.3,1799,431,173451003600,0.0,0.0,1.0,0.0,0,04101205025il,il,0
21,041012050250002,29.0,28.0,29.7,62.9,13.9,1520,294,173451003600,0.6,0.1,0.3,0.4,0,04101205025il,il,1
17,041012050250003,37.1,23.6,30.4,37.4,35.3,1721,368,173451003577,0.0,0.0,1.0,0.0,0,04101205025il,il,0
18,041012050250003,37.0,23.5,29.5,39.9,21.2,1744,302,173451003577,0.0,0.0,1.0,0.0,0,04101205025il,il,0
19,041012050250003,37.7,24.4,26.8,50.8,24.1,1786,471,173451003577,0.0,0.0,1.0,0.0,0,04101205025il,il,0
21,041012050250003,39.7,24.2,23.5,46.7,30.3,1805,347,173451003577,0.6,0.1,0.3,0.4,0,04101205025il,il,1
17,041012050250004,28.6,23.2,41.0,50.5,16.2,1629,332,173451003585,0.0,0.0,1.0,0.0,0,04101205025il,il,0
18,041012050250004,26.1,22.1,44.0,55.8,14.5,1680,282,173451003585,0.0,0.0,1.0,0.0,0,04101205025il,il,0
19,041012050250004,24.4,21.0,46.2,69.2,15.4,1715,333,173451003585,0.0,0.0,1.0,0.0,0,04101205025il,il,0
21,041012050250004,20.6,18.9,52.7,61.0,9.6,1793,343,173451003585,0.6,0.1,0.3,0.4,0,04101205025il,il,1
17,041012070160001,85.9,1.7,6.6,20.3,60.6,2073,522,171962002236,0.0,0.0,1.0,0.0,0,04101207016il,il,0
18,041012070160001,86.1,1.7,6.7,21.3,60.9,2006,496,171962002236,0.0,0.0,1.0,0.0,0,04101207016il,il,0
19,041012070160001,84.6,1.9,7.4,18.9,54.1,1990,450,171962002236,0.0,0.0,1.0,0.0,0,04101207016il,il,0
21,041012070160001,81.8,1.8,10.0,20.8,53.5,1937,467,171962002236,0.91,0.0,0.09,0.45,0,04101207016il,il,1
17,041013200260001,62.7,4.3,28.6,67.4,10.0,276,52,173660003768,0.0,0.0,1.0,0.0,0,04101320026il,il,0
18,041013200260001,60.5,0.0,29.8,66.5,28.4,248,60,173660003768,0.0,0.0,1.0,0.0,0,04101320026il,il,0
19,041013200260001,58.5,3.3,32.5,63.0,17.0,246,59,173660003768,0.0,0.0,1.0,0.0,0,04101320026il,il,0
21,041013200260001,55.3,4.3,30.6,63.4,20.6,235,58,173660003768,0.1,0.1,0.8,0.15,0,04101320026il,il,1
17,041013210260001,91.0,0.4,5.3,22.1,43.1,244,58,173105003229,0.0,0.0,1.0,0.0,0,04101321026il,il,0
18,041013210260001,90.2,0.0,5.1,20.7,44.6,256,56,173105003229,0.0,0.0,1.0,0.0,0,04101321026il,il,0
19,041013210260001,89.6,0.8,5.6,26.4,54.0,250,51,173105003229,0.0,0.0,1.0,0.0,0,04101321026il,il,0
21,041013210260001,88.9,0.0,6.5,25.1,50.9,279,59,173105003229,0.3,0.0,0.7,0.15,0,04101321026il,il,1
17,041013220260001,92.8,0.0,2.0,22.4,41.0,152,39,171281001536,0.0,0.0,1.0,0.0,0,04101322026il,il,0
18,041013220260001,94.2,0.0,0.0,22.7,34.2,172,41,171281001536,0.0,0.0,1.0,0.0,0,04101322026il,il,0
19,041013220260001,94.1,0.5,0.0,21.5,43.5,186,47,171281001536,0.0,0.0,1.0,0.0,0,04101322026il,il,0
21,041013220260001,93.5,0.0,0.0,24.3,41.0,185,40,171281001536,0.3,0.1,0.6,0.25,0,04101322026il,il,1
17,041013230260001,84.8,6.2,5.5,22.6,39.2,455,103,174279004297,0.0,0.0,1.0,0.0,0,04101323026il,il,0
18,041013230260001,83.3,7.0,5.1,20.0,45.3,454,106,174279004297,0.0,0.0,1.0,0.0,0,04101323026il,il,0
19,041013230260001,82.6,6.5,5.6,0.6,34.8,465,117,174279004297,0.0,0.0,1.0,0.0,0,04101323026il,il,0
21,041013230260001,84.9,3.0,6.8,20.7,36.5,397,107,174279004297,0.0,0.0,1.0,0.0,0,04101323026il,il,1
17,050162020170001,44.1,29.4,18.0,40.5,58.6,3285,781,171449001804,0.0,0.0,1.0,0.0,0,05016202017il,il,0
18,050162020170001,45.4,27.6,18.4,38.4,55.8,3459,768,171449001804,0.0,0.0,1.0,0.0,0,05016202017il,il,0
19,050162020170001,45.7,27.3,18.4,36.5,52.8,3514,793,171449001804,0.0,0.0,1.0,0.0,0,05016202017il,il,0
21,050162020170001,45.6,25.1,19.4,32.5,52.8,3621,803,171449001804,0.2,0.8,0.0,0.9,0,05016202017il,il,1
