,schoolcode,totalenrolled,white,black,hispanic,lowincome,dropout,year
2178,210281880260001,179,96.1,0.0,1.7,59.8,1.7,2017
2181,210281960260001,206,96.1,0.5,1.5,43.7,1.9,2017
2184,210440010260001,192,96.9,0.0,2.1,28.6,1,2017
2190,210441330170001,357,97.2,0.3,1.4,45.9,2,2017
2191,210610010260001,591,86.5,5.9,1.4,53.6,1.5,2017
2198,210610380260001,118,89.0,0.8,3.4,61.9,2.7,2017
2200,211000010260001,334,95.5,0.9,2.4,53.0,1.8,2017
2204,211000020260001,1084,80.6,10.1,4.0,33.2,2.4,2017
2211,211000030260001,133,100.0,0.0,0.0,46.6,0.8,2017
2213,211000040260001,756,88.1,3.7,2.1,48.3,0.8,2017
2217,211000050260001,581,87.3,2.6,4.0,29.3,0.3,2017
2221,240320010260001,636,91.0,0.3,5.5,25.3,0.2,2017
2233,240320730170001,195,95.9,1.0,2.1,32.3,0,2017
2236,240321010160001,842,79.6,1.1,15.3,25.1,0.2,2017
2237,240321110160001,2653,74.7,4.2,16.8,0.9,0.3,2017
2244,240470180160001,157,95.5,0.6,3.8,21.0,0,2017
2247,240470880260001,714,41.0,11.1,43.0,56.7,1.1,2017
2253,240471150260001,1746,70.5,5.8,17.1,17.1,0.7,2017
2262,240473080260001,2728,64.2,7.4,19.6,18.9,0.3,2017
2263,240473080260002,2578,55.9,12.8,16.4,17.8,0.1,2017
2283,260290010260001,110,93.6,0.0,0.9,56.4,0.9,2017
2286,260290020260001,101,99.0,0.0,0.0,38.6,1,2017
2289,260290030260001,142,93.7,1.4,1.4,59.2,1.4,2017
2292,260290040260001,108,98.1,0.9,0.0,37.0,1.9,2017
2295,260290660250001,722,95.3,1.1,0.6,42.7,1.9,2017
2300,260290970260001,306,99.7,0.0,0.3,36.3,0.5,2017
2302,260343070160001,346,96.0,0.0,2.6,34.1,0.9,2017
2303,260343160260001,196,95.4,1.5,0.0,10.2,1,2017
2309,260343280240001,258,93.4,0.4,1.9,36.4,1.7,2017
2311,260343370260001,207,97.6,0.0,0.0,53.1,1.6,2017
2315,260621030260001,163,96.9,0.6,0.6,52.1,0.6,2017
2319,260621700260001,226,95.6,0.0,0.4,45.1,1.8,2017
2322,260621850260001,582,80.9,8.6,3.6,38.1,1,2017
2326,260850050260001,355,93.8,4.5,1.4,48.5,0.6,2017
2335,280061030220001,119,13.4,0.0,84.9,97.5,10.9,2017
2341,280063030260001,92,92.4,1.1,5.4,39.1,1.1,2017
2344,280063400260001,330,95.8,0.0,2.7,41.5,0.6,2017
2348,280065000150001,504,90.9,1.6,3.0,32.7,3,2017
2349,280065020170001,415,67.5,1.4,24.6,47.7,1.9,2017
2350,280065050160001,40,97.5,0.0,2.5,47.5,2.5,2017
2352,280372230260001,344,93.9,0.3,4.1,17.4,1.7,2017
2355,280372240260001,249,93.6,2.8,2.0,45.0,3.4,2017
2357,280372250260001,197,95.4,0.0,1.0,37.1,1,2017
2359,280372260260001,104,90.4,0.0,3.8,29.8,0,2017
2361,280372270260002,215,96.3,0.0,0.5,44.2,3.4,2017
2363,280372280260001,812,92.2,0.1,5.2,21.1,0.2,2017
2368,280372290260001,551,68.4,11.8,18.3,67.3,4,2017
2374,280372300260002,270,77.4,2.2,13.0,35.9,1.7,2017
2378,280881000260001,264,88.6,0.4,5.3,33.0,3.4,2017
2381,300020010220001,168,6.5,84.5,1.2,99.4,2.1,2017
2383,300020050260001,114,85.1,13.2,0.9,100.0,4.4,2017
2393,300391650160001,988,52.9,28.3,10.6,58.6,1.2,2017
2394,300391760260001,292,95.9,0.0,2.4,39.4,2.1,2017
2397,300391860260001,625,73.0,14.7,6.1,99.0,0.5,2017
2401,300391960260001,120,94.2,0.8,3.3,43.3,0,2017
2408,300731010160001,444,97.5,0.9,0.2,34.2,0.5,2017
2410,300733000260001,498,85.3,3.4,3.2,52.8,1.2,2017
2413,300771000260001,207,73.9,18.8,0.5,59.9,0,2017
2415,300771010260001,116,22.4,65.5,0.0,100.0,1.7,2017
2418,300910170220001,173,67.6,0.0,31.8,60.7,0.6,2017
2425,300910660220001,71,95.8,0.0,1.4,98.6,0,2017
2428,300910810160001,515,95.0,1.2,1.9,43.7,0.6,2017
2429,300910840260001,97,96.9,3.1,0.0,100.0,3.1,2017
2432,310450460220001,2564,11.8,6.0,73.6,75.8,4.4,2017
2433,310450460220002,2087,16.3,9.2,67.4,74.6,4.6,2017
2434,310450460220003,1983,23.8,8.2,57.0,66.1,1.3,2017
2435,310450460220004,2487,44.6,4.3,31.8,37.7,1,2017
2436,310450460220005,2732,50.8,6.1,28.8,33.6,1.1,2017
2485,310451010220001,1929,82.0,2.9,9.8,13.4,0.2,2017
2493,310451290220001,3724,26.5,11.5,56.3,54.5,2.8,2017
2508,310451310220001,3848,2.8,7.7,87.0,68.9,4.4,2017
2526,310453000260002,2471,33.2,5.5,56.4,63.2,1.7,2017
2527,310453000260003,1588,64.7,2.3,20.8,24.5,0.6,2017
2528,310453000260004,2116,69.2,3.0,16.8,24.4,1.1,2017
2544,31045300026201C,814,45.1,4.5,25.1,22.5,10.3,2017
2551,310453010260001,1047,67.0,3.8,17.0,15.0,0.2,2017
2558,310453020260001,1342,79.3,2.1,13.4,15.4,0.4,2017
2564,310453030260011,2488,78.2,1.9,12.7,19.4,0.9,2017
2565,310453030260012,1985,85.5,1.1,5.6,5.8,0.3,2017
2581,310453040260001,1938,86.3,1.0,7.8,5.4,0.3,2017
2590,320380030260001,100,92.0,3.0,4.0,46.0,1,2017
2593,320380040260001,334,89.2,1.2,4.8,35.9,1.2,2017
2596,320380060260001,99,90.9,0.0,7.1,22.2,0,2017
2599,320380090260001,348,84.8,2.0,10.6,54.0,1.6,2017
2603,320380100260001,280,62.9,0.0,32.1,50.4,1.1,2017
2608,320381240260001,207,93.7,1.4,0.5,50.2,1,2017
2611,320460010260003,339,50.7,18.9,22.4,61.4,0.9,2017
2614,320460020260001,570,93.0,0.9,1.8,17.4,0.2,2017
2618,320460050260005,651,83.7,2.3,9.1,31.3,0.2,2017
2621,320460060260001,184,88.6,0.0,4.9,34.8,1.1,2017
2631,320461110250014,1196,20.0,50.3,28.8,47.4,0.9,2017
2643,320463020160001,239,36.4,38.1,18.0,77.8,2.1,2017
2644,320463070160001,2059,73.9,10.6,9.1,42.4,1.1,2017
2645,330362350260001,255,94.5,0.8,2.0,50.6,1.2,2017
2648,330482020260001,330,88.2,1.2,5.2,36.4,1.5,2017
2651,330482050260023,1296,66.4,11.0,12.9,53.3,2.2,2017
2659,330482080260001,294,97.3,0.0,2.0,35.0,1.6,2017
2661,330482100260001,87,95.4,3.4,0.0,31.0,0,2017
2664,330482760260001,264,95.8,0.8,1.5,43.2,2.7,2017
2668,330664040260001,385,94.0,1.0,1.8,34.5,0.5,2017
2673,330942380260001,515,66.4,4.5,22.1,46.6,1.9,2017
2678,330943040260001,293,88.4,2.0,5.8,39.6,0,2017
2729,340490600260022,4613,3.7,13.8,78.8,62.7,2.8,2017
2780,340490950260001,1921,83.7,0.9,6.7,12.5,0.2,2017
2820,340491130170001,1634,88.6,0.6,4.4,4.1,0,2017
2821,340491130170002,2040,70.4,2.4,22.3,14.4,0.3,2017
2824,340491150160001,1673,88.7,1.1,4.4,2.9,0,2017
2825,340491160260006,2121,14.6,7.2,73.8,61.0,1.8,2017
2834,340491170160001,1308,80.0,2.4,11.5,21.3,0.9,2017
2835,340491170160002,1347,79.7,2.4,10.8,14.5,0.3,2017
2836,340491180260005,1351,64.1,1.6,28.0,25.1,0.7,2017
2842,340491200130001,2001,43.8,1.6,44.1,32.0,0.3,2017
2843,340491210170001,4157,45.6,10.0,29.4,15.6,0.2,2017
2844,340491240160001,1834,62.5,4.4,24.4,34.1,1.7,2017
2845,340491250130001,4027,60.3,1.9,7.3,5.4,0.2,2017
2846,340491260170001,2263,24.0,27.9,40.8,60.7,2.4,2017
2847,340491260170002,327,30.6,24.8,39.4,50.2,0.3,2017
2848,340491270160001,1415,62.8,4.3,19.5,11.3,0.6,2017
2849,340491270160002,1481,65.3,3.0,23.2,11.4,0.5,2017
2850,340491280160002,1935,81.7,0.9,7.2,4.7,0.2,2017
2851,340491280160004,1335,60.5,2.8,14.4,12.5,0.3,2017
2852,340491870260001,767,1.7,35.9,60.0,97.8,15.3,2017
2860,340492200260004,3004,67.8,1.1,16.1,19.1,0.3,2017
2874,350500010260001,78,82.1,1.3,16.7,50.0,1.3,2017
2876,350500020260001,215,87.9,2.8,7.4,32.6,1.4,2017
2880,350500090260001,133,88.7,0.0,8.3,44.4,0.8,2017
2882,350500400170001,942,73.4,4.6,16.9,55.3,4.5,2017
2891,350501200170001,1218,79.4,2.7,13.8,39.4,2.2,2017
2898,350501400170001,1374,83.2,2.4,10.4,32.3,1.8,2017
2905,350501600170001,424,91.7,0.9,6.4,27.6,0.2,2017
2913,350502800170001,551,59.9,1.1,35.2,48.1,0.7,2017
2918,350590050260001,182,96.2,1.6,0.0,42.3,2.7,2017
2920,350590070260001,194,95.4,0.5,3.6,36.1,1,2017
2923,350785350260002,273,88.3,0.7,7.7,32.6,2.6,2017
2927,390550010260001,285,88.8,4.2,3.2,39.3,1.1,2017
2930,390550020260001,381,83.5,4.7,1.6,17.6,0.8,2017
2933,390550030260001,784,91.5,1.9,1.7,19.0,0.9,2017
2938,390550090260001,228,94.7,0.4,3.1,48.2,0.4,2017
2942,390550110260001,289,94.1,1.4,0.0,30.4,1,2017
2945,390550150260001,269,95.9,0.4,2.2,32.0,1.5,2017
2948,390550610250036,1056,37.7,47.5,3.6,58.4,3,2017
2949,390550610250038,1110,37.3,48.0,4.1,49.0,3,2017
2968,390740050260001,100,97.0,0.0,2.0,34.0,3,2017
2971,390740250260001,495,96.8,1.0,1.2,17.2,0.4,2017
2976,390740570260001,60,100.0,0.0,0.0,46.7,3.3,2017
2979,390741000260001,248,98.0,0.4,0.0,35.5,0.6,2017
2981,400070400260001,142,99.3,0.0,0.0,44.4,2.1,2017
2983,400070420260001,78,92.3,0.0,5.1,34.6,0,2017
2985,400310010260003,212,95.3,0.9,1.4,42.9,1.9,2017
2987,400310030260001,371,96.8,0.3,0.3,58.0,0.9,2017
2989,400310100260001,122,98.4,0.0,0.0,49.2,0,2017
2991,400421000260001,1007,97.5,0.3,1.1,38.8,1.7,2017
2996,400560010260002,434,92.4,2.8,1.2,39.6,2.1,2017
3000,400560020260004,113,99.1,0.0,0.0,59.3,1.8,2017
3003,400560050260001,148,98.6,0.7,0.0,40.5,1.4,2017
3005,400560060260001,375,97.1,0.0,1.1,38.4,0.5,2017
3008,400560070260003,364,97.8,0.0,0.3,49.7,2.5,2017
3011,400560080260001,189,93.1,1.6,1.6,40.7,3.2,2017
3014,400560090260001,487,95.1,1.8,1.2,34.9,1,2017
3019,400560340260001,438,95.2,1.4,0.5,48.4,3.9,2017
3022,410570010260001,542,90.6,3.0,3.1,52.8,2.8,2017
3026,410570020260001,1100,91.3,2.1,2.2,18.5,0.8,2017
3033,410570050260001,900,96.1,0.8,0.7,25.7,0.9,2017
3039,410570070260001,2363,81.3,8.4,2.9,13.8,0.4,2017
3052,410570080260001,767,92.6,1.7,2.1,41.6,1.4,2017
3057,410570090260001,1810,70.8,14.4,9.3,61.4,4,2017
3065,410570100260001,1922,67.1,10.9,17.5,51.4,2.2,2017
3076,410570110260001,2008,63.6,25.0,2.4,46.6,1.8,2017
3085,410570120260001,170,2.9,91.2,4.1,37.1,2.4,2017
3090,410570140160001,546,91.8,3.3,2.4,61.7,3.7,2017
3099,440630120260002,654,90.7,1.2,5.4,22.5,0.6,2017
3112,440630190240002,109,73.4,0.9,21.1,34.9,0.9,2017
3134,440630500260001,678,33.5,0.3,64.5,99.3,3.1,2017
3138,440631540160001,708,76.4,0.6,19.9,31.1,1,2017
3139,440631550160001,1545,72.8,1.4,19.8,27.1,0.9,2017
3140,440631550160002,1746,81.5,0.9,12.8,17.6,0.3,2017
3141,440631550160003,1527,83.1,0.9,10.2,16.1,0.3,2017
3142,440631550160004,1458,88.3,1.0,5.9,13.4,0.5,2017
3143,440631560160001,1429,73.5,0.7,21.8,33.1,0.6,2017
3144,440631560160002,795,82.6,1.1,13.8,30.8,2.5,2017
3145,440631570160001,726,87.7,0.3,9.0,12.1,0.7,2017
3146,440631580220002,2996,75.1,2.0,11.5,14.0,0.3,2017
3157,440632000260008,1026,57.4,2.9,35.0,36.9,0.5,2017
3158,440632000260009,942,62.6,0.7,32.2,31.7,0.8,2017
3168,450670030260001,130,97.7,1.5,0.0,10.0,0,2017
3171,450670040260001,678,94.8,0.6,1.9,9.4,0.3,2017
3175,450670050260001,877,96.1,0.0,1.1,20.9,0.9,2017
3180,450790010220001,72,97.2,0.0,0.0,55.6,2.8,2017
3183,450791320260001,371,97.6,0.0,0.5,33.2,1.1,2017
3186,450791380260001,161,96.9,0.0,1.2,23.6,0.6,2017
3188,450791390260001,310,92.3,2.6,1.3,38.1,1.6,2017
3190,450791400260001,336,72.3,17.3,0.6,61.0,2.4,2017
3193,470521700220001,800,84.8,2.3,4.6,36.9,2.4,2017
3201,470522720260001,216,96.8,0.0,3.2,23.1,1.4,2017
3204,470522750260001,222,89.2,2.7,6.3,35.6,0,2017
3208,470712120170001,909,60.2,1.7,35.2,26.2,0.8,2017
3209,470712200260001,445,87.2,0.9,8.5,40.9,0,2017
3212,470712210260004,453,92.9,0.4,1.8,28.7,1.5,2017
3215,470712220260004,185,89.7,1.6,5.4,37.3,0,2017
3218,470712230260003,581,85.0,0.5,10.8,25.0,0.3,2017
3222,470712260260001,472,87.7,0.8,5.7,19.7,0.4,2017
3231,470980010260001,191,93.7,1.0,2.6,32.5,1,2017
3234,470980020260001,296,93.6,0.0,3.4,29.1,0.7,2017
3237,470980030260001,244,93.0,0.0,4.1,43.9,0,2017
3241,470980050260014,998,57.3,3.4,35.3,47.1,2.4,2017
3247,470980060260001,280,93.6,0.0,2.5,27.1,2.5,2017
3256,470983010170001,658,71.0,1.7,22.2,50.5,2.6,2017
3266,480721500250023,840,10.0,67.7,16.5,86.2,13.2,2017
3267,480721500250024,1385,13.6,65.8,11.1,76.5,6.9,2017
3268,480721500250025,1251,45.4,31.0,7.0,40.8,1.5,2017
3269,48072150025027C,597,10.7,71.9,9.7,70.2,0.4,2017
3290,480722650260001,413,93.7,0.2,3.9,36.8,2.2,2017
3293,480723090260003,225,92.9,2.2,0.4,19.1,0,2017
3295,480723100160001,1015,80.7,10.4,3.4,44.3,2.6,2017
3297,480723210260007,637,92.6,1.1,2.5,30.9,1.7,2017
3303,480723220260004,213,96.2,1.4,1.4,16.0,0,2017
3306,480723230260004,1273,74.5,6.7,3.0,6.8,0.9,2017
3314,480723250260005,207,74.9,8.7,5.8,51.7,5.3,2017
3316,480723260260005,404,91.6,1.2,4.2,27.7,0.9,2017
3318,480723270260008,254,92.5,0.4,2.8,22.8,0.4,2017
3323,490810300170001,1668,54.7,12.5,26.0,59.4,1.4,2017
3332,490810400220001,2037,58.0,7.5,26.7,42.8,0.6,2017
3345,490810410250001,1657,47.9,31.4,11.4,60.4,2.2,2017
3357,490811000260001,326,94.5,0.3,1.5,22.7,1.2,2017
3360,490812000260001,475,88.4,2.1,4.8,22.9,0.2,2017
3365,490813000260001,367,95.9,0.0,1.9,19.9,1.6,2017
3370,500820090260003,272,69.9,21.0,1.5,41.9,2.7,2017
3372,500820190260001,1059,70.8,13.7,5.1,17.8,0.7,2017
3378,500820400260001,268,96.6,0.0,0.4,59.7,1.6,2017
3380,500820600260003,170,97.1,0.0,1.2,25.9,2.4,2017
3385,500820770160001,661,96.1,1.7,1.2,16.5,0.6,2017
3424,500821870260011,927,6.8,90.5,1.4,84.3,5.6,2017
3434,500821880220001,24,0.0,95.8,0.0,95.8,0,2017
3437,50082189022001C,109,0.9,97.2,0.9,98.2,0,2017
3438,500821890220043,1289,0.5,98.1,0.9,98.0,2.9,2017
3446,500821960260001,281,88.6,4.3,2.8,50.5,2.1,2017
3449,500822010170001,2557,46.1,39.9,4.7,41.6,0.7,2017
3450,500822010170002,2157,53.1,37.1,3.2,47.2,0.3,2017
3451,500822030170001,2405,64.7,19.6,5.0,24.4,0.9,2017
3452,510652000260001,110,95.5,0.0,2.7,34.5,0,2017
3454,510652020260001,487,94.3,0.6,0.6,35.1,0,2017
3457,510652130260001,289,94.1,0.3,1.7,22.5,0.3,2017
3461,510840010260001,159,97.5,0.0,0.6,29.6,0.6,2017
3464,51084003A260001,774,92.2,1.9,0.9,12.7,0.1,2017
3469,510840050260001,1382,81.2,5.9,3.8,16.9,0.9,2017
3475,510840080260001,423,93.4,1.4,2.1,13.7,0,2017
3478,510840100260001,389,95.4,1.0,1.3,30.8,0.8,2017
3482,510840110260001,283,98.2,0.4,0.0,26.9,1.1,2017
3484,510840140260001,420,94.8,1.0,0.2,45.7,1.2,2017
3487,510840150260001,467,95.7,1.3,0.6,7.3,0,2017
3491,510840160260001,260,93.8,1.2,0.8,32.7,0.8,2017
3494,510841860250001,1254,47.9,39.6,2.2,70.7,0.6,2017
3495,510841860250002,1506,54.2,28.6,4.2,37.5,1.7,2017
3496,510841860250003,1206,39.3,48.8,2.8,63.6,3.2,2017
3522,510841860252045,244,38.9,49.2,2.0,88.9,0,2017
3525,530601260260001,298,98.7,0.7,0.0,48.3,2.3,2017
3528,530601890260001,220,94.5,0.0,0.5,51.4,5.5,2017
3531,530601910260001,295,96.3,1.0,0.7,42.7,1.4,2017
3565,530903030160002,1926,91.9,1.0,2.2,44.7,2.6,2017
3566,530903080160001,1318,92.9,1.3,2.6,21.4,0.5,2017
3567,530903090160001,1018,87.0,2.5,4.3,49.9,0.5,2017
3569,530907010260001,330,95.5,0.3,2.7,23.6,0.9,2017
3572,530907020260001,299,93.3,0.0,3.0,10.7,0.3,2017
3575,530907030260001,137,94.9,2.9,2.2,27.0,1.5,2017
3578,530907090260006,931,92.3,1.9,1.7,13.4,0.9,2017
3586,531020060260001,337,87.5,0.3,4.2,39.2,2.1,2017
3590,531020110260001,374,92.8,0.8,3.5,30.7,0.5,2017
3595,531020210260001,159,89.9,2.5,4.4,41.5,2.7,2017
3597,531020600260001,170,95.3,0.6,2.9,28.2,2.4,2017
3602,531021220170001,984,91.9,1.1,2.7,14.9,0.6,2017
3603,531021400260001,492,94.5,0.2,2.4,20.3,1.6,2017
3611,540920020260004,389,93.8,1.0,2.8,50.6,1,2017
3614,540920040260004,314,91.1,1.9,1.3,51.9,3.8,2017
3619,540920110260005,396,82.3,0.0,15.9,50.8,3,2017
3625,540920760260001,305,87.2,1.0,4.3,37.7,0.7,2017
3628,540921180240022,1529,46.7,36.7,9.5,65.1,6.6,2017
3638,540922250170001,138,94.9,2.2,0.0,37.0,0.7,2017
3639,540925120260001,278,98.6,0.4,0.7,28.4,1.8,2017
3720,56099200U260001,328,80.2,1.2,15.5,18.0,0.6,2017
3723,56099201U260001,1634,19.7,65.7,9.4,67.7,0.4,2017
3730,560992020220001,2068,59.9,8.7,24.7,30.7,0.6,2017
3731,560992020220002,2565,58.1,9.7,26.2,28.2,0.6,2017
3732,560992020220003,2303,66.7,7.0,14.0,14.0,0.3,2017
3733,560992020220004,2239,44.9,17.0,26.6,29.5,0.2,2017
3759,560992040170001,3116,17.3,18.1,61.3,75.5,4,2017
3760,560992040170003,3269,34.5,24.2,36.5,50.3,2.7,2017
3761,560992050170001,3710,72.4,6.0,17.7,17.3,0.9,2017
3762,56099207U260001,530,86.0,1.1,8.1,20.0,1.7,2017
3766,56099209U260001,465,92.0,0.0,3.2,38.1,0.2,2017
3770,560992100160001,2157,86.3,1.1,9.1,10.8,0.1,2017
3771,560992100160002,2916,79.0,6.0,9.3,7.3,0.1,2017
3772,560992100160004,1898,84.7,1.8,10.4,10.9,0.2,2017
3773,56099255U260001,470,91.3,0.0,5.5,36.2,1.7,2017
3777,56099365U260007,3469,19.7,26.9,40.9,59.4,2.2,2017
3778,56099365U260008,1886,35.5,13.3,44.1,58.5,1,2017
1,010010010260001,246,96.7,0.0,0.0,43.9,0.0,2018
4,010010020260001,281,98.6,0.0,0.0,22.4,0.5,2018
7,010010030260001,245,96.3,0.0,0.0,42.0,1.2,2018
12,010010040260001,209,99.0,0.0,0.0,27.3,0.0,2018
16,010011720220003,1753,82.3,7.8,2.6,50.3,1.8,2018
27,010050010260001,195,95.9,0.0,0.0,42.6,1.0,2018
31,010090150260007,891,38.6,10.2,49.2,72.4,2.4,2018
35,010090640260003,135,93.3,0.0,0.0,48.1,1.6,2018
38,010092620260002,141,95.0,0.0,0.0,46.8,0.7,2018
42,010690010260001,147,92.5,0.0,0.0,36.7,3.7,2018
46,010690060260001,172,96.5,0.0,0.0,28.5,2.8,2018
49,010690110260001,53,100.0,0.0,0.0,56.6,0.0,2018
53,010690270260001,164,94.5,0.0,0.0,36.6,0.0,2018
56,010691170220014,986,79.5,7.5,3.3,47.4,6.7,2018
67,010750030260002,77,98.7,0.0,0.0,49.4,5.2,2018
70,010750040260002,101,93.1,0.0,0.0,65.3,8.0,2018
74,010750100260009,336,97.3,0.0,0.0,40.2,1.8,2018
78,010750120260001,146,94.5,0.0,0.0,55.5,0.7,2018
82,010860010260001,178,98.3,0.0,0.0,40.4,0.0,2018
85,010860020260001,64,100.0,0.0,0.0,53.1,0.0,2018
89,030030010260001,108,88.9,0.0,0.0,41.7,0.9,2018
93,030030020260001,524,90.3,2.3,2.1,36.1,1.1,2018
99,030110010260002,90,98.9,0.0,0.0,17.8,5.6,2018
103,030110030260006,761,95.5,0.0,1.3,41.5,1.3,2018
109,030110040260002,84,96.4,0.0,0.0,38.1,1.2,2018
113,030110080260006,399,97.0,0.0,0.0,51.9,1.5,2018
118,030110140240001,167,92.2,0.0,0.0,56.3,2.2,2018
121,030250100260001,224,98.2,0.0,0.0,41.5,1.3,2018
124,030250200260001,150,98.0,0.0,0.0,44.0,0.0,2018
127,030250300260001,190,97.9,0.0,0.0,31.6,0.0,2018
130,030250400260001,737,92.4,0.0,3.5,36.4,1.6,2018
136,030250500260001,316,99.7,0.0,0.0,7.6,0.3,2018
140,030262010260003,75,92.0,0.0,0.0,52.0,0.0,2018
144,030262020260002,119,95.8,0.0,0.0,42.0,0.0,2018
148,030262030260001,429,94.6,0.0,2.6,50.8,0.2,2018
152,030262040260002,250,98.8,0.0,0.0,48.4,4.9,2018
155,030680020260001,146,97.3,0.0,0.0,46.6,2.7,2018
160,030680030260001,519,94.0,0.0,0.0,38.3,3.7,2018
165,030680120260001,395,93.2,0.0,0.0,49.9,1.3,2018
172,030680220260001,304,96.1,0.0,0.0,43.4,0.6,2018
175,040041000260001,1245,47.4,3.0,45.5,48.6,1.2,2018
176,040041000260002,1515,63.4,3.5,29.0,32.7,1.1,2018
186,040042000260003,503,69.8,0.0,23.7,45.3,0.6,2018
193,041011220220002,1529,74.6,5.0,12.3,49.2,2.3,2018
220,041012050250001,1805,28.8,41.5,19.3,53.2,4.9,2018
221,041012050250002,1864,31.8,25.9,27.0,54.7,4.5,2018
222,041012050250003,1744,37.0,23.5,29.5,39.9,2.5,2018
223,041012050250004,1680,26.1,22.1,44.0,55.8,4.2,2018
265,041012070160001,2006,86.1,1.7,6.7,21.3,0.7,2018
267,041013200260001,248,60.5,0.0,29.8,66.5,0.8,2018
273,041013210260001,256,90.2,0.0,5.1,20.7,2.3,2018
277,041013220260001,172,94.2,0.0,0.0,22.7,0.6,2018
281,041013230260001,454,83.3,7.0,5.1,20.0,0.7,2018
513,050162020170001,3459,45.4,27.6,18.4,38.4,0.7,2018
515,050162030170001,2934,83.8,0.6,3.7,3.7,0.0,2018
516,050162030170002,991,78.6,0.0,5.2,3.7,0.0,2018
518,050162070170001,1830,36.9,4.5,20.9,43.7,0.5,2018
519,050162070170003,2397,85.0,0.6,8.1,7.3,0.4,2018
520,050162070170004,2059,45.2,2.9,38.0,34.9,0.7,2018
522,050162110170001,2349,48.2,4.9,16.8,26.9,0.4,2018
523,050162110170002,2594,55.5,2.3,10.7,15.0,0.5,2018
524,050162110170003,2587,38.7,5.2,45.3,55.0,0.8,2018
525,050162110170004,2116,49.8,5.6,22.4,31.6,0.6,2018
526,050162110170006,1907,32.6,11.9,31.3,49.6,0.5,2018
528,050162140170002,1935,41.2,2.3,43.7,28.2,0.5,2018
529,050162140170004,1864,70.6,1.5,14.3,11.5,0.3,2018
530,050162140170005,2150,75.0,1.2,13.0,7.5,0.6,2018
531,050162140170006,1718,28.0,2.4,62.3,38.7,0.8,2018
532,050162140170007,1900,51.0,2.6,36.3,20.3,0.4,2018
533,050162140170008,2004,58.0,1.6,28.1,16.3,0.7,2018
535,050162190170002,2059,38.5,9.2,12.8,31.8,0.4,2018
536,050162190170003,2435,43.8,4.4,15.2,30.6,0.3,2018
538,050162250170001,1988,74.9,0.7,4.8,5.8,0.0,2018
539,050162250170002,3067,62.8,1.6,13.2,19.9,0.1,2018
695,060162000130001,3370,53.5,21.4,12.1,21.5,0.5,2018
697,060162010170001,3485,1.1,1.4,97.0,92.2,4.6,2018
698,060162010170002,3539,9.4,6.6,81.3,81.2,1.9,2018
699,060162010170003,1182,2.2,2.2,92.7,95.4,0.0,2018
701,060162040170001,4000,72.9,3.7,19.3,12.2,0.2,2018
703,060162080170001,1615,52.8,5.6,36.4,14.4,0.9,2018
705,060162090170001,1620,2.1,41.5,54.1,45.0,0.7,2018
706,060162090170002,1797,2.1,47.2,47.8,17.9,1.1,2018
707,060162090170003,792,5.1,25.5,62.9,23.9,0.0,2018
709,060162120160001,1824,40.0,1.4,52.7,51.4,0.7,2018
710,060162120160002,1575,15.6,1.8,78.3,61.5,1.0,2018
712,060162340160001,860,69.3,0.0,22.7,25.0,0.2,2018
714,060164010260001,931,45.0,2.6,49.0,43.1,0.8,2018
999,070162050170001,1738,0.0,77.2,21.5,53.6,0.6,2018
1000,070162050170002,1172,0.0,95.9,2.9,55.7,1.5,2018
1001,070162050170003,1730,3.0,83.2,11.6,61.8,0.4,2018
1003,070162060170001,1681,3.7,43.1,49.0,85.9,0.7,2018
1004,070162060170002,1266,16.0,55.7,20.9,77.4,1.5,2018
1006,070162100170001,1404,80.8,0.9,11.4,13.1,0.1,2018
1008,070162150170001,1452,2.4,67.8,28.0,99.6,0.4,2018
1009,070162150170002,1880,12.8,63.1,19.9,95.2,0.8,2018
1011,070162170160001,1909,33.7,12.2,50.3,65.4,1.7,2018
1013,070162180160001,1813,7.3,32.1,58.3,86.4,1.1,2018
1014,070162180160004,1624,46.9,26.2,21.8,59.5,0.4,2018
1015,070162180160007,1744,45.7,24.4,26.2,58.1,0.5,2018
1017,070162200170001,1797,42.4,1.4,51.6,51.8,1.2,2018
1020,070162270170002,1045,1.8,93.6,3.7,76.0,2.1,2018
1023,070162280160001,1405,17.7,23.2,54.0,33.0,1.2,2018
1024,070162280160002,1049,43.9,26.7,19.6,25.9,1.0,2018
1025,070162280160003,1183,0.0,90.3,4.5,48.4,3.4,2018
1026,070162280160004,1290,59.1,10.3,21.2,27.8,0.7,2018
1028,070162290160001,1823,62.5,6.9,28.7,36.3,0.6,2018
1030,070162300130001,2865,76.6,4.7,10.3,12.4,0.2,2018
1031,070162300130002,2257,74.6,5.1,15.7,29.0,0.4,2018
1032,070162300130003,2142,76.7,4.5,12.0,17.2,0.4,2018
1034,070162310160001,824,44.2,32.8,18.6,25.8,0.5,2018
1036,070162330160001,2757,18.7,68.8,7.8,22.6,0.3,2018
1039,080083080260001,297,91.6,0.0,5.4,30.3,1.0,2018
1042,080083140260001,340,83.8,0.0,10.6,47.4,2.4,2018
1046,080083990260002,160,97.5,0.0,0.0,11.9,3.8,2018
1051,080431190220003,221,94.6,0.0,0.0,22.2,1.8,2018
1055,080431200220002,243,81.9,0.0,14.8,35.0,1.2,2018
