,schoolcode,totalenrolled,white,black,hispanic,lowincome,dropout,year
1008,120130250260001,198,98.5,0.5,0.5,43.4,0.5,2017
1010,120130350260001,372,95.7,0.3,1.3,51.9,3.2,2017
1013,120170010260001,100,98.0,1.0,0.0,44.0,1,2017
1015,120170020260001,457,92.1,0.7,2.6,38.9,1.5,2017
1019,120170030260001,107,100.0,0.0,0.0,20.6,0,2017
1021,120170040260001,179,93.3,1.1,2.2,35.2,1.7,2017
1023,120400010260001,462,97.2,0.4,1.1,33.3,0.2,2017
1027,120510100260001,428,95.3,0.2,1.4,53.3,2.6,2017
1030,120510200260008,320,93.1,0.9,3.1,51.6,5,2017
1033,120800010260001,733,92.2,0.4,3.7,45.0,1.9,2017
1036,130140010260001,318,91.2,3.5,1.6,34.3,1.3,2017
1039,130140030260006,396,88.4,2.0,5.8,26.5,1.5,2017
1051,130140710160001,575,95.8,0.3,3.5,7.1,1,2017
1054,130410010260001,124,98.4,0.8,0.8,33.9,2.4,2017
1069,130412010170001,1190,74.7,14.5,3.4,55.7,2.1,2017
1070,130412090270001,158,96.8,0.0,0.6,19.6,1.3,2017
1072,130413180270001,116,95.7,1.7,0.9,34.5,1.7,2017
1078,130581000260002,63,96.8,1.6,0.0,54.0,3.2,2017
1089,130582000170001,911,76.1,9.8,4.1,61.7,2,2017
1090,130584010260001,186,96.8,0.5,1.1,51.6,0,2017
1093,130585010260001,125,95.2,0.0,1.6,70.4,0.8,2017
1096,130586000160001,697,93.3,0.3,1.7,48.2,3.3,2017
1097,130587220260001,73,97.3,1.4,0.0,58.9,1.4,2017
1100,130950100260001,262,92.4,0.8,4.2,30.5,0,2017
1105,130950990160001,411,96.4,1.0,0.2,30.2,0.7,2017
1106,150162990250001,1165,11.2,12.4,58.8,86.2,0.2,2017
1107,150162990250003,769,0.9,49.4,48.9,94.0,1.3,2017
1108,150162990250006,500,0.8,41.4,57.4,92.6,0,2017
1109,150162990250011,830,0.5,11.7,87.6,98.8,2.2,2017
1110,150162990250012,226,0.0,99.1,0.4,98.2,0.4,2017
1111,150162990250013,838,3.3,19.9,74.9,95.7,8.5,2017
1112,150162990250014,1042,1.5,3.3,89.4,96.5,0,2017
1113,150162990250015,303,0.7,39.6,59.1,97.4,0,2017
1114,150162990250016,474,0.2,99.2,0.4,94.5,1.9,2017
1115,150162990250017,165,0.0,95.2,3.6,99.4,0,2017
1116,150162990250019,145,0.7,97.2,2.1,100.0,4.1,2017
1117,150162990250020,1755,2.3,7.3,89.6,96.9,1.1,2017
1118,150162990250021,719,0.0,98.2,0.8,98.6,0,2017
1119,150162990250022,2014,1.5,3.5,81.2,95.7,2.7,2017
1120,150162990250023,513,1.6,7.0,90.4,96.9,3.9,2017
1121,150162990250024,1647,23.4,3.6,70.7,72.9,1.8,2017
1122,150162990250025,1776,4.1,84.7,4.6,62.2,0,2017
