year,mergecode,totalenroll,white,black,hispanic,lowincome,mathpass,totaltest,NCESSchoolID,hybridper,virtualper,inpersonper,schoolmode,charter,districtcode,state,year_21
,010092620260002,129,98.4,0.0,1.6,41.1,22.6,31,170010505357,0.0,0.0,1.0,0.0,0,01009262026il,il,0
,010092620260002,123,98.4,0.0,0.0,46.3,10.0,30,170010505357,0.2,0.0,0.8,0.1,0,01009262026il,il,1
,010690010260001,151,94.0,0.0,0.7,42.4,21.1,92,171575001885,0.0,0.0,1.0,0.0,0,01069001026il,il,0
,010690010260001,147,92.5,0.0,0.0,36.7,15.4,13,171575001885,0.0,0.0,1.0,0.0,0,01069001026il,il,0
,010690010260001,217,94.9,0.5,0.0,33.2,14.3,21,171575001885,0.0,0.0,1.0,0.0,0,01069001026il,il,0
,010690010260001,169,95.9,0.0,0.0,27.2,13.8,29,171575001885,0.7,0.0,0.3,0.35,0,01069001026il,il,1
,010690060260001,171,97.1,0.6,0.0,31.0,20.0,75,174128004145,0.0,0.0,1.0,0.0,0,01069006026il,il,0
,010690060260001,172,96.5,0.0,0.0,28.5,26.9,26,174128004145,0.0,0.0,1.0,0.0,0,01069006026il,il,0
,010690060260001,165,95.8,1.2,0.6,38.2,45.7,35,174128004145,0.0,0.0,1.0,0.0,0,01069006026il,il,0
,010690060260001,145,94.5,0.0,0.0,44.1,21.9,32,174128004145,0.6,0.0,0.4,0.3,0,01069006026il,il,1
,010690270260001,146,93.8,0.0,1.4,32.2,22.7,78,171083001324,0.0,0.0,1.0,0.0,0,01069027026il,il,0
,010690270260001,164,94.5,0.0,0.0,36.6,40.0,30,171083001324,0.0,0.0,1.0,0.0,0,01069027026il,il,0
,010690270260001,180,93.3,0.0,2.8,37.2,21.7,23,171083001324,0.0,0.0,1.0,0.0,0,01069027026il,il,0
,010690270260001,190,93.2,0.0,0.0,32.1,34.8,23,171083001324,0.0,0.0,1.0,0.0,0,01069027026il,il,1
,010691170220014,1007,82.0,6.1,2.9,48.1,20.5,221,172028002280,0.0,0.0,1.0,0.0,0,01069117022il,il,0
,010691170220014,986,79.5,7.5,3.3,47.4,23.5,205,172028002280,0.0,0.0,1.0,0.0,0,01069117022il,il,0
,010691170220014,970,78.5,7.2,3.4,47.8,18.8,258,172028002280,0.0,0.0,1.0,0.0,0,01069117022il,il,0
,010691170220014,916,77.6,8.8,3.4,47.4,22.6,191,172028002280,0.0,0.0,1.0,0.0,0,01069117022il,il,1
,010750030260002,79,98.7,1.3,0.0,49.4,13.6,22,173189003346,0.0,0.0,1.0,0.0,0,01075003026il,il,0
,010750030260002,77,98.7,0.0,0.0,49.4,11.8,17,173189003346,0.0,0.0,1.0,0.0,0,01075003026il,il,0
,010750030260002,74,100.0,0.0,0.0,60.8,11.7,17,173189003346,0.0,0.0,1.0,0.0,0,01075003026il,il,0
,010750030260002,93,98.9,0.0,0.0,59.1,0.0,16,173189003346,0.27,0.0,0.73,0.14,0,01075003026il,il,1
,010750040260002,115,97.4,0.0,0.0,60.0,12.0,26,171779002073,0.0,0.0,1.0,0.0,0,01075004026il,il,0
,010750040260002,101,93.1,0.0,0.0,65.3,0.0,21,171779002073,0.0,0.0,1.0,0.0,0,01075004026il,il,0
,010750040260002,84,95.2,4.8,0.0,100.0,7.7,26,171779002073,0.0,0.0,1.0,0.0,0,01075004026il,il,0
,010750040260002,95,100.0,0.0,0.0,0.0,5.0,20,171779002073,0.3,0.0,0.7,0.15,0,01075004026il,il,1
,010750100260009,316,98.4,0.6,0.3,42.7,31.2,77,173171003332,0.0,0.0,1.0,0.0,0,01075010026il,il,0
,010750100260009,336,97.3,0.0,0.0,40.2,29.2,72,173171003332,0.0,0.0,1.0,0.0,0,01075010026il,il,0
,010750100260009,323,96.9,0.6,1.2,36.5,24.4,74,173171003332,0.0,0.0,1.0,0.0,0,01075010026il,il,0
,010750100260009,323,97.8,0.0,0.0,38.1,13.2,76,173171003332,0.9,0.0,0.1,0.45,0,01075010026il,il,1
,010750120260001,142,95.8,0.0,1.4,52.1,31.6,38,170138705910,0.0,0.0,1.0,0.0,0,01075012026il,il,0
,010750120260001,146,94.5,0.0,0.0,55.5,33.4,36,170138705910,0.0,0.0,1.0,0.0,0,01075012026il,il,0
,010750120260001,140,95.7,0.0,1.4,62.1,26.4,34,170138705910,0.0,0.0,1.0,0.0,0,01075012026il,il,0
,010750120260001,124,96.8,0.0,0.0,50.8,25.0,20,170138705910,0.7,0.0,0.3,0.35,0,01075012026il,il,1
,010860010260001,185,98.4,0.0,0.0,37.3,21.7,48,174266004288,0.0,0.0,1.0,0.0,0,01086001026il,il,0
,010860010260001,178,98.3,0.0,0.0,40.4,25.5,47,174266004288,0.0,0.0,1.0,0.0,0,01086001026il,il,0
,010860010260001,182,97.3,0.0,1.6,37.4,22.5,40,174266004288,0.0,0.0,1.0,0.0,0,01086001026il,il,0
,010860010260001,165,97.6,0.0,0.0,46.1,7.7,52,174266004288,0.6,0.0,0.4,0.3,0,01086001026il,il,1
,010860020260001,58,100.0,0.0,0.0,48.3,15.4,13,170660000348,0.0,0.0,1.0,0.0,0,01086002026il,il,0
,010860020260001,64,100.0,0.0,0.0,53.1,8.3,12,170660000348,0.0,0.0,1.0,0.0,0,01086002026il,il,0
,010860020260001,64,96.9,0.0,1.6,51.6,15.8,19,170660000348,0.0,0.0,1.0,0.0,0,01086002026il,il,0
,010860020260001,73,91.8,0.0,0.0,54.8,5.6,18,170660000348,0.4,0.0,0.6,0.2,0,01086002026il,il,1
,030030010260001,104,90.4,5.8,1.9,35.6,21.7,24,172745002912,0.0,0.0,1.0,0.0,0,03003001026il,il,0
,030030010260001,108,88.9,0.0,0.0,41.7,29.6,27,172745002912,0.0,0.0,1.0,0.0,0,03003001026il,il,0
,030030010260001,121,92.6,1.7,2.5,42.1,8.0,25,172745002912,0.0,0.0,1.0,0.0,0,03003001026il,il,0
,030030010260001,111,90.1,0.0,0.0,55.0,3.7,27,172745002912,0.4,0.0,0.6,0.2,0,03003001026il,il,1
,030030020260001,537,89.0,3.7,2.4,39.1,37.5,120,171773002067,0.0,0.0,1.0,0.0,0,03003002026il,il,0
,030030020260001,524,90.3,2.3,2.1,36.1,34.2,126,171773002067,0.0,0.0,1.0,0.0,0,03003002026il,il,0
,030030020260001,539,90.2,2.2,1.7,36.4,25.4,123,171773002067,0.0,0.0,1.0,0.0,0,03003002026il,il,0
,030030020260001,547,90.7,0.0,0.0,43.3,31.8,129,171773002067,0.9,0.0,0.1,0.45,0,03003002026il,il,1
,030110010260002,91,100.0,0.0,0.0,13.2,19.0,21,172676002858,0.0,0.0,1.0,0.0,0,03011001026il,il,0
,030110010260002,90,98.9,0.0,0.0,17.8,23.8,21,172676002858,0.0,0.0,1.0,0.0,0,03011001026il,il,0
,030110010260002,80,96.3,0.0,1.3,26.3,20.0,15,172676002858,0.0,0.0,1.0,0.0,0,03011001026il,il,0
,030110010260002,89,93.3,0.0,0.0,43.8,21.4,14,172676002858,0.1,0.0,0.9,0.05,0,03011001026il,il,1
,030110030260006,778,95.0,0.5,1.4,44.7,33.7,180,173870003938,0.0,0.0,1.0,0.0,0,03011003026il,il,0
,030110030260006,761,95.5,0.0,1.3,41.5,34.9,166,173870003938,0.0,0.0,1.0,0.0,0,03011003026il,il,0
,030110030260006,755,93.6,0.3,1.7,43.7,23.8,192,173870003938,0.0,0.0,1.0,0.0,0,03011003026il,il,0
,030110030260006,761,93.2,0.0,1.7,41.0,12.6,174,173870003938,0.6,0.3,0.1,0.6,0,03011003026il,il,1
,030110040260002,82,97.6,0.0,0.0,24.4,16.0,25,171341001632,0.0,0.0,1.0,0.0,0,03011004026il,il,0
,030110040260002,84,96.4,0.0,0.0,38.1,4.2,24,171341001632,0.0,0.0,1.0,0.0,0,03011004026il,il,0
,030110040260002,75,96.0,0.0,2.7,38.7,0.0,10,171341001632,0.0,0.0,1.0,0.0,0,03011004026il,il,0
,030110040260002,76,97.4,0.0,0.0,42.1,7.7,13,171341001632,0.4,0.2,0.4,0.4,0,03011004026il,il,1
,030110080260006,407,97.5,0.0,0.5,47.7,27.2,81,173063003186,0.0,0.0,1.0,0.0,0,03011008026il,il,0
,030110080260006,399,97.0,0.0,0.0,51.9,16.3,104,173063003186,0.0,0.0,1.0,0.0,0,03011008026il,il,0
,030110080260006,394,96.7,0.0,1.0,55.8,19.3,89,173063003186,0.0,0.0,1.0,0.0,0,03011008026il,il,0
,030110080260006,394,94.2,0.0,0.0,50.0,17.6,91,173063003186,0.7,0.0,0.3,0.35,0,03011008026il,il,1
,030110140240001,163,93.3,0.6,2.5,60.1,19.2,102,173664005069,0.0,0.0,1.0,0.0,0,03011014024il,il,0
,030110140240001,167,92.2,0.0,0.0,56.3,7.1,14,173664005069,0.0,0.0,1.0,0.0,0,03011014024il,il,0
,030110140240001,151,91.4,0.0,3.3,57.6,0.0,19,173664005069,0.0,0.0,1.0,0.0,0,03011014024il,il,0
,030110140240001,141,91.5,0.0,0.0,57.4,8.0,26,173664005069,0.3,0.0,0.7,0.15,0,03011014024il,il,1
,030250100260001,258,97.7,0.8,0.4,41.1,38.2,55,170351000034,0.0,0.0,1.0,0.0,0,03025010026il,il,0
,030250100260001,224,98.2,0.0,0.0,41.5,37.5,64,170351000034,0.0,0.0,1.0,0.0,0,03025010026il,il,0
,030250100260001,224,97.8,1.3,0.4,37.5,27.6,47,170351000034,0.0,0.0,1.0,0.0,0,03025010026il,il,0
,030250100260001,245,95.9,0.0,0.0,44.5,20.0,55,170351000034,0.1,0.0,0.9,0.05,0,03025010026il,il,1
,030250200260001,159,95.6,0.0,3.8,49.1,54.2,91,170546000225,0.0,0.0,1.0,0.0,0,03025020026il,il,0
,030250200260001,150,98.0,0.0,0.0,44.0,37.6,16,170546000225,0.0,0.0,1.0,0.0,0,03025020026il,il,0
,030250200260001,157,96.8,0.0,1.3,41.4,36.8,19,170546000225,0.0,0.0,1.0,0.0,0,03025020026il,il,0
,030250200260001,161,94.4,0.0,0.0,98.8,30.7,26,170546000225,0.1,0.0,0.9,0.05,0,03025020026il,il,1
,030250300260001,173,98.8,0.0,0.0,34.1,50.0,91,171224001477,0.0,0.0,1.0,0.0,0,03025030026il,il,0
,030250300260001,190,97.9,0.0,0.0,31.6,43.3,30,171224001477,0.0,0.0,1.0,0.0,0,03025030026il,il,0
,030250300260001,194,97.9,0.0,1.0,21.1,26.1,23,171224001477,0.0,0.0,1.0,0.0,0,03025030026il,il,0
,030250300260001,211,96.7,0.0,0.0,18.5,25.8,31,171224001477,0.0,0.0,1.0,0.0,0,03025030026il,il,1
,030250400260001,715,93.8,0.6,3.1,30.6,34.6,166,171356001648,0.0,0.0,1.0,0.0,0,03025040026il,il,0
,030250400260001,737,92.4,0.0,3.5,36.4,34.2,152,171356001648,0.0,0.0,1.0,0.0,0,03025040026il,il,0
,030250400260001,715,91.3,1.1,3.5,33.4,30.1,166,171356001648,0.0,0.0,1.0,0.0,0,03025040026il,il,0
,030250400260001,742,88.5,0.0,5.1,32.6,25.0,180,171356001648,0.0,0.0,1.0,0.0,0,03025040026il,il,1
,030250500260001,337,99.7,0.3,0.0,10.1,48.6,74,173876003944,0.0,0.0,1.0,0.0,0,03025050026il,il,0
,030250500260001,316,99.7,0.0,0.0,7.6,57.2,84,173876003944,0.0,0.0,1.0,0.0,0,03025050026il,il,0
,030250500260001,334,98.8,0.3,0.3,2.1,51.4,72,173876003944,0.0,0.0,1.0,0.0,0,03025050026il,il,0
,030250500260001,326,98.5,0.0,0.0,8.6,40.2,82,173876003944,0.3,0.0,0.7,0.15,0,03025050026il,il,1
,030262010260003,95,92.6,0.0,3.2,43.2,15.4,13,170744000383,0.0,0.0,1.0,0.0,0,03026201026il,il,0
,030262010260003,75,92.0,0.0,0.0,52.0,5.3,19,170744000383,0.0,0.0,1.0,0.0,0,03026201026il,il,0
,030262010260003,80,92.5,0.0,2.5,58.8,11.5,26,170744000383,0.0,0.0,1.0,0.0,0,03026201026il,il,0
,030262010260003,75,97.3,0.0,0.0,48.0,5.3,19,170744000383,0.6,0.0,0.4,0.3,0,03026201026il,il,1
,030262020260002,124,95.2,0.0,0.8,41.1,18.8,32,173723003864,0.0,0.0,1.0,0.0,0,03026202026il,il,0
,030262020260002,119,95.8,0.0,0.0,42.0,7.7,26,173723003864,0.0,0.0,1.0,0.0,0,03026202026il,il,0
,030262020260002,110,97.3,1.8,0.9,46.4,7.1,28,173723003864,0.0,0.0,1.0,0.0,0,03026202026il,il,0
,030262020260002,121,92.6,0.0,0.0,42.1,3.8,26,173723003864,0.8,0.0,0.2,0.4,0,03026202026il,il,1
,030262030260001,423,95.3,0.2,1.2,49.6,21.5,109,174014004044,0.0,0.0,1.0,0.0,0,03026203026il,il,0
,030262030260001,429,94.6,0.0,2.6,50.8,16.9,95,174014004044,0.0,0.0,1.0,0.0,0,03026203026il,il,0
,030262030260001,407,94.3,0.7,2.5,50.4,16.3,92,174014004044,0.0,0.0,1.0,0.0,0,03026203026il,il,0
,030262030260001,397,95.5,0.0,0.0,54.2,19.3,83,174014004044,0.7,0.0,0.3,0.35,0,03026203026il,il,1
,030262040260002,232,99.1,0.4,0.4,62.5,4.2,130,173309003435,0.0,0.0,1.0,0.0,0,03026204026il,il,0
,030262040260002,250,98.8,0.0,0.0,48.4,3.6,28,173309003435,0.0,0.0,1.0,0.0,0,03026204026il,il,0
,030262040260002,231,99.6,0.0,0.4,55.0,25.0,32,173309003435,0.0,0.0,1.0,0.0,0,03026204026il,il,0
,030262040260002,230,98.3,0.0,0.0,55.7,22.6,32,173309003435,0.1,0.0,0.9,0.05,0,03026204026il,il,1
,030680020260001,145,95.9,1.4,0.7,42.8,33.3,37,173066003190,0.0,0.0,1.0,0.0,0,03068002026il,il,0
,030680020260001,146,97.3,0.0,0.0,46.6,14.7,34,173066003190,0.0,0.0,1.0,0.0,0,03068002026il,il,0
,030680020260001,146,97.3,0.0,0.7,50.7,20.6,34,173066003190,0.0,0.0,1.0,0.0,0,03068002026il,il,0
,030680020260001,140,94.3,0.0,0.0,42.9,24.2,33,173066003190,0.4,0.0,0.6,0.2,0,03068002026il,il,1
,030680030260001,498,94.6,1.6,2.4,43.6,27.6,107,171920002206,0.0,0.0,1.0,0.0,0,03068003026il,il,0
,030680030260001,519,94.0,0.0,0.0,38.3,20.2,99,171920002206,0.0,0.0,1.0,0.0,0,03068003026il,il,0
,030680030260001,484,93.0,1.4,2.9,35.5,16.8,130,171920002206,0.0,0.0,1.0,0.0,0,03068003026il,il,0
,030680030260001,452,93.6,0.0,2.4,39.2,13.0,100,171920002206,0.0,0.0,1.0,0.0,0,03068003026il,il,1
,030680120260001,420,93.3,1.0,1.9,52.6,23.2,96,172325002560,0.0,0.0,1.0,0.0,0,03068012026il,il,0
,030680120260001,395,93.2,0.0,0.0,49.9,10.5,86,172325002560,0.0,0.0,1.0,0.0,0,03068012026il,il,0
,030680120260001,389,93.3,1.3,2.3,57.8,25.9,83,172325002560,0.0,0.0,1.0,0.0,0,03068012026il,il,0
,030680120260001,415,90.8,0.0,4.1,51.6,22.9,83,172325002560,0.6,0.0,0.4,0.3,0,03068012026il,il,1
,030680220260001,296,97.0,0.0,0.3,43.9,41.3,174,172856002990,0.0,0.0,1.0,0.0,0,03068022026il,il,0
,030680220260001,304,96.1,0.0,0.0,43.4,24.3,37,172856002990,0.0,0.0,1.0,0.0,0,03068022026il,il,0
,030680220260001,299,94.6,0.0,2.3,40.5,13.6,44,172856002990,0.0,0.0,1.0,0.0,0,03068022026il,il,0
,030680220260001,298,95.3,0.0,0.0,37.9,12.8,39,172856002990,0.0,0.0,1.0,0.0,0,03068022026il,il,1
,040041000260001,1263,49.1,2.8,44.4,52.3,19.7,319,170579000255,0.0,0.0,1.0,0.0,0,04004100026il,il,0
,040041000260001,1245,47.4,3.0,45.5,48.6,21.9,287,170579000255,0.0,0.0,1.0,0.0,0,04004100026il,il,0
,040041000260001,1214,47.0,2.6,46.3,57.6,17.8,270,170579000255,0.0,0.0,1.0,0.0,0,04004100026il,il,0
,040041000260001,1245,45.5,2.2,48.0,43.2,11.8,271,170579000255,0.5,0.4,0.1,0.65,0,04004100026il,il,1
,040041000260002,1505,64.3,3.5,27.4,37.6,30.9,351,170579005909,0.0,0.0,1.0,0.0,0,04004100026il,il,0
,040041000260002,1515,63.4,3.5,29.0,32.7,30.7,316,170579005909,0.0,0.0,1.0,0.0,0,04004100026il,il,0
,040041000260002,1432,62.3,3.8,29.4,35.2,29.1,384,170579005909,0.0,0.0,1.0,0.0,0,04004100026il,il,0
,040041000260002,1418,63.4,3.9,28.8,28.2,25.4,293,170579005909,0.5,0.4,0.1,0.65,0,04004100026il,il,1
,040042000260003,524,67.2,1.5,25.8,48.9,29.5,132,172870003013,0.0,0.0,1.0,0.0,0,04004200026il,il,0
,040042000260003,503,69.8,0.0,23.7,45.3,31.1,122,172870003013,0.0,0.0,1.0,0.0,0,04004200026il,il,0
,040042000260003,478,69.2,1.5,23.2,41.6,25.2,123,172870003013,0.0,0.0,1.0,0.0,0,04004200026il,il,0
,040042000260003,469,62.7,0.0,27.5,36.9,15.6,90,172870003013,0.0,0.0,1.0,0.0,0,04004200026il,il,1
,041011220220002,2093,75.6,4.5,12.1,52.7,26.5,464,171824002100,0.0,0.0,1.0,0.0,0,04101122022il,il,0
,041011220220002,1529,74.6,5.0,12.3,49.2,18.5,497,171824002100,0.0,0.0,1.0,0.0,0,04101122022il,il,0
,041011220220002,1533,73.5,4.3,13.3,50.1,26.5,464,171824002100,0.0,0.0,1.0,0.0,0,04101122022il,il,0
,041011220220002,1953,69.6,5.9,14.5,45.4,19.4,420,171824002100,0.82,0.0,0.18,0.41,0,04101122022il,il,1
,041012050250001,1859,28.8,42.7,18.8,49.0,38.5,306,173451003599,0.0,0.0,1.0,0.0,0,04101205025il,il,0
,041012050250001,1805,28.8,41.5,19.3,53.2,36.3,334,173451003599,0.0,0.0,1.0,0.0,0,04101205025il,il,0
,041012050250001,1818,28.5,41.1,19.7,61.6,27.6,391,173451003599,0.0,0.0,1.0,0.0,0,04101205025il,il,0
,041012050250001,1756,28.2,40.8,19.3,57.8,27.2,294,173451003599,0.5,0.1,0.4,0.35,0,04101205025il,il,1
,041012050250002,1990,33.2,23.3,27.6,48.3,18.7,368,173451003600,0.0,0.0,1.0,0.0,0,04101205025il,il,0
,041012050250002,1864,31.8,25.9,27.0,54.7,15.3,361,173451003600,0.0,0.0,1.0,0.0,0,04101205025il,il,0
,041012050250002,1799,29.7,27.7,27.5,65.5,9.6,431,173451003600,0.0,0.0,1.0,0.0,0,04101205025il,il,0
,041012050250002,1520,29.0,28.0,29.7,62.9,7.4,294,173451003600,0.6,0.1,0.3,0.4,0,04101205025il,il,1
,041012050250003,1721,37.1,23.6,30.4,37.4,25.9,368,173451003577,0.0,0.0,1.0,0.0,0,04101205025il,il,0
,041012050250003,1744,37.0,23.5,29.5,39.9,14.2,302,173451003577,0.0,0.0,1.0,0.0,0,04101205025il,il,0
,041012050250003,1786,37.7,24.4,26.8,50.8,17.3,471,173451003577,0.0,0.0,1.0,0.0,0,04101205025il,il,0
,041012050250003,1805,39.7,24.2,23.5,46.7,16.8,347,173451003577,0.6,0.1,0.3,0.4,0,04101205025il,il,1
,041012050250004,1629,28.6,23.2,41.0,50.5,11.3,332,173451003585,0.0,0.0,1.0,0.0,0,04101205025il,il,0
,041012050250004,1680,26.1,22.1,44.0,55.8,11.0,282,173451003585,0.0,0.0,1.0,0.0,0,04101205025il,il,0
,041012050250004,1715,24.4,21.0,46.2,69.2,9.9,333,173451003585,0.0,0.0,1.0,0.0,0,04101205025il,il,0
,041012050250004,1793,20.6,18.9,52.7,61.0,3.5,343,173451003585,0.6,0.1,0.3,0.4,0,04101205025il,il,1
,041012070160001,2073,85.9,1.7,6.6,20.3,57.3,522,171962002236,0.0,0.0,1.0,0.0,0,04101207016il,il,0
,041012070160001,2006,86.1,1.7,6.7,21.3,54.9,496,171962002236,0.0,0.0,1.0,0.0,0,04101207016il,il,0
,041012070160001,1990,84.6,1.9,7.4,18.9,49.7,450,171962002236,0.0,0.0,1.0,0.0,0,04101207016il,il,0
,041012070160001,1937,81.8,1.8,10.0,20.8,46.0,467,171962002236,0.91,0.0,0.09,0.45,0,04101207016il,il,1
,041013200260001,276,62.7,4.3,28.6,67.4,14.0,52,173660003768,0.0,0.0,1.0,0.0,0,04101320026il,il,0
,041013200260001,248,60.5,0.0,29.8,66.5,31.6,60,173660003768,0.0,0.0,1.0,0.0,0,04101320026il,il,0
,041013200260001,246,58.5,3.3,32.5,63.0,33.9,59,173660003768,0.0,0.0,1.0,0.0,0,04101320026il,il,0
,041013200260001,235,55.3,4.3,30.6,63.4,19.0,58,173660003768,0.1,0.1,0.8,0.15,0,04101320026il,il,1
,041013210260001,244,91.0,0.4,5.3,22.1,51.7,58,173105003229,0.0,0.0,1.0,0.0,0,04101321026il,il,0
,041013210260001,256,90.2,0.0,5.1,20.7,46.4,56,173105003229,0.0,0.0,1.0,0.0,0,04101321026il,il,0
,041013210260001,250,89.6,0.8,5.6,26.4,42.0,51,173105003229,0.0,0.0,1.0,0.0,0,04101321026il,il,0
,041013210260001,279,88.9,0.0,6.5,25.1,39.0,59,173105003229,0.3,0.0,0.7,0.15,0,04101321026il,il,1
,041013220260001,152,92.8,0.0,2.0,22.4,41.0,39,171281001536,0.0,0.0,1.0,0.0,0,04101322026il,il,0
,041013220260001,172,94.2,0.0,0.0,22.7,26.8,41,171281001536,0.0,0.0,1.0,0.0,0,04101322026il,il,0
,041013220260001,186,94.1,0.5,0.0,21.5,30.5,47,171281001536,0.0,0.0,1.0,0.0,0,04101322026il,il,0
,041013220260001,185,93.5,0.0,0.0,24.3,33.4,40,171281001536,0.3,0.1,0.6,0.25,0,04101322026il,il,1
,041013230260001,455,84.8,6.2,5.5,22.6,34.3,103,174279004297,0.0,0.0,1.0,0.0,0,04101323026il,il,0
,041013230260001,454,83.3,7.0,5.1,20.0,36.8,106,174279004297,0.0,0.0,1.0,0.0,0,04101323026il,il,0
,041013230260001,465,82.6,6.5,5.6,0.6,27.8,117,174279004297,0.0,0.0,1.0,0.0,0,04101323026il,il,0
,041013230260001,397,84.9,3.0,6.8,20.7,29.0,107,174279004297,0.0,0.0,1.0,0.0,0,04101323026il,il,1
,050162020170001,3285,44.1,29.4,18.0,40.5,55.4,786,171449001804,0.0,0.0,1.0,0.0,0,05016202017il,il,0
,050162020170001,3459,45.4,27.6,18.4,38.4,51.9,768,171449001804,0.0,0.0,1.0,0.0,0,05016202017il,il,0
,050162020170001,3514,45.7,27.3,18.4,36.5,50.4,793,171449001804,0.0,0.0,1.0,0.0,0,05016202017il,il,0
,050162020170001,3621,45.6,25.1,19.4,32.5,47.2,803,171449001804,0.2,0.8,0.0,0.9,0,05016202017il,il,1
,050162030170001,2960,84.9,0.6,3.8,3.5,80.1,953,172820002975,0.0,0.0,1.0,0.0,0,05016203017il,il,0
,050162030170001,2934,83.8,0.6,3.7,3.7,76.6,896,172820002975,0.0,0.0,1.0,0.0,0,05016203017il,il,0
,050162030170001,2963,79.9,0.6,4.9,4.2,80.7,1000,172820002975,0.0,0.0,1.0,0.0,0,05016203017il,il,0
