schoolcode,totalenrolled,white,black,hispanic,lowincome,dropout
041012050250003,1721,37.1,23.6,30.4,37.4,3
041012050250004,1629,28.6,23.2,41,50.5,4.7
041012050251001,883,28.1,44.3,18.6,56.9,     
041012050251006,807,37.3,12.4,40.8,32.1,     
041012050251008,963,33.2,23.6,32.5,49.1,     
041012050251009,697,30.8,30.8,23,62.1,     
041012050251010,519,12.7,60.3,17,71.9,     
041012050252014,738,6.4,6.9,83.7,55.4,     
041012050252016,300,22.7,50.7,13.3,78,     
041012050252017,333,47.1,25.8,18.9,61.3,     
041012050252018,470,58.1,10.2,15.7,33.2,     
041012050252019,418,47.6,26.3,14.8,45.7,     
04101205025201C,315,10.5,59.4,24.8,27,3.2
041012050252020,162,64.8,8,14.2,30.9,     
041012050252022,330,25.5,48.2,13,66.7,     
041012050252024,478,14.6,64.9,11.7,83.5,     
041012050252027,459,48.8,15.9,21.4,49.2,     
041012050252029,314,37.3,23.9,16.9,60.5,     
04101205025202C,319,12.9,49.2,24.1,33.2,     
041012050252034,308,10.1,74,5.8,72.7,     
041012050252037,594,20.2,16.5,53.4,8.9,     
041012050252039,485,48.9,16.5,20.8,47.2,     
04101205025203C,504,10.1,68.8,9.7,30.6,     
041012050252040,305,13.1,38.7,12.1,81.3,     
041012050252041,435,14.9,17.2,66.7,71.3,     
041012050252043,361,20.5,59.6,9.1,73.1,     
041012050252046,402,30.8,23.1,35.6,58,     
041012050252047,466,22.7,23,45.9,62.2,     
041012050252051,523,30,23.7,34.6,72.5,     
041012050252054,778,41.5,18,26.6,58.2,     
041012050252056,340,45,14.7,28.8,41.2,     
041012050252059,284,50.4,20.4,19.7,50,     
041012050252063,470,30.2,47.4,11.7,72.1,     
041012050252064,473,31.7,44.8,12.5,62.4,     
041012050252066,566,23.7,24.6,41.7,61.3,     
041012050252067,194,64.9,12.9,10.8,39.7,     
041012050252078,414,68.8,5.6,8.5,15,     
041012050252080,314,6.1,30.6,56.1,79.6,     
041012050252084,395,12.2,71.9,8.9,75.4,     
041012050252085,536,47.4,27.8,14,35.6,     
041012050252086,960,25.2,26.6,38.4,57.2,     
041012050252087,457,63.7,5.5,8.5,14,     
041012070160001,2073,85.9,1.7,6.6,20.3,0.8
041013200260001,276,62.7,4.3,28.6,67.4,1.4
041013200261002,155,58.7,4.5,32.3,65.2,     
041013200262003,225,66.2,4.4,23.1,61.3,     
041013200262004,240,59.6,3.3,31.3,67.1,     
041013200262005,129,62,1.6,27.1,76,     
041013210260001,244,91,0.4,5.3,22.1,1.2
041013210261001,295,88.5,1,5.8,31.2,     
041013210262002,353,91.2,1.4,3.7,8.2,     
041013220260001,152,92.8,0,2,22.4,1.3
041013220261001,91,92.3,2.2,1.1,29.7,     
041013220262001,298,90.9,0,2.7,31.2,     
041013230260001,455,84.8,6.2,5.5,22.6,1.1
041013230261002,338,85.2,3,5.6,26.9,     
041013230262003,302,84.4,3.3,4.3,26.8,     
041013230262005,289,86.9,3.1,5.5,28.4,     
050160150041011,806,51.2,2.1,7.1,13,     
050160150041014,490,43.9,1.6,41.8,49,     
050160150041016,748,23.8,5.5,62.4,72.9,     
050160150041018,634,54.3,3.5,21.5,29.3,     
050160150042001,623,20.5,1.9,68.7,75.3,     
050160150042003,602,40.2,2,37.9,41.7,     
050160150042004,473,63,1.5,4.4,8.5,     
050160150042005,654,40.5,1.4,53.8,58.4,     
050160150042006,658,52.3,4.9,4.7,16.7,     
050160150042007,749,25.8,4.1,57.7,66.5,     
050160150042008,831,41,4.3,41.2,52.5,     
050160150042009,697,41.2,2.3,37.9,42,     
050160150042010,631,50.2,0.6,6,6.7,     
050160150042013,587,34.6,7.2,46.5,56.7,     
050160150042015,758,21.1,4.7,65.7,72.6,     
050160150042018,649,42.5,1.7,11.4,27,     
050160150042019,493,46.5,1.8,40.2,45.4,     
050160150042020,438,50.9,1.4,35.8,37.9,     
050160150042023,600,39.5,2.5,8.7,14.7,     
050160210041002,709,59.7,1.3,26.1,34.8,     
050160210041006,759,16.5,2.2,73.9,78,     
050160210041007,661,34.3,2.1,54.5,58.7,     
050160210042003,607,9.7,1.6,83.5,85.2,     
050160210042004,561,30.7,0.7,56.5,68.8,     
050160210042007,516,26.9,1,60.3,66.1,     
050160210042009,392,73.2,1.8,9.4,17.1,     
050160210042010,464,59.7,1.3,8,35.8,     
050160210042011,307,66.4,0.7,13,22.8,     
050160210042013,443,28.9,1.8,49.4,53.3,     
050160210042014,497,6.6,1.6,87.9,81.3,     
050160210042015,529,9.3,0.9,85.4,83.9,     
050160230021002,535,66.5,1.1,19.6,31.2,     
050160230022001,378,63.8,1.3,23.3,34.7,     
050160230022004,379,63.6,2.4,20.6,34.3,     
050160230022005,303,70,2.3,17.5,33.3,     
050160250021014,896,79.9,0.7,8.8,4.9,     
050160250021015,962,77.4,0.7,8.3,4.8,     
050160250022002,489,84.9,0.2,6.1,0.2,     
050160250022004,419,73,1.2,4.3,1,     
050160250022005,612,44.6,0.8,9.2,0.2,     
050160250022009,587,86.4,0.7,4.6,0.9,     
050160250022011,427,85.2,1.2,6.1,0.2,     
050160250022016,606,79.4,2.6,9.2,1.7,     
050160250022018,514,79,0.4,12.5,0.6,     
050160260021006,466,51.5,2.6,24.9,38.2,     
050160260022001,482,33.6,3.3,42.1,56,     
050160260022003,556,69.1,0.5,6.8,17.1,     
050160270021005,416,80.8,0.5,3.4,3.4,     
050160270022002,410,72.9,1.5,2.9,2.9,     
050160270022004,405,78,0.5,4,3.2,     
050160280021004,624,78.7,0.3,5.3,3.2,     
050160280022002,410,80.7,1,4.4,1.7,     
050160280022003,380,75.8,1.1,4.7,1.6,     
050160280022006,357,74.5,0.3,4.5,4.5,     
050160290022001,201,91,0,1.5,1.5,     
050160290022002,259,93.1,0,0.8,2.7,     
050160300021001,392,65.1,0.5,5.1,2.6,     
050160300022002,391,61.9,0.3,4.6,1.5,     
050160300022003,372,59.4,0.3,1.6,3,     
050160310021001,289,46.7,4.8,9.3,21.8,     
050160310022002,574,43.6,1.6,12.2,22.3,     
050160340041006,884,65.3,1.9,14.1,21.2,     
050160340041007,884,68.8,1,12,27.6,     
050160340042001,524,55.2,3.2,11.5,32.3,     
050160340042002,457,63.7,2,15.3,26.9,     
050160340042003,560,59.8,1.4,17.3,31.4,     
050160340042004,486,81.3,0.6,7.2,14,     
050160340042005,524,76,1.1,10.9,14.9,     
050160340042008,549,45.4,3.3,14.9,33.5,     
050160350021001,559,89.3,0.2,3.9,1.1,     
050160350022001,250,86.4,0.4,4,0,     
050160350022002,366,88,0,4.9,0.3,     
050160360021005,448,89.5,0.2,3.6,0.4,     
050160360022001,383,91.1,0,0.5,0.3,     
050160360022002,233,85,0,5.2,0,     
050160360022003,252,86.5,0.8,3.2,0,     
050160360022004,395,91.9,0.3,2.3,0,     
050160370021001,286,55.9,1.7,8.7,8,     
050160370022003,462,59.3,0.4,6.1,8.4,     
050160380022001,472,89.8,0.8,1.7,0,     
050160390021008,856,77,0.8,4.9,4.7,     
050160390022002,479,85.6,0.4,2.9,1.5,     
050160390022003,415,83.6,0,4.8,2.2,     
050160390022005,466,77.5,0.6,5.2,2.4,     
050160390022006,572,62.6,0.5,8.4,3.8,     
050160390022007,875,75.2,1,5.3,3.9,     
050160540041001,710,44.5,7.2,24.2,20.4,     
050160540041012,652,45.1,7.5,23.6,17,     
050160540041018,615,31.1,13.8,29.6,28,     
050160540041019,578,49.8,4.7,15.7,14.7,     
050160540041020,544,30.9,4,30.9,26.3,     
050160540042002,558,43.4,6.6,25.8,27.8,     
050160540042003,476,31.7,13,22.7,26.7,     
050160540042005,532,48.3,2.8,12.8,9.6,     
050160540042006,523,44.2,3.4,12.2,8.8,     
050160540042007,700,62,2.3,10.7,9,     
050160540042008,456,55,3.1,9.6,12.1,     
050160540042009,447,43.4,1.6,8.3,5.1,     
050160540042010,540,39.4,1.3,13.3,8.7,     
050160540042011,415,29.4,12.8,35.4,37.3,     
050160540042013,481,29.5,5.8,46.8,31.8,     
050160540042015,435,57,4.4,14.9,11.5,     
050160540042018,490,25.1,3.5,45.7,39.6,     
050160540042019,427,28.3,2.3,56.4,26.9,     
050160540042022,435,17.5,21.4,35.2,43.7,     
050160540042023,609,48.4,4.3,19.9,13.3,     
050160540042026,464,33.8,11,32.8,26.7,     
050160540042027,738,41.6,3.7,15.3,13.6,     
050160540042028,491,39.9,6.1,38.9,29.1,     
050160540042029,621,57.6,2.7,12.1,9.3,     
050160540042030,397,30.2,5.8,46.3,36.8,     
050160540042031,473,38.7,6.6,30.7,26.4,     
050160540042032,389,61.2,2.8,11.1,5.7,     
050160570021004,721,78.5,0.7,8.9,9.6,     
050160570022002,552,72.5,0.7,10.1,14.5,     
050160570022005,454,78.4,0.4,8.6,7.3,     
050160570022008,540,80.4,1.1,3.5,8.3,     
050160590041010,943,39.9,1.4,50.4,56.3,     
050160590041012,802,34.3,3.7,46.4,61.8,     
050160590041016,663,44.8,3.6,30.9,53.4,     
050160590042001,436,39.4,8,26.6,54.1,     
050160590042002,381,28.9,1.8,65.1,70.6,     
050160590042003,408,77.9,1.5,14.2,42.6,     
050160590042006,452,41.8,3.3,27.2,56.4,     
050160590042008,430,40.2,8.4,15.8,44.7,     
050160590042009,396,38.1,6.3,43.7,72.7,     
050160590042014,339,15.6,5.9,68.7,77.6,     
050160590042016,430,31.9,4,55.6,66.7,     
050160590042018,438,21.7,1.6,68.7,75.3,     
050160590042019,428,34.3,0.9,58.9,63.6,     
050160590042020,255,63.9,2,13.7,34.1,     
050160620041001,679,31.8,2.1,55.7,59.4,     
050160620041003,691,46.2,8.2,32.3,52.1,     
050160620042001,488,56.1,2.7,22.7,27,     
050160620042002,301,65.1,3,24.9,38.2,     
050160620042004,324,50.3,3.1,29.3,38.6,     
050160620042005,584,48.5,1.5,35.4,43,     
050160620042008,523,31.7,12,40.2,75,     
050160620042009,298,14.1,1.7,76.5,79.2,     
050160620042010,332,13.9,2.4,68.4,72.3,     
050160620042011,227,38.3,1.8,49.8,59.9,     
050160620042012,230,50.4,3,30,36.5,     
050160630021003,764,36.3,4.2,24.2,56.3,     
050160630022006,577,40.6,2.4,35.5,57.7,     
050160630022008,436,22.7,7.1,28.7,63.8,     
050160630022009,362,26.8,3.6,20.4,59.4,     
050160630022010,274,51.5,3.6,14.6,42.7,     
050160630022011,501,38.1,0.4,14,40.3,     
050160630022012,617,20.9,4.9,30.8,61.1,     
050160640041006,814,83.8,0.5,8.8,4.3,     
050160640041007,708,88,0,6.5,3.5,     
050160640042001,456,84.2,1.8,7.2,3.3,     
050160640042004,660,82.3,0.8,8,5,     
050160640042005,510,75.7,1,10,6.1,     
050160640042011,669,87.1,0.7,5.4,1.9,     
050160640042012,625,86.6,0.3,8.2,2.4,     
050160650041002,598,29.6,33.3,27.1,57.2,     
050160650041007,833,56.1,18.2,14.2,27,     
050160650041012,716,50.6,17.2,18.9,35.3,     
050160650042004,373,24.9,29.8,37,59.5,     
050160650042005,538,48.1,13.6,22.9,30.3,     
050160650042009,525,54.3,16.6,8.6,29.7,     
050160650042010,405,54.1,24.9,8.4,29.9,     
050160650042014,404,25.5,36.1,27.7,61.9,     
050160650042015,394,62.9,11.9,3,20.3,     
050160650042019,368,29.9,31.3,16.3,50,     
050160650042020,544,41,12.1,36.8,46.3,     
050160650042021,536,61.2,7.5,23.7,22,     
050160650042022,574,38,32.1,15.2,40.9,     
050160650042023,378,52.4,22,7.9,30.2,     
050160650042024,360,30.8,34.4,13.6,36.7,     
050160670021002,282,51.1,2.1,10.6,28.7,     
050160670022003,367,49.6,3.8,6.3,26.4,     
050160680021002,689,35.3,10.6,17.9,49.5,     
050160680022001,359,42.3,9.7,16.7,53.8,     
050160680022004,376,36.4,11.2,17.8,43.9,     
050160680022005,396,36.4,7.1,15.4,48,     
050160690021003,538,35.3,12.1,18.2,55.2,     
050160690022001,540,38.1,8.3,17.8,55.7,     
050160690022004,594,38.6,9.3,16.2,49.2,     
050160700022003,900,49.7,1.3,13.9,27.2,     
050160710022001,587,59.6,2,15.3,39,     
050160720022002,707,47.7,2.3,12.4,20.9,     
050160730022001,508,39.4,5.3,12.6,23.8,     
050160735021003,378,37.3,8.5,13.2,31.5,     
050160735022002,524,40.8,6.9,13.7,31.7,     
050160735022003,157,42,6.4,10.8,17.8,     
050160740021001,412,55.3,1.5,7,12.9,     
050160740022003,400,53,1.5,7,12.3,     
050160740022004,406,47.8,1.7,6.4,10.6,     
050162020170001,3285,44.1,29.4,18,40.5,0.6
050162030170001,2960,84.9,0.6,3.8,3.5,0
050162030170002,1037,80.6,0.7,4.2,2.8,0
050162070170001,1854,36.6,4.7,22.7,46.1,0.5
050162070170003,2401,84,0.5,8.4,7.6,0.1
050162070170004,1995,45.5,2.9,38,38,0.7
050162110170001,2313,50.6,3.8,16.4,27.2,0.1
050162110170002,2687,60.5,1.9,9.3,15.3,0.3
050162110170003,2626,41,4.8,44.1,53.5,1.9
050162110170004,2147,51.6,5.6,21.9,33.2,0.5
050162110170006,1855,33.7,12.2,30.2,49.6,0.2
050162140170002,1918,42.9,2.9,42.3,34.5,0.8
050162140170004,1895,72.1,1.6,13.8,12.4,0.4
050162140170005,2152,75.8,1.1,12.1,9.4,1.1
050162140170006,1726,31.1,2.5,59.4,41.2,0.6
050162140170007,1925,52.6,2.9,35.8,26.4,0.9
050162140170008,1968,59.3,1.7,26.5,18.2,1.1
050162190170002,2030,39.6,9.7,12.5,31.8,0
050162190170003,2486,44.9,3.9,16,31.5,0.4
050162250170001,2010,77.2,0.5,4.7,6.1,0
050162250170002,2972,63.7,1.7,12.5,19.9,0.1
060160780022001,228,59.6,1.3,29.4,32.5,     
060160790022001,403,74.7,0.5,15.4,23.3,     
060160800022001,623,70.5,0.6,19.9,27.4,     
060160800022002,494,83.4,0,10.1,30.2,     
060160810021001,405,46.4,2,44,63.5,     
060160810022001,768,53.5,1.4,35.4,54.4,     
060160810022003,270,48.5,2.2,38.5,64.8,     
060160830021003,884,14.9,1.5,80.7,79.5,     
060160830022002,467,15.4,1.5,79.7,79.4,     
060160830022004,655,17.1,1.5,76.6,71.9,     
060160830022005,546,9.5,0.7,86.6,78,     
060160840021002,413,27.6,0,69,70.9,     
060160840022003,244,39.3,0,57,45.5,     
060160840022004,250,17.6,0.4,76.8,68,     
060160840022005,392,33.9,0.5,62.8,59.4,     
060160845022001,692,18.2,6.2,73.7,82.5,     
060160855022001,698,46.6,1.7,49,62.8,     
060160860022001,681,66.1,0.3,23.3,37.3,     
060160870021005,413,1.9,44.6,49.6,78.5,     
060160870021006,439,6.2,0.9,90.9,88.8,     
060160870022003,398,1,48.5,48,82.9,     
060160870022007,347,2.3,2.3,94.2,90.2,     
060160870022008,443,5.2,41.1,45.8,74.3,     
060160870022010,521,10.9,0.6,86.9,83.3,     
060160880021007,737,0.3,51.2,47.4,99.1,     
060160880022001,453,0.9,3.5,94.7,99.1,     
060160880022003,385,0.5,77.4,21.3,73.8,     
060160880022005,378,0.3,64.3,34.1,99.2,     
060160880022006,267,0.4,65.9,33,99.6,     
060160880022009,80,2.5,1.3,91.3,91.3,     
060160890021001,615,0.2,70.7,27.5,76.6,     
060160890021002,979,2.6,5.4,90.6,85.3,     
060160890022001,460,8.3,6.1,83.9,57,     
060160890022002,438,0.2,66.9,31.5,55.3,     
060160890022003,455,0,67.7,30.8,57.6,     
060160890022006,630,1.4,11.4,85.9,58.3,     
060160890022007,865,1.2,3,94.5,60.6,     
060160890022008,333,1.2,85.9,12.6,58.3,     
060160890022012,212,0,40.1,58,49.1,     
060160900021002,673,74,7.1,8.3,6.2,     
060160900022001,402,71.6,6.2,9.2,4.7,     
060160900022005,336,69.3,6,14.3,5.7,     
060160910021001,213,16,58.7,14.1,53.5,     
060160910022001,156,28.2,41.7,13.5,38.5,     
060160910022003,156,18.6,50.6,12.8,63.5,     
060160910022004,207,30,40.1,14,26.6,     
060160910022005,103,16.5,67,11.7,65,     
060160920022001,407,1.2,79.1,17,54.3,     
060160925021001,337,32.6,27,34.7,30.9,     
060160925022002,406,32.3,25.9,35,41.1,     
060160925022003,388,37.6,20.9,32.7,37.9,     
060160930022001,480,3.1,45.2,47.1,73.3,     
060160940022001,544,38.4,13.2,43.9,42.6,     
060160950021001,415,62.4,3.1,28.4,15.9,     
060160950022002,764,62.4,1,31.5,18.8,     
060160960021004,641,64.7,2.2,30.7,17.9,     
060160960022001,349,52.1,2.9,41.8,19.2,     
060160960022002,134,63.4,2.2,32.1,9,     
060160960022003,394,69.5,2.3,25.6,22.3,     
060160960022005,211,78.7,0.5,18,9,     
060160970021003,989,52.8,20.6,12.9,19.7,     
060160970021004,1015,55.6,19.9,9.9,19.4,     
060160970022001,374,49.5,20.1,14.7,22.2,     
060160970022003,355,55.2,21.1,9.3,13.5,     
060160970022005,555,49.7,15.9,11.9,20,     
060160970022006,490,51,20.2,14.1,23.7,     
060160970022007,680,59,13.5,13.7,15,     
060160970022008,740,54.5,15,12.6,16.1,     
060160970022009,456,68.2,5.9,8.1,5.3,     
060160970022010,440,50.2,20.9,12.7,23.6,     
060160980021004,1023,3.7,10.2,83.2,88.9,     
060160980022001,865,6.5,11.4,79.8,90.3,     
060160980022002,582,2.1,8.2,87.3,88.8,     
060160980022003,610,6.9,10.3,79.2,81.5,     
060160990021002,2629,2.9,2.6,86,87.6,     
060160990022001,1033,4.2,1.2,51.2,81.6,     
060160990022002,853,10.2,2.8,64,87.5,     
060160990022003,433,3.5,0.7,70.9,92.6,     
060160990022004,512,6.8,1.4,64.3,88.9,     
060160990022005,714,6.2,2.9,65.7,87.7,     
060160990022006,880,5.8,0.7,77.2,79.4,     
060160990022007,193,16.6,3.6,59.6,90.7,     
060160990022008,700,1.9,2,47.1,94.9,     
060160990022009,235,2.6,0.4,86.4,91.1,     
060160990022010,781,4,1.2,80.9,92.2,     
060160990022011,330,1.8,0.3,84.2,90.9,     
060160990022012,573,5.4,4.4,59.3,88.7,     
060160990022013,646,2.3,2.9,48.8,92.7,     
060160990022014,897,2.2,2.2,49.7,93.3,     
060160990022015,655,1.7,0.9,80.8,88.4,     
060161000021002,604,12.1,4.8,80.3,72,     
060161000021003,703,5.8,2.3,90,86.3,     
060161000022001,363,16.3,4.7,75.5,67.8,     
060161000022003,528,14.4,3.2,79.5,71.2,     
060161000022004,450,6.2,1.8,90.7,82.2,     
060161000022006,451,11.3,1.8,84.3,66.5,     
060161000022007,311,13.8,3.5,81,76.8,     
060161000022008,422,8.8,4,84.8,78,     
060161010021006,490,92.9,0.6,2.4,0,     
060161010022001,288,93.4,0.3,2.4,0,     
060161010022002,251,90.8,1.2,3.2,0.4,     
060161010022005,386,92.7,1,1.6,0,     
060161020021004,707,71.7,6.5,18.4,19.1,     
060161020022001,445,42.5,10.1,41.8,45.4,     
060161020022002,560,82.1,3.9,8.9,9.6,     
060161020022003,533,70,8.6,15,25,     
060161020022007,589,89.6,0.8,6.5,3.6,     
060161020022008,298,82.9,6.4,7,9.1,     
060161030022002,325,12.3,2.5,82.5,72.6,     
060161030022004,298,16.1,2.3,79.5,69.5,     
060161030022005,559,38.6,4.5,53.5,60.6,     
060161030022006,284,21.5,7,68.3,79.2,     
060161030022007,731,23.8,5.1,68.1,75.2,     
060161030022008,297,20.5,4.7,71.7,69,     
060161050021001,323,51.7,2.5,39.6,40.6,     
