year,mergecode,mathpass,elapass,totaltest,totalenroll,white,black,hispanic,lowincome,droprate,NCESSchoolID,hybridper,virtualper,inpersonper,schoolmode,districtcode,state,year_21
18,480723250260005,15.9,36.3,44,206,72.8,7.8,6.3,66.0,2.9,173127003300,0.0,0.0,1.0,0.0,48072325026il,il,0
19,480723250260005,14.6,22.9,48,208,74.5,9.6,7.2,56.3,7.3,173127003300,0.0,0.0,1.0,0.0,48072325026il,il,0
21,480723250260005,13.0,23.9,46,221,64.3,13.1,7.2,58.8,3.0,173127003300,0.5,0.0,0.5,0.25,48072325026il,il,1
17,480723260260005,58.0,48.0,226,404,91.6,1.2,4.2,27.7,0.9,173277003396,0.0,0.0,1.0,0.0,48072326026il,il,0
18,480723260260005,42.9,41.0,56,397,89.2,0.0,5.0,30.5,0.4,173277003396,0.0,0.0,1.0,0.0,48072326026il,il,0
19,480723260260005,52.7,41.8,55,404,89.4,2.0,5.0,31.7,2.4,173277003396,0.0,0.0,1.0,0.0,48072326026il,il,0
21,480723260260005,44.7,32.2,56,367,88.8,0.0,6.0,31.3,2.7,173277003396,0.0,0.0,1.0,0.0,48072326026il,il,1
17,480723270260008,55.2,46.3,67,254,92.5,0.4,2.8,22.8,0.4,171996002250,0.0,0.0,1.0,0.0,48072327026il,il,0
18,480723270260008,35.5,38.7,62,253,92.5,0.0,0.0,25.3,1.2,171996002250,0.0,0.0,1.0,0.0,48072327026il,il,0
19,480723270260008,31.8,37.6,69,252,92.9,0.8,3.2,29.4,2.6,171996002250,0.0,0.0,1.0,0.0,48072327026il,il,0
21,480723270260008,20.0,28.0,50,258,93.4,0.0,0.0,27.1,3.9,171996002250,0.2,0.1,0.7,0.2,48072327026il,il,1
17,490810300170001,17.8,20.1,405,1668,54.7,12.5,26.0,59.4,1.4,173987004008,0.0,0.0,1.0,0.0,49081030017il,il,0
18,490810300170001,16.6,20.1,397,1665,53.9,13.2,25.4,62.3,0.8,173987004008,0.0,0.0,1.0,0.0,49081030017il,il,0
19,490810300170001,16.9,19.7,399,1677,54.0,14.3,24.7,59.8,4.9,173987004008,0.0,0.0,1.0,0.0,49081030017il,il,0
